Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.528201,0.338608,0.537244,0.335862,0.552438,0.329796,0.557241,0.296146,0.564642,0.256393,0.600192,0.373644,0.601839,0.366559,0.604021,0.353148,0.594106,0.309676,0.584713,0.26183,0.508388,0.20232,0.516142,0.199712,0.538716,0.194602,0.561309,0.180121,0.57377,0.178033,0.660908,0.242017,0.651941,0.232839,0.628002,0.208879,0.599266,0.184981,0.583838,0.179552,0.581476,0.133638,0.579949,0.160589,0.581033,0.173047,0.584338,0.183139,0.583141,0.204371,0.581197,0.218594,0.579233,0.230411,0.580236,0.245337,0.576432,0.254485,0.571973,0.155976,0.57829,0.151467,0.569974,0.150738,0.590966,0.153641,0.567779,0.151588,0.609796,0.360231,0.60258,0.360949,0.550664,0.332636,0.552873,0.337673,0.606544,0.369633,0.599162,0.370319,0.535956,0.33573,0.538057,0.340826,0.60454,0.37536,0.597053,0.376026,0.527039,0.33747,0.529074,0.342601,0.599266,0.184981,0.628002,0.208879,0.651941,0.232839,0.561309,0.180121,0.538716,0.194602,0.516142,0.199712,0.584713,0.26183,0.594106,0.309676,0.604021,0.353148,0.601839,0.366559,0.564642,0.256393,0.557241,0.296146,0.552438,0.329796,0.537244,0.335862,
8.333,0.528246,0.338636,0.537284,0.335896,0.552468,0.329811,0.557275,0.296113,0.564654,0.256362,0.600313,0.373625,0.601902,0.366555,0.603984,0.353136,0.594211,0.30969,0.58461,0.26185,0.508606,0.202428,0.516293,0.199592,0.538797,0.194508,0.56147,0.180165,0.573767,0.178053,0.660973,0.242088,0.652071,0.232816,0.628087,0.208896,0.599283,0.185038,0.583815,0.179582,0.581538,0.133613,0.579963,0.160577,0.581035,0.173058,0.584352,0.183152,0.583165,0.20438,0.581214,0.218602,0.579236,0.230416,0.580242,0.245346,0.576403,0.254484,0.571999,0.155838,0.578323,0.151352,0.570008,0.150628,0.590993,0.153601,0.56781,0.15156,0.60975,0.360207,0.602524,0.360938,0.550674,0.332658,0.552902,0.33769,0.606607,0.369619,0.599213,0.37032,0.535982,0.335769,0.538102,0.34086,0.604663,0.375335,0.597163,0.376017,0.527066,0.337503,0.52912,0.34263,0.599283,0.185038,0.628087,0.208896,0.652071,0.232816,0.56147,0.180165,0.538797,0.194508,0.516293,0.199592,0.58461,0.26185,0.594211,0.30969,0.603984,0.353136,0.601902,0.366555,0.564654,0.256362,0.557275,0.296113,0.552468,0.329811,0.537284,0.335896,
16.666,0.528242,0.338594,0.537295,0.335894,0.552497,0.329844,0.557228,0.296128,0.564709,0.256365,0.600337,0.373634,0.601907,0.36657,0.603951,0.353135,0.594241,0.309632,0.584627,0.261836,0.508848,0.202528,0.516421,0.19948,0.538857,0.194442,0.561592,0.18018,0.573783,0.178041,0.661021,0.242105,0.652183,0.232781,0.628115,0.208906,0.599279,0.185065,0.583815,0.17957,0.581614,0.133593,0.579992,0.160557,0.581049,0.173043,0.584377,0.183141,0.583195,0.20437,0.581244,0.218591,0.579268,0.230406,0.580286,0.245343,0.576442,0.254479,0.57204,0.155783,0.578372,0.15131,0.570058,0.150575,0.591035,0.153592,0.567855,0.151519,0.609702,0.360203,0.602468,0.360929,0.550741,0.332715,0.552937,0.337738,0.606607,0.369635,0.599204,0.370329,0.53602,0.33578,0.538106,0.340862,0.604685,0.375348,0.597176,0.376024,0.52708,0.337472,0.529099,0.342588,0.599279,0.185065,0.628115,0.208906,0.652183,0.232781,0.561592,0.18018,0.538857,0.194442,0.516421,0.19948,0.584627,0.261836,0.594241,0.309632,0.603951,0.353135,0.601907,0.36657,0.564709,0.256365,0.557228,0.296128,0.552497,0.329844,0.537295,0.335894,
25,0.528269,0.33859,0.537324,0.335902,0.552525,0.329847,0.557227,0.296142,0.564679,0.256345,0.600384,0.373604,0.601931,0.366567,0.603927,0.353139,0.594229,0.309641,0.584652,0.261813,0.509125,0.202574,0.516605,0.199395,0.538931,0.194383,0.561645,0.180195,0.573803,0.17802,0.661084,0.242147,0.652282,0.232759,0.628153,0.208912,0.59931,0.185054,0.583833,0.179561,0.581719,0.133561,0.580043,0.160529,0.581077,0.173024,0.584394,0.183126,0.583197,0.204352,0.581238,0.218572,0.579258,0.230386,0.580265,0.245317,0.576434,0.254457,0.57209,0.155692,0.578432,0.151237,0.570122,0.150493,0.591095,0.153567,0.567927,0.151467,0.609678,0.360204,0.602441,0.36094,0.550775,0.332715,0.55297,0.337739,0.606632,0.369626,0.599226,0.370333,0.536052,0.335787,0.538136,0.340869,0.604733,0.375316,0.597219,0.376004,0.527103,0.337468,0.529121,0.342585,0.59931,0.185054,0.628153,0.208912,0.652282,0.232759,0.561645,0.180195,0.538931,0.194383,0.516605,0.199395,0.584652,0.261813,0.594229,0.309641,0.603927,0.353139,0.601931,0.366567,0.564679,0.256345,0.557227,0.296142,0.552525,0.329847,0.537324,0.335902,
33.333,0.528254,0.338576,0.537312,0.335914,0.552517,0.329875,0.557287,0.296163,0.564717,0.256358,0.600399,0.373609,0.60195,0.366592,0.603942,0.353167,0.594174,0.309647,0.584721,0.261798,0.509421,0.202605,0.516812,0.199327,0.539005,0.194309,0.561691,0.180231,0.573797,0.178045,0.661162,0.242212,0.652398,0.232743,0.628224,0.208922,0.599349,0.185071,0.583837,0.179597,0.581847,0.133546,0.580088,0.160522,0.581084,0.173036,0.584386,0.183133,0.583198,0.204351,0.581245,0.218569,0.579275,0.230382,0.580292,0.245308,0.576478,0.254453,0.572143,0.15556,0.5785,0.151135,0.570194,0.150381,0.591157,0.153553,0.568002,0.151426,0.609693,0.360233,0.602455,0.360971,0.550756,0.332762,0.552951,0.337778,0.606651,0.369652,0.599244,0.37036,0.536034,0.335811,0.53812,0.340884,0.604748,0.375324,0.597232,0.376013,0.52708,0.337463,0.529098,0.342572,0.599349,0.185071,0.628224,0.208922,0.652398,0.232743,0.561691,0.180231,0.539005,0.194309,0.516812,0.199327,0.584721,0.261798,0.594174,0.309647,0.603942,0.353167,0.60195,0.366592,0.564717,0.256358,0.557287,0.296163,0.552517,0.329875,0.537312,0.335914,
41.666,0.528268,0.338586,0.537326,0.335932,0.552528,0.329884,0.557315,0.296142,0.564751,0.256324,0.600342,0.37361,0.601902,0.366621,0.603896,0.353208,0.594186,0.30966,0.58481,0.261761,0.509761,0.202625,0.517042,0.199267,0.539112,0.194236,0.561711,0.180244,0.573783,0.178046,0.661252,0.242234,0.652478,0.232744,0.62827,0.208922,0.599385,0.18504,0.583835,0.179602,0.582003,0.133501,0.580132,0.160484,0.58108,0.173017,0.584373,0.183109,0.583208,0.204319,0.581266,0.218536,0.579307,0.230349,0.580325,0.245261,0.57653,0.254413,0.572211,0.155387,0.578585,0.151,0.570284,0.150228,0.59123,0.153519,0.568086,0.151342,0.609655,0.360275,0.602419,0.361019,0.550758,0.332759,0.55296,0.33778,0.606607,0.369679,0.599201,0.370394,0.536042,0.335821,0.538135,0.340901,0.604691,0.375326,0.597178,0.376023,0.527085,0.337469,0.529111,0.342584,0.599385,0.18504,0.62827,0.208922,0.652478,0.232744,0.561711,0.180244,0.539112,0.194236,0.517042,0.199267,0.58481,0.261761,0.594186,0.30966,0.603896,0.353208,0.601902,0.366621,0.564751,0.256324,0.557315,0.296142,0.552528,0.329884,0.537326,0.335932,
50,0.528268,0.338588,0.537324,0.335948,0.552522,0.329898,0.557324,0.296171,0.564774,0.25632,0.600413,0.373609,0.601947,0.366627,0.603893,0.3532,0.594274,0.30964,0.584752,0.26177,0.51008,0.202668,0.517284,0.199216,0.539216,0.19414,0.561779,0.180245,0.573858,0.178049,0.661359,0.242302,0.652602,0.232749,0.628351,0.208939,0.599477,0.185023,0.583912,0.179612,0.582121,0.133501,0.580226,0.160485,0.581161,0.173024,0.584442,0.183121,0.583258,0.20433,0.581304,0.218545,0.579331,0.230356,0.580346,0.245279,0.576525,0.254421,0.572305,0.155343,0.578683,0.150966,0.570384,0.150194,0.591326,0.153515,0.56819,0.151334,0.609641,0.36026,0.602398,0.361005,0.550738,0.332792,0.55295,0.337803,0.606649,0.369683,0.599236,0.370398,0.53603,0.335849,0.538133,0.340918,0.604762,0.375326,0.59724,0.376023,0.527072,0.33748,0.529108,0.342585,0.599477,0.185023,0.628351,0.208939,0.652602,0.232749,0.561779,0.180245,0.539216,0.19414,0.517284,0.199216,0.584752,0.26177,0.594274,0.30964,0.603893,0.3532,0.601947,0.366627,0.564774,0.25632,0.557324,0.296171,0.552522,0.329898,0.537324,0.335948,
58.333,0.528262,0.338584,0.537321,0.335961,0.552518,0.329906,0.557312,0.296175,0.564828,0.256338,0.600449,0.373614,0.601962,0.36666,0.603866,0.353247,0.594283,0.309639,0.584897,0.261752,0.510418,0.202698,0.517521,0.199187,0.539295,0.194048,0.561798,0.180285,0.573834,0.178078,0.661461,0.242318,0.652677,0.232747,0.628413,0.208929,0.599496,0.185009,0.583888,0.179637,0.582298,0.133481,0.580262,0.160468,0.581142,0.173028,0.584428,0.18312,0.583282,0.204322,0.581345,0.218538,0.579388,0.230351,0.580404,0.245267,0.576611,0.254417,0.57239,0.155177,0.578787,0.150845,0.57049,0.150048,0.591405,0.153511,0.568274,0.15126,0.609609,0.36031,0.602361,0.361061,0.550748,0.332829,0.552956,0.337825,0.606662,0.369714,0.599243,0.370437,0.536035,0.335878,0.538133,0.340933,0.604797,0.375332,0.597269,0.376037,0.527066,0.337491,0.529097,0.34258,0.599496,0.185009,0.628413,0.208929,0.652677,0.232747,0.561798,0.180285,0.539295,0.194048,0.517521,0.199187,0.584897,0.261752,0.594283,0.309639,0.603866,0.353247,0.601962,0.36666,0.564828,0.256338,0.557312,0.296175,0.552518,0.329906,0.537321,0.335961,
66.666,0.528235,0.338575,0.537296,0.33597,0.552495,0.329921,0.55733,0.296177,0.564928,0.256333,0.600422,0.373614,0.601941,0.366677,0.603844,0.353259,0.594375,0.309647,0.584984,0.261724,0.510785,0.202712,0.517769,0.199161,0.539407,0.193974,0.561843,0.180294,0.573875,0.178063,0.661574,0.242331,0.652771,0.232768,0.628464,0.208937,0.599557,0.18496,0.583941,0.179616,0.582434,0.133458,0.580336,0.160442,0.581187,0.173006,0.584465,0.183099,0.583327,0.204301,0.581399,0.218517,0.579451,0.230331,0.580485,0.245246,0.5767,0.2544,0.572483,0.155114,0.578889,0.150798,0.570593,0.149985,0.591496,0.153502,0.56837,0.151207,0.609588,0.36032,0.60234,0.361072,0.550718,0.332841,0.552928,0.337839,0.606643,0.36973,0.599224,0.370453,0.536007,0.335885,0.538106,0.340942,0.604771,0.375334,0.597242,0.37604,0.527032,0.337481,0.529064,0.342573,0.599557,0.18496,0.628464,0.208937,0.652771,0.232768,0.561843,0.180294,0.539407,0.193974,0.517769,0.199161,0.584984,0.261724,0.594375,0.309647,0.603844,0.353259,0.601941,0.366677,0.564928,0.256333,0.55733,0.296177,0.552495,0.329921,0.537296,0.33597,
75,0.528258,0.338584,0.537314,0.33598,0.552503,0.329909,0.557272,0.296193,0.564939,0.256309,0.600413,0.373634,0.60194,0.366702,0.603849,0.353264,0.594395,0.309626,0.58496,0.261714,0.511173,0.202739,0.518026,0.199128,0.539519,0.193886,0.561901,0.180318,0.573952,0.178057,0.661687,0.242385,0.652887,0.2328,0.628538,0.208958,0.599663,0.184915,0.584026,0.179616,0.582552,0.133447,0.580432,0.160431,0.581269,0.173001,0.584533,0.183095,0.583383,0.204293,0.581446,0.218507,0.579486,0.230319,0.580506,0.245242,0.576703,0.254387,0.572602,0.15506,0.579009,0.150753,0.570712,0.149941,0.591604,0.153484,0.568473,0.151191,0.609581,0.360326,0.60233,0.361065,0.550719,0.332835,0.552942,0.337827,0.606637,0.369759,0.599215,0.370469,0.536018,0.3359,0.538131,0.340951,0.604758,0.375362,0.597227,0.376054,0.527043,0.337494,0.529089,0.342581,0.599663,0.184915,0.628538,0.208958,0.652887,0.2328,0.561901,0.180318,0.539519,0.193886,0.518026,0.199128,0.58496,0.261714,0.594395,0.309626,0.603849,0.353264,0.60194,0.366702,0.564939,0.256309,0.557272,0.296193,0.552503,0.329909,0.537314,0.33598,
