Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
83.333,0.497753,0.303137,0.503105,0.297202,0.512299,0.285699,0.522137,0.249351,0.533775,0.205363,0.594228,0.303271,0.588631,0.297322,0.579195,0.28574,0.570123,0.248006,0.560367,0.203876,0.44562,0.166225,0.455829,0.159794,0.487548,0.147237,0.520585,0.125813,0.537984,0.120165,0.645091,0.162436,0.634542,0.155704,0.604048,0.138931,0.568674,0.121387,0.551158,0.119383,0.543643,0.0693166,0.54421,0.0994757,0.544234,0.113152,0.544186,0.123663,0.544789,0.146409,0.545331,0.161655,0.545818,0.174293,0.54639,0.189491,0.546828,0.19957,0.550482,0.0937446,0.553553,0.0880701,0.544301,0.0887677,0.557665,0.0895331,0.532067,0.091479,0.583692,0.29015,0.577768,0.293536,0.507468,0.289726,0.513271,0.293298,0.592315,0.29835,0.586277,0.301832,0.499313,0.297993,0.50521,0.301666,0.597713,0.303177,0.591601,0.306721,0.494243,0.30286,0.500202,0.306597,0.568674,0.121387,0.604048,0.138931,0.634542,0.155704,0.520585,0.125813,0.487548,0.147237,0.455829,0.159794,0.560367,0.203876,0.570123,0.248006,0.579195,0.28574,0.588631,0.297322,0.533775,0.205363,0.522137,0.249351,0.512299,0.285699,0.503105,0.297202,
91.666,0.497742,0.303126,0.50308,0.297205,0.512257,0.2857,0.522139,0.249367,0.533725,0.205279,0.594283,0.30325,0.588666,0.297315,0.579205,0.285725,0.570224,0.247981,0.560314,0.20383,0.445785,0.16619,0.455925,0.159727,0.48755,0.147096,0.520616,0.125775,0.538011,0.120113,0.644934,0.162526,0.634469,0.155712,0.604013,0.138937,0.568693,0.121321,0.551181,0.119336,0.543652,0.0692693,0.544234,0.099424,0.544257,0.113101,0.544192,0.12361,0.54478,0.146351,0.545316,0.161595,0.545793,0.174231,0.546373,0.189427,0.546787,0.199506,0.550524,0.0936741,0.553585,0.0880027,0.544338,0.0887044,0.557681,0.0894742,0.532096,0.0914315,0.583669,0.290141,0.577751,0.293521,0.507427,0.289737,0.513234,0.293301,0.592333,0.298346,0.586301,0.301822,0.499287,0.298003,0.505189,0.301668,0.597758,0.303162,0.591654,0.3067,0.494227,0.302858,0.500192,0.306587,0.568693,0.121321,0.604013,0.138937,0.634469,0.155712,0.520616,0.125775,0.48755,0.147096,0.455925,0.159727,0.560314,0.20383,0.570224,0.247981,0.579205,0.285725,0.588666,0.297315,0.533725,0.205279,0.522139,0.249367,0.512257,0.2857,0.50308,0.297205,
100,0.497782,0.303144,0.503092,0.297228,0.512231,0.285703,0.522153,0.249356,0.533809,0.205291,0.594256,0.303253,0.588655,0.29734,0.579216,0.285758,0.570174,0.248031,0.560393,0.203795,0.445927,0.166145,0.456008,0.159682,0.48755,0.147,0.520618,0.125749,0.538019,0.120124,0.644759,0.162612,0.634368,0.155726,0.603957,0.138934,0.568695,0.121263,0.551187,0.119337,0.543666,0.0692522,0.54424,0.0994086,0.544258,0.113099,0.544196,0.123613,0.544797,0.146349,0.545345,0.161591,0.545836,0.174225,0.546419,0.18942,0.546857,0.199496,0.55055,0.0935686,0.553606,0.0879232,0.544363,0.0886116,0.557685,0.0894628,0.532113,0.091384,0.583679,0.290196,0.577754,0.293562,0.507394,0.289747,0.513212,0.293302,0.592323,0.298385,0.586285,0.301848,0.499292,0.298032,0.505206,0.301686,0.597737,0.303179,0.591625,0.306703,0.494258,0.302885,0.500234,0.306603,0.568695,0.121263,0.603957,0.138934,0.634368,0.155726,0.520618,0.125749,0.48755,0.147,0.456008,0.159682,0.560393,0.203795,0.570174,0.248031,0.579216,0.285758,0.588655,0.29734,0.533809,0.205291,0.522153,0.249356,0.512231,0.285703,0.503092,0.297228,
108.333,0.497802,0.303141,0.503112,0.297233,0.512249,0.285696,0.522122,0.249331,0.533769,0.205254,0.59425,0.303266,0.58866,0.297359,0.579243,0.285757,0.570237,0.247953,0.56035,0.203745,0.44609,0.166113,0.456108,0.159632,0.487565,0.146893,0.520629,0.125701,0.538029,0.120077,0.644611,0.162678,0.634259,0.155765,0.603899,0.138951,0.568699,0.121208,0.551194,0.119292,0.543667,0.0692099,0.54425,0.099362,0.544261,0.113055,0.544172,0.123571,0.544759,0.146306,0.545304,0.161547,0.545794,0.17418,0.546358,0.189384,0.54681,0.199455,0.550586,0.0934994,0.553631,0.0878591,0.544394,0.0885491,0.557687,0.0894118,0.532132,0.0913376,0.58369,0.290209,0.577758,0.29356,0.507431,0.289749,0.513251,0.293295,0.592323,0.298415,0.586278,0.301862,0.49932,0.298043,0.505236,0.301689,0.597732,0.303205,0.591613,0.306714,0.49428,0.30289,0.500258,0.306599,0.568699,0.121208,0.603899,0.138951,0.634259,0.155765,0.520629,0.125701,0.487565,0.146893,0.456108,0.159632,0.56035,0.203745,0.570237,0.247953,0.579243,0.285757,0.58866,0.297359,0.533769,0.205254,0.522122,0.249331,0.512249,0.285696,0.503112,0.297233,
116.666,0.497818,0.303132,0.503119,0.297241,0.512248,0.285706,0.522132,0.249357,0.533787,0.205196,0.594237,0.30326,0.588654,0.297365,0.579246,0.285756,0.570256,0.247979,0.560364,0.203705,0.446248,0.166104,0.456198,0.159589,0.487579,0.146799,0.520631,0.125649,0.538038,0.120042,0.644447,0.162772,0.63415,0.155803,0.603843,0.138964,0.568704,0.121156,0.5512,0.119257,0.543666,0.0691763,0.544254,0.0993237,0.544271,0.113019,0.544192,0.123535,0.544783,0.146266,0.545328,0.161504,0.545817,0.174135,0.546395,0.189339,0.546832,0.199407,0.550613,0.0934255,0.553648,0.0877947,0.544418,0.0884835,0.557685,0.0893709,0.532145,0.0912938,0.583684,0.290216,0.577749,0.293559,0.507429,0.289765,0.513251,0.293307,0.592313,0.298427,0.586265,0.301866,0.499326,0.298056,0.505244,0.301698,0.597721,0.303206,0.591599,0.306707,0.494291,0.302887,0.500272,0.306593,0.568704,0.121156,0.603843,0.138964,0.63415,0.155803,0.520631,0.125649,0.487579,0.146799,0.456198,0.159589,0.560364,0.203705,0.570256,0.247979,0.579246,0.285756,0.588654,0.297365,0.533787,0.205196,0.522132,0.249357,0.512248,0.285706,0.503119,0.297241,
125,0.497897,0.303165,0.503158,0.297262,0.51223,0.285685,0.52209,0.249302,0.533756,0.205189,0.594088,0.303305,0.588612,0.29738,0.579373,0.285701,0.57021,0.248005,0.560327,0.203647,0.446414,0.166088,0.4563,0.159559,0.487595,0.1467,0.520622,0.125576,0.538042,0.120007,0.644238,0.16291,0.634055,0.155828,0.60379,0.138966,0.568713,0.1211,0.551198,0.119221,0.543648,0.0691521,0.544253,0.0992925,0.54426,0.112987,0.544142,0.123509,0.544718,0.146239,0.545264,0.161475,0.54576,0.174104,0.546304,0.189315,0.546781,0.199377,0.550652,0.0933832,0.553671,0.0877534,0.544449,0.0884484,0.557673,0.0893314,0.532156,0.0912717,0.583846,0.290186,0.577866,0.29349,0.507402,0.289744,0.513239,0.293274,0.592302,0.298466,0.586207,0.301864,0.499357,0.29808,0.50529,0.301709,0.597603,0.303277,0.591431,0.306736,0.494358,0.302927,0.500356,0.30662,0.568713,0.1211,0.60379,0.138966,0.634055,0.155828,0.520622,0.125576,0.487595,0.1467,0.4563,0.159559,0.560327,0.203647,0.57021,0.248005,0.579373,0.285701,0.588612,0.29738,0.533756,0.205189,0.52209,0.249302,0.51223,0.285685,0.503158,0.297262,
133.333,0.497916,0.30316,0.503165,0.297265,0.512225,0.285679,0.522077,0.249303,0.533734,0.205151,0.594095,0.303321,0.588613,0.297406,0.579369,0.285711,0.570295,0.247846,0.560305,0.203627,0.446569,0.166081,0.456387,0.159533,0.48761,0.146612,0.520623,0.125512,0.538047,0.119974,0.644055,0.163024,0.633941,0.155869,0.603727,0.13898,0.568714,0.121053,0.5512,0.119195,0.54365,0.0691181,0.544258,0.0992549,0.544267,0.112956,0.544147,0.12348,0.544715,0.146206,0.545256,0.161441,0.545748,0.17407,0.546302,0.189296,0.546765,0.199351,0.550656,0.0932928,0.553673,0.087678,0.544453,0.0883676,0.557673,0.0892941,0.532164,0.0912197,0.583812,0.29021,0.577832,0.2935,0.50739,0.289732,0.51323,0.293263,0.592289,0.2985,0.586194,0.301886,0.499359,0.29808,0.505296,0.30171,0.597605,0.303303,0.591433,0.30675,0.494371,0.302923,0.500372,0.306617,0.568714,0.121053,0.603727,0.13898,0.633941,0.155869,0.520623,0.125512,0.48761,0.146612,0.456387,0.159533,0.560305,0.203627,0.570295,0.247846,0.579369,0.285711,0.588613,0.297406,0.533734,0.205151,0.522077,0.249303,0.512225,0.285679,0.503165,0.297265,
141.666,0.49793,0.303162,0.503178,0.297276,0.512236,0.285682,0.522075,0.249312,0.533712,0.205069,0.594113,0.303326,0.588648,0.297425,0.579434,0.285722,0.57034,0.247883,0.560277,0.203552,0.446734,0.166098,0.456465,0.159499,0.487614,0.146508,0.520649,0.125474,0.538053,0.119911,0.643889,0.163133,0.633832,0.155916,0.603664,0.139004,0.568706,0.121047,0.551205,0.119137,0.543632,0.0690476,0.544259,0.0991826,0.544274,0.112891,0.544152,0.123418,0.544711,0.146142,0.545246,0.161375,0.545733,0.174002,0.546278,0.189213,0.54674,0.199272,0.550677,0.0931657,0.553682,0.0875627,0.544468,0.0882536,0.557664,0.0892122,0.53217,0.0911419,0.583866,0.290244,0.577878,0.293516,0.507412,0.28974,0.513253,0.293265,0.592322,0.298535,0.586217,0.301902,0.499377,0.298095,0.505314,0.301719,0.597626,0.303325,0.591444,0.306752,0.494386,0.302931,0.500388,0.306619,0.568706,0.121047,0.603664,0.139004,0.633832,0.155916,0.520649,0.125474,0.487614,0.146508,0.456465,0.159499,0.560277,0.203552,0.57034,0.247883,0.579434,0.285722,0.588648,0.297425,0.533712,0.205069,0.522075,0.249312,0.512236,0.285682,0.503178,0.297276,
150,0.497939,0.303158,0.50318,0.297285,0.512229,0.285683,0.52208,0.249251,0.533716,0.205015,0.594096,0.303314,0.588632,0.297426,0.579422,0.285716,0.57042,0.247876,0.560277,0.203495,0.446877,0.166103,0.456547,0.159486,0.487623,0.146424,0.520634,0.1254,0.538045,0.119879,0.643696,0.163249,0.633705,0.155955,0.603586,0.139015,0.56869,0.121008,0.551196,0.11911,0.543622,0.0689995,0.544253,0.0991339,0.544273,0.112852,0.544161,0.123376,0.544718,0.146092,0.545248,0.161323,0.545734,0.173948,0.546278,0.189164,0.546742,0.199218,0.550678,0.0930403,0.553678,0.0874584,0.544468,0.0881409,0.557653,0.0891635,0.532168,0.0910706,0.583834,0.290253,0.577843,0.293512,0.507417,0.289753,0.513261,0.293269,0.592296,0.298547,0.58619,0.301901,0.499383,0.298111,0.505324,0.301726,0.597607,0.303325,0.591424,0.306739,0.494394,0.302936,0.5004,0.306615,0.56869,0.121008,0.603586,0.139015,0.633705,0.155955,0.520634,0.1254,0.487623,0.146424,0.456547,0.159486,0.560277,0.203495,0.57042,0.247876,0.579422,0.285716,0.588632,0.297426,0.533716,0.205015,0.52208,0.249251,0.512229,0.285683,0.50318,0.297285,
158.333,0.497983,0.303172,0.503197,0.2973,0.512216,0.285675,0.522145,0.249292,0.533738,0.204973,0.593938,0.303342,0.588542,0.297443,0.579443,0.285686,0.570375,0.247857,0.560293,0.203433,0.447016,0.166112,0.456626,0.159471,0.487635,0.146344,0.520624,0.125327,0.538037,0.119837,0.643516,0.163358,0.633576,0.156013,0.603507,0.139029,0.56867,0.120977,0.551186,0.119063,0.54363,0.0689473,0.544247,0.0990804,0.544259,0.112806,0.544148,0.123336,0.544711,0.146052,0.545247,0.161281,0.545738,0.173904,0.546279,0.189111,0.546755,0.199166,0.550674,0.0929396,0.553676,0.0873739,0.544468,0.0880452,0.557648,0.0891185,0.532169,0.0909949,0.583855,0.290256,0.577835,0.293476,0.507385,0.289732,0.513236,0.29325,0.592215,0.29859,0.586078,0.301904,0.499389,0.298119,0.505338,0.301736,0.597464,0.303379,0.591248,0.306753,0.494426,0.302949,0.50044,0.30663,0.56867,0.120977,0.603507,0.139029,0.633576,0.156013,0.520624,0.125327,0.487635,0.146344,0.456626,0.159471,0.560293,0.203433,0.570375,0.247857,0.579443,0.285686,0.588542,0.297443,0.533738,0.204973,0.522145,0.249292,0.512216,0.285675,0.503197,0.2973,
