Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.564219,0.318806,0.573093,0.320061,0.588179,0.320686,0.58676,0.286548,0.588211,0.245683,0.570606,0.378316,0.58022,0.373287,0.595789,0.362696,0.593253,0.312355,0.591784,0.256947,0.585379,0.175453,0.588037,0.174136,0.59517,0.172861,0.600805,0.160493,0.603533,0.160259,0.616762,0.256651,0.617184,0.243191,0.617698,0.208572,0.61269,0.17364,0.606292,0.163925,0.613684,0.108886,0.608575,0.140947,0.609698,0.156102,0.615005,0.169171,0.610686,0.193484,0.605694,0.209004,0.600988,0.221542,0.60117,0.238681,0.593663,0.247045,0.58757,0.132418,0.595434,0.12857,0.591269,0.126283,0.613289,0.134476,0.600975,0.127893,0.599245,0.372856,0.594548,0.370253,0.590334,0.323455,0.587641,0.328848,0.583035,0.378681,0.578505,0.375963,0.574914,0.319858,0.572141,0.325152,0.57313,0.382109,0.568704,0.37932,0.565877,0.317613,0.563058,0.322848,0.61269,0.17364,0.617698,0.208572,0.617184,0.243191,0.600805,0.160493,0.59517,0.172861,0.588037,0.174136,0.591784,0.256947,0.593253,0.312355,0.595789,0.362696,0.58022,0.373287,0.588211,0.245683,0.58676,0.286548,0.588179,0.320686,0.573093,0.320061,
8.333,0.564193,0.318843,0.57309,0.320106,0.588204,0.320714,0.586843,0.286534,0.588279,0.245661,0.570685,0.378354,0.580267,0.373313,0.595769,0.362666,0.593247,0.312399,0.591654,0.256927,0.585628,0.175632,0.588306,0.174058,0.595333,0.172785,0.601007,0.16059,0.603483,0.160277,0.616948,0.25678,0.617397,0.243224,0.617842,0.208628,0.612707,0.173713,0.606198,0.163948,0.613837,0.108875,0.608574,0.140935,0.609641,0.156109,0.614953,0.169183,0.610668,0.193497,0.605682,0.209015,0.600975,0.221547,0.601154,0.23869,0.593638,0.247035,0.587623,0.132263,0.595508,0.128442,0.591345,0.126162,0.613334,0.134435,0.601027,0.127867,0.599249,0.372816,0.594508,0.370216,0.590335,0.323481,0.587661,0.328878,0.583107,0.378702,0.578531,0.375986,0.574895,0.319902,0.57214,0.325199,0.573228,0.382145,0.568753,0.379358,0.565832,0.317646,0.563031,0.322885,0.612707,0.173713,0.617842,0.208628,0.617397,0.243224,0.601007,0.16059,0.595333,0.172785,0.588306,0.174058,0.591654,0.256927,0.593247,0.312399,0.595769,0.362666,0.580267,0.373313,0.588279,0.245661,0.586843,0.286534,0.588204,0.320714,0.57309,0.320106,
16.666,0.564232,0.318806,0.573113,0.320111,0.588192,0.320754,0.586777,0.286528,0.588327,0.245684,0.570676,0.37837,0.580248,0.373327,0.595722,0.362645,0.593337,0.31236,0.591638,0.256912,0.585936,0.175812,0.588558,0.173983,0.595477,0.172736,0.601205,0.160645,0.603526,0.160269,0.617119,0.256838,0.617637,0.243241,0.617933,0.208657,0.612727,0.173746,0.606212,0.163934,0.613958,0.108869,0.608631,0.14092,0.609675,0.156097,0.614987,0.169178,0.610706,0.193495,0.605717,0.209014,0.601006,0.221546,0.601179,0.238701,0.593658,0.247041,0.587701,0.13221,0.595595,0.128406,0.591433,0.126113,0.613407,0.134437,0.601107,0.127832,0.599209,0.372788,0.594449,0.370175,0.590345,0.323561,0.587631,0.328932,0.583097,0.378717,0.5785,0.375987,0.574938,0.319931,0.572145,0.325202,0.573224,0.382166,0.568729,0.379366,0.565885,0.317628,0.563046,0.32284,0.612727,0.173746,0.617933,0.208657,0.617637,0.243241,0.601205,0.160645,0.595477,0.172736,0.588558,0.173983,0.591638,0.256912,0.593337,0.31236,0.595722,0.362645,0.580248,0.373327,0.588327,0.245684,0.586777,0.286528,0.588192,0.320754,0.573113,0.320111,
25,0.564243,0.318811,0.573128,0.32013,0.588201,0.320767,0.586744,0.286537,0.588305,0.245652,0.570696,0.378359,0.580259,0.373334,0.595704,0.362639,0.593316,0.312363,0.591711,0.256904,0.586297,0.175946,0.588859,0.173952,0.595611,0.172696,0.601268,0.160678,0.60355,0.160251,0.617343,0.256937,0.617852,0.243268,0.618028,0.208683,0.61278,0.173744,0.606232,0.163928,0.614122,0.108854,0.608701,0.1409,0.609708,0.156082,0.615009,0.169165,0.610723,0.193477,0.605731,0.208992,0.601019,0.221523,0.601195,0.238669,0.59368,0.247017,0.587795,0.132117,0.595698,0.128336,0.591546,0.126034,0.613492,0.134422,0.60122,0.127789,0.599198,0.372778,0.594419,0.370173,0.590361,0.323573,0.587646,0.328945,0.583118,0.378721,0.5785,0.375998,0.574957,0.31995,0.572162,0.325222,0.573249,0.382155,0.568731,0.379361,0.565894,0.317632,0.563053,0.322845,0.61278,0.173744,0.618028,0.208683,0.617852,0.243268,0.601268,0.160678,0.595611,0.172696,0.588859,0.173952,0.591711,0.256904,0.593316,0.312363,0.595704,0.362639,0.580259,0.373334,0.588305,0.245652,0.586744,0.286537,0.588201,0.320767,0.573128,0.32013,
33.333,0.564202,0.318786,0.573099,0.320134,0.588189,0.320792,0.586804,0.286584,0.588359,0.245683,0.570676,0.378365,0.580245,0.373365,0.595689,0.362671,0.593313,0.312353,0.591824,0.25692,0.586693,0.176069,0.589186,0.173946,0.595752,0.17264,0.601304,0.160731,0.603507,0.160275,0.617591,0.257071,0.61807,0.243305,0.618161,0.208726,0.612838,0.173778,0.606204,0.163969,0.614342,0.108868,0.608746,0.140902,0.609684,0.156095,0.614986,0.16917,0.610744,0.193477,0.60577,0.208994,0.601071,0.221529,0.601263,0.238673,0.593757,0.247034,0.587895,0.131976,0.595819,0.128232,0.591677,0.125922,0.613576,0.134421,0.601334,0.12776,0.599182,0.372811,0.594401,0.370206,0.590326,0.323611,0.587609,0.328973,0.583104,0.378752,0.578483,0.376029,0.574918,0.319963,0.572121,0.325225,0.573224,0.382163,0.568704,0.37937,0.565843,0.317612,0.563,0.322816,0.612838,0.173778,0.618161,0.208726,0.61807,0.243305,0.601304,0.160731,0.595752,0.17264,0.589186,0.173946,0.591824,0.25692,0.593313,0.312353,0.595689,0.362671,0.580245,0.373365,0.588359,0.245683,0.586804,0.286584,0.588189,0.320792,0.573099,0.320134,
41.666,0.564186,0.318798,0.573093,0.320155,0.588187,0.320804,0.586851,0.286577,0.588434,0.245662,0.570595,0.378332,0.580173,0.373365,0.595622,0.362687,0.593327,0.312373,0.592002,0.256925,0.587146,0.176194,0.58953,0.173953,0.59593,0.172595,0.601306,0.160749,0.603459,0.160269,0.617871,0.25716,0.618286,0.243355,0.618282,0.208751,0.612894,0.173752,0.606176,0.163971,0.614591,0.10885,0.608795,0.140867,0.609658,0.156069,0.614964,0.169137,0.610778,0.193446,0.605829,0.208968,0.601149,0.221508,0.601366,0.238642,0.593875,0.247018,0.58801,0.13179,0.595959,0.128093,0.591825,0.125764,0.613676,0.134398,0.601459,0.127681,0.599112,0.37283,0.594333,0.370233,0.590325,0.323607,0.587617,0.32898,0.58303,0.378751,0.578411,0.376037,0.574909,0.319974,0.572122,0.325246,0.573136,0.382129,0.568619,0.379345,0.565819,0.317615,0.562984,0.322829,0.612894,0.173752,0.618282,0.208751,0.618286,0.243355,0.601306,0.160749,0.59593,0.172595,0.58953,0.173953,0.592002,0.256925,0.593327,0.312373,0.595622,0.362687,0.580173,0.373365,0.588434,0.245662,0.586851,0.286577,0.588187,0.320804,0.573093,0.320155,
50,0.564141,0.318792,0.573065,0.320166,0.588183,0.320816,0.586844,0.286609,0.588488,0.24567,0.570637,0.378363,0.580201,0.373393,0.595615,0.362675,0.593382,0.312386,0.591916,0.256909,0.587558,0.176337,0.589892,0.173975,0.596117,0.172523,0.601387,0.160769,0.603552,0.160294,0.61818,0.257314,0.618537,0.243425,0.618434,0.208807,0.613025,0.173762,0.606273,0.164005,0.614783,0.108878,0.608925,0.140893,0.609761,0.1561,0.615053,0.169172,0.610848,0.193476,0.605882,0.208992,0.601185,0.221525,0.601377,0.238668,0.593869,0.247024,0.588158,0.131765,0.596115,0.128079,0.591985,0.125749,0.61382,0.134419,0.601614,0.127699,0.599118,0.372811,0.594317,0.370207,0.590295,0.323631,0.587595,0.328997,0.583071,0.378778,0.578429,0.376056,0.574868,0.319992,0.572088,0.325258,0.573186,0.382163,0.568644,0.379372,0.565761,0.317613,0.562933,0.322821,0.613025,0.173762,0.618434,0.208807,0.618537,0.243425,0.601387,0.160769,0.596117,0.172523,0.589892,0.173975,0.591916,0.256909,0.593382,0.312386,0.595615,0.362675,0.580201,0.373393,0.588488,0.24567,0.586844,0.286609,0.588183,0.320816,0.573065,0.320166,
58.333,0.564125,0.318784,0.573051,0.320176,0.588167,0.320821,0.586825,0.286607,0.588514,0.245706,0.57062,0.378378,0.580176,0.373427,0.595568,0.362709,0.59345,0.312398,0.5921,0.25695,0.588031,0.176475,0.590263,0.174021,0.596297,0.172452,0.601406,0.160819,0.603507,0.160319,0.618527,0.257408,0.618779,0.243474,0.618611,0.208829,0.61308,0.173754,0.60623,0.164027,0.615072,0.108896,0.60898,0.140883,0.609729,0.156098,0.61503,0.169167,0.61089,0.193477,0.605948,0.209,0.601266,0.221541,0.601467,0.23868,0.593968,0.247053,0.588301,0.131592,0.596288,0.127962,0.59216,0.125604,0.613945,0.134436,0.601749,0.127633,0.599068,0.372843,0.594247,0.370241,0.590276,0.323669,0.587566,0.329017,0.58305,0.378812,0.578387,0.376092,0.574856,0.320021,0.572065,0.325269,0.573172,0.382179,0.568608,0.379389,0.565742,0.317619,0.562904,0.322809,0.61308,0.173754,0.618611,0.208829,0.618779,0.243474,0.601406,0.160819,0.596297,0.172452,0.590263,0.174021,0.5921,0.25695,0.59345,0.312398,0.595568,0.362709,0.580176,0.373427,0.588514,0.245706,0.586825,0.286607,0.588167,0.320821,0.573051,0.320176,
66.666,0.564085,0.318761,0.573018,0.320172,0.588139,0.320825,0.586848,0.286617,0.588629,0.24574,0.570582,0.378362,0.580143,0.373432,0.595533,0.362708,0.593474,0.312438,0.5922,0.256954,0.588532,0.176604,0.590629,0.174071,0.596495,0.172408,0.601465,0.160843,0.603571,0.160315,0.618869,0.257501,0.619068,0.243561,0.618762,0.208867,0.613181,0.173716,0.606317,0.16402,0.615259,0.108898,0.609091,0.140872,0.609809,0.156087,0.615103,0.169155,0.610967,0.193469,0.60603,0.208996,0.601352,0.221542,0.601566,0.238688,0.594073,0.247069,0.588438,0.131541,0.596434,0.127932,0.592308,0.125556,0.614077,0.13445,0.601887,0.127595,0.599037,0.372841,0.594216,0.37024,0.590242,0.323667,0.587534,0.329017,0.583019,0.378815,0.578357,0.376096,0.57482,0.320014,0.572032,0.325265,0.57313,0.382164,0.568566,0.379375,0.565695,0.317592,0.562859,0.322784,0.613181,0.173716,0.618762,0.208867,0.619068,0.243561,0.601465,0.160843,0.596495,0.172408,0.590629,0.174071,0.5922,0.256954,0.593474,0.312438,0.595533,0.362708,0.580143,0.373432,0.588629,0.24574,0.586848,0.286617,0.588139,0.320825,0.573018,0.320172,
75,0.564074,0.318774,0.573022,0.320188,0.588158,0.320817,0.586776,0.286608,0.588678,0.245722,0.570557,0.378375,0.580123,0.373454,0.595512,0.362711,0.593507,0.312426,0.59219,0.256935,0.589048,0.176752,0.591002,0.174116,0.596693,0.172348,0.601523,0.160886,0.603671,0.16033,0.619213,0.257645,0.619371,0.243669,0.61893,0.208928,0.613344,0.173699,0.606434,0.164045,0.615462,0.108914,0.609232,0.140886,0.609924,0.156105,0.615208,0.169173,0.611064,0.193482,0.606115,0.209005,0.601423,0.221545,0.60161,0.238693,0.594101,0.247059,0.58861,0.131508,0.596618,0.12791,0.592483,0.125534,0.614251,0.134458,0.602039,0.127602,0.599018,0.372841,0.594198,0.370226,0.59025,0.323662,0.587556,0.329013,0.583,0.37884,0.578338,0.376106,0.574816,0.320031,0.57204,0.325283,0.5731,0.382184,0.568537,0.37938,0.565672,0.317605,0.562848,0.322798,0.613344,0.173699,0.61893,0.208928,0.619371,0.243669,0.601523,0.160886,0.596693,0.172348,0.591002,0.174116,0.59219,0.256935,0.593507,0.312426,0.595512,0.362711,0.580123,0.373454,0.588678,0.245722,0.586776,0.286608,0.588158,0.320817,0.573022,0.320188,
