Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.570871,0.373164,0.575062,0.376853,0.581702,0.381289,0.568184,0.337686,0.5555,0.28866,0.496146,0.420443,0.508073,0.419983,0.528379,0.416439,0.531658,0.358943,0.535361,0.297434,0.617818,0.219689,0.612114,0.217595,0.593943,0.214171,0.570664,0.197943,0.557666,0.196268,0.464676,0.284576,0.476646,0.272852,0.508003,0.241806,0.537699,0.208574,0.548372,0.199212,0.556755,0.141837,0.554713,0.175456,0.556925,0.191971,0.562612,0.207074,0.56039,0.233206,0.556919,0.249477,0.553525,0.262446,0.554614,0.281747,0.548571,0.28928,0.531438,0.163576,0.534666,0.160128,0.539162,0.158043,0.54566,0.167859,0.557866,0.161658,0.527135,0.428486,0.529383,0.425429,0.588437,0.386701,0.581215,0.390823,0.506772,0.426183,0.509293,0.423192,0.57997,0.378153,0.572934,0.382143,0.494742,0.424664,0.497423,0.421712,0.57513,0.373101,0.568201,0.377017,0.537699,0.208574,0.508003,0.241806,0.476646,0.272852,0.570664,0.197943,0.593943,0.214171,0.612114,0.217595,0.535361,0.297434,0.531658,0.358943,0.528379,0.416439,0.508073,0.419983,0.5555,0.28866,0.568184,0.337686,0.581702,0.381289,0.575062,0.376853,
8.333,0.570772,0.373178,0.575007,0.376891,0.581708,0.381328,0.56828,0.337702,0.555594,0.28866,0.496113,0.420486,0.508065,0.420018,0.528397,0.416407,0.531508,0.358954,0.535291,0.297384,0.618015,0.219931,0.612397,0.217557,0.594111,0.214117,0.570793,0.198072,0.557589,0.196276,0.464849,0.284764,0.476755,0.272925,0.5081,0.241891,0.53771,0.208655,0.548256,0.199218,0.556912,0.141839,0.554689,0.175441,0.556828,0.191965,0.562506,0.207071,0.560327,0.23321,0.556876,0.249482,0.5535,0.262447,0.55458,0.281749,0.548569,0.289265,0.531469,0.163421,0.534721,0.160003,0.539221,0.157926,0.545687,0.16782,0.557904,0.161636,0.527201,0.428459,0.529392,0.425382,0.588428,0.38673,0.581215,0.390861,0.5068,0.426227,0.509267,0.423214,0.579907,0.378185,0.572879,0.382184,0.494733,0.424717,0.497362,0.421743,0.575022,0.373106,0.5681,0.37703,0.53771,0.208655,0.5081,0.241891,0.476755,0.272925,0.570793,0.198072,0.594111,0.214117,0.612397,0.217557,0.535291,0.297384,0.531508,0.358954,0.528397,0.416407,0.508065,0.420018,0.555594,0.28866,0.56828,0.337702,0.581708,0.381328,0.575007,0.376891,
16.666,0.570841,0.373157,0.575035,0.376907,0.581652,0.381359,0.568229,0.337676,0.555603,0.288691,0.496069,0.420489,0.50803,0.42002,0.528363,0.416365,0.531606,0.358945,0.535241,0.297357,0.618288,0.220187,0.612683,0.217523,0.594279,0.214092,0.570963,0.198161,0.557636,0.196275,0.465019,0.284875,0.47693,0.272997,0.508198,0.241944,0.537753,0.208697,0.548278,0.199207,0.556997,0.141841,0.554739,0.175432,0.556862,0.191958,0.562526,0.20707,0.560345,0.233213,0.55689,0.249485,0.553508,0.26245,0.554562,0.281759,0.548549,0.28927,0.531528,0.163374,0.534785,0.159974,0.539287,0.157884,0.545745,0.167829,0.557968,0.161607,0.527202,0.428421,0.52937,0.425318,0.588364,0.38681,0.58112,0.390895,0.506787,0.426239,0.509233,0.423199,0.579939,0.378234,0.572882,0.382189,0.494701,0.42473,0.497308,0.42173,0.575096,0.373111,0.568147,0.376991,0.537753,0.208697,0.508198,0.241944,0.47693,0.272997,0.570963,0.198161,0.594279,0.214092,0.612683,0.217523,0.535241,0.297357,0.531606,0.358945,0.528363,0.416365,0.50803,0.42002,0.555603,0.288691,0.568229,0.337676,0.581652,0.381359,0.575035,0.376907,
25,0.570828,0.373162,0.575026,0.376929,0.58163,0.381369,0.568176,0.33767,0.555602,0.288654,0.496039,0.420469,0.508016,0.420025,0.528367,0.416356,0.53159,0.358942,0.535323,0.297371,0.618609,0.2204,0.612985,0.217543,0.59441,0.214072,0.571,0.198204,0.557646,0.196258,0.465244,0.285046,0.477088,0.273073,0.508287,0.241993,0.537792,0.208703,0.548284,0.199202,0.557109,0.141838,0.554777,0.175416,0.556874,0.191944,0.562535,0.207059,0.560368,0.233197,0.55692,0.249467,0.55354,0.262431,0.554614,0.281735,0.548593,0.289254,0.531596,0.163288,0.534856,0.15991,0.539368,0.157811,0.545792,0.16782,0.558047,0.161572,0.527217,0.428413,0.529358,0.425307,0.588348,0.386823,0.581104,0.390909,0.506785,0.426246,0.509205,0.423203,0.579932,0.378257,0.572875,0.382212,0.494675,0.424711,0.497257,0.421708,0.575082,0.373113,0.568132,0.376994,0.537792,0.208703,0.508287,0.241993,0.477088,0.273073,0.571,0.198204,0.59441,0.214072,0.612985,0.217543,0.535323,0.297371,0.53159,0.358942,0.528367,0.416356,0.508016,0.420025,0.555602,0.288654,0.568176,0.33767,0.58163,0.381369,0.575026,0.376929,
33.333,0.570772,0.373113,0.574992,0.376921,0.581623,0.381395,0.568203,0.337737,0.555644,0.288701,0.49599,0.420458,0.507973,0.420044,0.528327,0.416379,0.53166,0.358948,0.535411,0.297417,0.618967,0.220609,0.61331,0.217596,0.594552,0.214034,0.571002,0.198263,0.557586,0.196274,0.465484,0.285259,0.477227,0.273157,0.508387,0.242064,0.537831,0.208747,0.548239,0.199238,0.557283,0.141869,0.554786,0.175421,0.556828,0.191952,0.562509,0.207059,0.560403,0.233204,0.556976,0.249481,0.553603,0.262452,0.55469,0.28176,0.548661,0.289292,0.531663,0.163152,0.534939,0.159814,0.539463,0.157707,0.545836,0.167827,0.558125,0.161551,0.527175,0.428436,0.529314,0.425329,0.588316,0.386855,0.581066,0.390927,0.506742,0.426265,0.509159,0.423221,0.579888,0.378256,0.572826,0.382198,0.49462,0.4247,0.4972,0.421696,0.575019,0.373067,0.568064,0.376935,0.537831,0.208747,0.508387,0.242064,0.477227,0.273157,0.571002,0.198263,0.594552,0.214034,0.61331,0.217596,0.535411,0.297417,0.53166,0.358948,0.528327,0.416379,0.507973,0.420044,0.555644,0.288701,0.568203,0.337737,0.581623,0.381395,0.574992,0.376921,
41.666,0.570726,0.373112,0.574964,0.376937,0.581608,0.381405,0.568245,0.337744,0.555722,0.2887,0.495938,0.420391,0.507925,0.420018,0.528284,0.416375,0.531669,0.358975,0.535573,0.297472,0.619373,0.220829,0.613636,0.217665,0.594715,0.214014,0.57098,0.198281,0.557525,0.196258,0.465743,0.285431,0.477418,0.273265,0.508502,0.242117,0.537863,0.208727,0.548196,0.199235,0.557459,0.141868,0.554798,0.175387,0.556787,0.191918,0.562486,0.207019,0.560441,0.233178,0.55704,0.249466,0.553684,0.262448,0.55481,0.281756,0.548782,0.289309,0.531729,0.16297,0.535023,0.159681,0.539557,0.157556,0.545886,0.167811,0.558203,0.161478,0.527117,0.428428,0.529257,0.425332,0.588311,0.386849,0.58107,0.390937,0.506687,0.426234,0.509105,0.423202,0.579864,0.378261,0.57281,0.382218,0.494557,0.424627,0.497139,0.421635,0.57497,0.373054,0.568023,0.376937,0.537863,0.208727,0.508502,0.242117,0.477418,0.273265,0.57098,0.198281,0.594715,0.214014,0.613636,0.217665,0.535573,0.297472,0.531669,0.358975,0.528284,0.416375,0.507925,0.420018,0.555722,0.2887,0.568245,0.337744,0.581608,0.381405,0.574964,0.376937,
50,0.570648,0.37308,0.574919,0.376935,0.581609,0.38142,0.568226,0.337776,0.555781,0.288725,0.495912,0.420424,0.507911,0.42005,0.528276,0.416358,0.531636,0.358988,0.535514,0.297435,0.619734,0.221061,0.613979,0.217754,0.594895,0.213967,0.571024,0.198311,0.557576,0.196296,0.466028,0.285681,0.477595,0.273394,0.508616,0.242205,0.537939,0.208754,0.548248,0.199282,0.557604,0.141913,0.55488,0.175428,0.556843,0.191963,0.562539,0.207068,0.560488,0.233222,0.557077,0.249502,0.553712,0.262475,0.554801,0.281785,0.548778,0.289315,0.531831,0.162957,0.53513,0.159681,0.53967,0.157555,0.545978,0.167846,0.558313,0.161511,0.527144,0.428415,0.529257,0.4253,0.588287,0.386866,0.581047,0.390947,0.506696,0.426275,0.509088,0.423222,0.579808,0.378262,0.572753,0.382212,0.494544,0.424668,0.4971,0.421656,0.574884,0.373023,0.567936,0.376899,0.537939,0.208754,0.508616,0.242205,0.477595,0.273394,0.571024,0.198311,0.594895,0.213967,0.613979,0.217754,0.535514,0.297435,0.531636,0.358988,0.528276,0.416358,0.507911,0.42005,0.555781,0.288725,0.568226,0.337776,0.581609,0.38142,0.574919,0.376935,
58.333,0.570626,0.373062,0.5749,0.376939,0.581587,0.381418,0.568209,0.337768,0.555755,0.288762,0.495843,0.420416,0.507857,0.420068,0.528241,0.416379,0.531735,0.359036,0.535616,0.297518,0.620183,0.221303,0.614352,0.217874,0.595097,0.213923,0.571036,0.198368,0.557539,0.196316,0.466363,0.28588,0.477829,0.273512,0.508792,0.242269,0.537996,0.208755,0.548214,0.1993,0.557818,0.141953,0.554915,0.175423,0.556818,0.191957,0.56252,0.207059,0.560523,0.233231,0.557128,0.249524,0.553766,0.262508,0.554871,0.281819,0.548827,0.289366,0.531919,0.162791,0.535243,0.159575,0.539785,0.15742,0.546066,0.167876,0.558408,0.161454,0.527115,0.428436,0.529201,0.425311,0.588242,0.386898,0.580988,0.390951,0.506651,0.426296,0.509018,0.423233,0.579782,0.378288,0.572715,0.382212,0.494479,0.424664,0.49701,0.421642,0.574859,0.373021,0.567898,0.37687,0.537996,0.208755,0.508792,0.242269,0.477829,0.273512,0.571036,0.198368,0.595097,0.213923,0.614352,0.217874,0.535616,0.297518,0.531735,0.359036,0.528241,0.416379,0.507857,0.420068,0.555755,0.288762,0.568209,0.337768,0.581587,0.381418,0.5749,0.376939,
66.666,0.570586,0.37302,0.574874,0.376924,0.581567,0.381413,0.568225,0.337785,0.555816,0.288821,0.495818,0.420384,0.507835,0.420062,0.528216,0.416365,0.531651,0.359062,0.535656,0.297539,0.620644,0.221537,0.614698,0.217995,0.59529,0.21391,0.571075,0.198401,0.557586,0.19632,0.466675,0.286074,0.478106,0.273683,0.508947,0.242346,0.538064,0.208729,0.548278,0.199303,0.557925,0.141966,0.554989,0.175423,0.556884,0.191955,0.562587,0.207059,0.560587,0.233236,0.557187,0.249535,0.55382,0.262526,0.554922,0.281846,0.548878,0.289402,0.532,0.16275,0.535328,0.159556,0.539873,0.157381,0.546146,0.167903,0.558496,0.161425,0.527093,0.428422,0.529179,0.425298,0.588223,0.386885,0.580971,0.390942,0.50663,0.426289,0.508996,0.423227,0.579755,0.378269,0.572691,0.382196,0.494448,0.42463,0.496979,0.42161,0.574815,0.372972,0.567857,0.376825,0.538064,0.208729,0.508947,0.242346,0.478106,0.273683,0.571075,0.198401,0.59529,0.21391,0.614698,0.217995,0.535656,0.297539,0.531651,0.359062,0.528216,0.416365,0.507835,0.420062,0.555816,0.288821,0.568225,0.337785,0.581567,0.381413,0.574874,0.376924,
75,0.570539,0.373021,0.574858,0.376939,0.58159,0.381413,0.568179,0.337756,0.555881,0.288819,0.495793,0.420387,0.507809,0.420076,0.528176,0.416353,0.531675,0.359059,0.535671,0.297521,0.621106,0.221794,0.615047,0.218111,0.595481,0.213877,0.571099,0.198453,0.557645,0.196348,0.466996,0.286323,0.478372,0.273874,0.509097,0.242446,0.538165,0.208731,0.548351,0.199345,0.558087,0.141999,0.555084,0.175452,0.556956,0.191987,0.562664,0.207093,0.560669,0.233269,0.557263,0.249563,0.553889,0.262546,0.554966,0.281864,0.548919,0.289401,0.532103,0.162731,0.535446,0.159548,0.539985,0.157373,0.546269,0.167929,0.558601,0.161447,0.527073,0.428413,0.529162,0.425273,0.588236,0.386884,0.580991,0.390946,0.506612,0.426309,0.508982,0.423231,0.579734,0.378282,0.572675,0.382214,0.494422,0.424639,0.496956,0.421602,0.574762,0.372969,0.567808,0.376826,0.538165,0.208731,0.509097,0.242446,0.478372,0.273874,0.571099,0.198453,0.595481,0.213877,0.615047,0.218111,0.535671,0.297521,0.531675,0.359059,0.528176,0.416353,0.507809,0.420076,0.555881,0.288819,0.568179,0.337756,0.58159,0.381413,0.574858,0.376939,
