Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.479649,0.402492,0.467346,0.401276,0.446503,0.396366,0.445723,0.337062,0.44206,0.273852,0.409166,0.351196,0.404327,0.354585,0.396481,0.358371,0.409289,0.313691,0.422182,0.262219,0.519152,0.262039,0.507149,0.2507,0.475217,0.223425,0.44912,0.184324,0.435899,0.172913,0.363476,0.19312,0.368634,0.189866,0.384332,0.180361,0.40928,0.168896,0.425435,0.169013,0.42959,0.112947,0.430057,0.147892,0.427239,0.164956,0.420852,0.180367,0.421439,0.207156,0.423776,0.223779,0.426251,0.236999,0.423685,0.256353,0.42924,0.264135,0.445454,0.133869,0.437459,0.128781,0.446681,0.130454,0.419158,0.134005,0.445532,0.138993,0.390033,0.364145,0.397337,0.368238,0.447242,0.408496,0.445393,0.406034,0.399511,0.356053,0.40664,0.360017,0.468324,0.407364,0.466186,0.404942,0.40494,0.351235,0.411968,0.355126,0.480788,0.406539,0.478483,0.404142,0.40928,0.168896,0.384332,0.180361,0.368634,0.189866,0.44912,0.184324,0.475217,0.223425,0.507149,0.2507,0.422182,0.262219,0.409289,0.313691,0.396481,0.358371,0.404327,0.354585,0.44206,0.273852,0.445723,0.337062,0.446503,0.396366,0.467346,0.401276,
8.333,0.479599,0.402395,0.467298,0.401243,0.446461,0.396383,0.445662,0.337103,0.442026,0.273883,0.40905,0.351134,0.404261,0.354565,0.396518,0.35838,0.409211,0.313566,0.42232,0.262209,0.518785,0.262313,0.506912,0.250694,0.475087,0.22338,0.448877,0.184424,0.435918,0.172902,0.363344,0.193266,0.368461,0.189885,0.384205,0.180416,0.409252,0.168968,0.425491,0.169002,0.429474,0.112955,0.430046,0.147865,0.42726,0.164925,0.420862,0.18033,0.421424,0.207129,0.423765,0.22376,0.426253,0.236989,0.423685,0.256339,0.429275,0.264136,0.445426,0.133708,0.437415,0.128654,0.446635,0.130332,0.41912,0.133961,0.445487,0.138967,0.390064,0.364187,0.397398,0.368245,0.447228,0.408512,0.445353,0.406047,0.399436,0.356057,0.406592,0.359987,0.468295,0.407331,0.466133,0.404907,0.404815,0.35119,0.41187,0.355047,0.480762,0.406441,0.478432,0.404043,0.409252,0.168968,0.384205,0.180416,0.368461,0.189885,0.448877,0.184424,0.475087,0.22338,0.506912,0.250694,0.42232,0.262209,0.409211,0.313566,0.396518,0.35838,0.404261,0.354565,0.442026,0.273883,0.445662,0.337103,0.446461,0.396383,0.467298,0.401243,
16.666,0.4796,0.402425,0.467279,0.401271,0.446431,0.396353,0.445733,0.337086,0.441955,0.273883,0.409037,0.351101,0.404266,0.354549,0.396566,0.358353,0.409151,0.313575,0.422314,0.262154,0.518378,0.26263,0.506711,0.25071,0.474983,0.223383,0.44868,0.184512,0.435889,0.172907,0.363232,0.19336,0.368285,0.189922,0.384141,0.180469,0.409244,0.16902,0.425486,0.168996,0.429357,0.112946,0.429999,0.147856,0.427234,0.16492,0.420826,0.180321,0.421382,0.20712,0.423724,0.223751,0.426213,0.236976,0.423636,0.256315,0.429234,0.26411,0.445368,0.133658,0.437345,0.12862,0.446565,0.130284,0.419055,0.133966,0.445418,0.138932,0.390118,0.364192,0.397469,0.368223,0.447146,0.408489,0.445324,0.405988,0.39944,0.356062,0.406612,0.359966,0.468239,0.407373,0.466127,0.404912,0.404801,0.351172,0.411871,0.355004,0.480738,0.406487,0.478458,0.404052,0.409244,0.16902,0.384141,0.180469,0.368285,0.189922,0.44868,0.184512,0.474983,0.223383,0.506711,0.25071,0.422314,0.262154,0.409151,0.313575,0.396566,0.358353,0.404266,0.354549,0.441955,0.273883,0.445733,0.337086,0.446431,0.396353,0.467279,0.401271,
25,0.479567,0.402397,0.467242,0.401262,0.446398,0.396324,0.445744,0.337053,0.441994,0.273864,0.408998,0.351037,0.404245,0.35453,0.396591,0.358366,0.409169,0.313575,0.422265,0.262181,0.51792,0.26289,0.506417,0.250765,0.474864,0.223368,0.448601,0.184543,0.435862,0.172882,0.363084,0.193503,0.368126,0.189967,0.384069,0.180512,0.409197,0.169021,0.425464,0.168984,0.429199,0.112926,0.429927,0.147827,0.427197,0.164896,0.420803,0.180303,0.421374,0.20711,0.423726,0.223745,0.426218,0.236973,0.42365,0.256322,0.429234,0.264115,0.445301,0.133566,0.437262,0.128548,0.446475,0.130203,0.41897,0.133943,0.445314,0.138884,0.390139,0.36421,0.397502,0.368229,0.447103,0.408459,0.445284,0.405961,0.399413,0.356048,0.406597,0.359941,0.468196,0.407363,0.466088,0.404904,0.404761,0.351112,0.411842,0.354931,0.480708,0.406458,0.478431,0.404025,0.409197,0.169021,0.384069,0.180512,0.368126,0.189967,0.448601,0.184543,0.474864,0.223368,0.506417,0.250765,0.422265,0.262181,0.409169,0.313575,0.396591,0.358366,0.404245,0.35453,0.441994,0.273864,0.445744,0.337053,0.446398,0.396324,0.467242,0.401262,
33.333,0.479594,0.402315,0.467262,0.40124,0.446408,0.396354,0.44566,0.337091,0.441937,0.273905,0.408996,0.350996,0.404236,0.354514,0.396586,0.358358,0.409212,0.313648,0.422162,0.262215,0.517431,0.263152,0.506081,0.250856,0.474745,0.223336,0.448535,0.184585,0.435882,0.172886,0.362914,0.193675,0.367957,0.190006,0.383957,0.180562,0.409137,0.169055,0.425467,0.169008,0.428994,0.112944,0.429869,0.147816,0.427199,0.164889,0.420819,0.180301,0.421365,0.207127,0.423703,0.223773,0.426182,0.237007,0.423598,0.256358,0.429164,0.264152,0.445232,0.133421,0.437168,0.128443,0.446375,0.130088,0.418883,0.133934,0.445204,0.13885,0.390135,0.364202,0.397499,0.368219,0.447132,0.408492,0.445313,0.405974,0.399405,0.356033,0.406589,0.359923,0.468224,0.407348,0.466116,0.40487,0.404761,0.351068,0.411843,0.354887,0.480747,0.406382,0.47847,0.403932,0.409137,0.169055,0.383957,0.180562,0.367957,0.190006,0.448535,0.184585,0.474745,0.223336,0.506081,0.250856,0.422162,0.262215,0.409212,0.313648,0.396586,0.358358,0.404236,0.354514,0.441937,0.273905,0.44566,0.337091,0.446408,0.396354,0.467262,0.40124,
41.666,0.479579,0.402268,0.467247,0.401227,0.446396,0.396346,0.445617,0.337098,0.44188,0.273915,0.409071,0.350956,0.4043,0.354506,0.396648,0.358372,0.409195,0.313668,0.422017,0.262272,0.51687,0.263422,0.505711,0.250954,0.474575,0.223315,0.448512,0.184588,0.435913,0.17286,0.362725,0.193812,0.367805,0.19009,0.383868,0.18061,0.409087,0.169026,0.42548,0.168995,0.428754,0.11292,0.429813,0.147765,0.427216,0.164847,0.420843,0.18026,0.421344,0.207106,0.423662,0.223767,0.426124,0.237011,0.423529,0.256378,0.429073,0.264181,0.445149,0.133226,0.437055,0.128295,0.446257,0.129919,0.418782,0.1339,0.445086,0.138757,0.390193,0.3642,0.397554,0.368225,0.447131,0.40848,0.4453,0.405978,0.399468,0.356016,0.406649,0.359915,0.468217,0.407329,0.466098,0.404867,0.404838,0.351019,0.411917,0.354845,0.480746,0.406328,0.478458,0.403894,0.409087,0.169026,0.383868,0.18061,0.367805,0.19009,0.448512,0.184588,0.474575,0.223315,0.505711,0.250954,0.422017,0.262272,0.409195,0.313668,0.396648,0.358372,0.4043,0.354506,0.44188,0.273915,0.445617,0.337098,0.446396,0.396346,0.467247,0.401227,
50,0.479589,0.402177,0.467255,0.401195,0.446402,0.396368,0.445606,0.337115,0.441839,0.27395,0.409003,0.350924,0.404255,0.354495,0.396654,0.358355,0.409104,0.313604,0.4221,0.26225,0.516341,0.263698,0.505316,0.251077,0.474409,0.22327,0.448413,0.184601,0.435806,0.172878,0.362509,0.194007,0.367612,0.190168,0.383739,0.180673,0.408957,0.169028,0.425372,0.169021,0.428568,0.112951,0.429675,0.147786,0.427099,0.16487,0.420741,0.180291,0.421267,0.207138,0.423604,0.223794,0.426087,0.237034,0.423504,0.25639,0.429079,0.264189,0.445018,0.1332,0.436915,0.128281,0.446113,0.129906,0.418639,0.133916,0.44493,0.138776,0.390201,0.364211,0.397578,0.368213,0.447161,0.408504,0.445317,0.405984,0.399419,0.356024,0.406616,0.359899,0.468238,0.407302,0.466107,0.404823,0.404769,0.351,0.411862,0.354802,0.480773,0.406242,0.478473,0.403792,0.408957,0.169028,0.383739,0.180673,0.367612,0.190168,0.448413,0.184601,0.474409,0.22327,0.505316,0.251077,0.4221,0.26225,0.409104,0.313604,0.396654,0.358355,0.404255,0.354495,0.441839,0.27395,0.445606,0.337115,0.446402,0.396368,0.467255,0.401195,
58.333,0.479601,0.402148,0.467261,0.40119,0.446411,0.396355,0.445625,0.337106,0.441775,0.273942,0.408986,0.350863,0.404254,0.354478,0.396692,0.35838,0.409066,0.313684,0.421905,0.262278,0.51578,0.264023,0.504926,0.25126,0.474275,0.223252,0.448383,0.184657,0.435843,0.172901,0.362281,0.194173,0.36745,0.19027,0.383612,0.180735,0.408918,0.169034,0.425407,0.169041,0.42829,0.112969,0.429621,0.147774,0.427129,0.164866,0.420764,0.180283,0.421228,0.207144,0.42354,0.223809,0.426002,0.237052,0.423416,0.256414,0.428963,0.264205,0.444909,0.133019,0.436771,0.128158,0.445969,0.129751,0.418519,0.133933,0.444807,0.138703,0.390244,0.364244,0.397634,0.368228,0.447152,0.408498,0.445319,0.405944,0.399417,0.356015,0.406626,0.359873,0.468233,0.407308,0.466112,0.404796,0.40475,0.350944,0.411856,0.35473,0.480782,0.406226,0.478491,0.403743,0.408918,0.169034,0.383612,0.180735,0.36745,0.19027,0.448383,0.184657,0.474275,0.223252,0.504926,0.25126,0.421905,0.262278,0.409066,0.313684,0.396692,0.35838,0.404254,0.354478,0.441775,0.273942,0.445625,0.337106,0.446411,0.396355,0.467261,0.40119,
66.666,0.479641,0.402095,0.467297,0.401178,0.446445,0.396359,0.445598,0.337119,0.441638,0.273965,0.409021,0.350842,0.404281,0.354478,0.396725,0.358375,0.408984,0.313609,0.421794,0.26226,0.515172,0.264323,0.504519,0.251422,0.474093,0.223247,0.448314,0.184683,0.435781,0.172898,0.36205,0.194325,0.367252,0.190413,0.383503,0.18081,0.40883,0.168996,0.425328,0.169037,0.428091,0.112954,0.429512,0.14776,0.427058,0.16486,0.4207,0.180282,0.421157,0.207144,0.423459,0.223809,0.425912,0.237051,0.423303,0.256408,0.428843,0.264204,0.444785,0.132961,0.436633,0.128119,0.445829,0.129692,0.418387,0.13394,0.444669,0.138654,0.390274,0.364239,0.397664,0.368224,0.447196,0.4085,0.44536,0.405951,0.399444,0.356015,0.406653,0.359873,0.468275,0.407295,0.466151,0.404787,0.404787,0.350921,0.411893,0.354708,0.480834,0.40617,0.47854,0.403693,0.40883,0.168996,0.383503,0.18081,0.367252,0.190413,0.448314,0.184683,0.474093,0.223247,0.504519,0.251422,0.421794,0.26226,0.408984,0.313609,0.396725,0.358375,0.404281,0.354478,0.441638,0.273965,0.445598,0.337119,0.446445,0.396359,0.467297,0.401178,
75,0.479616,0.402043,0.467274,0.401167,0.446431,0.396366,0.445682,0.33711,0.441611,0.273981,0.409036,0.350841,0.404289,0.354481,0.396731,0.358342,0.408956,0.313602,0.421818,0.262263,0.514525,0.264635,0.504098,0.251573,0.473913,0.223217,0.44823,0.184717,0.43567,0.172907,0.361813,0.194522,0.367033,0.190561,0.38337,0.180893,0.408677,0.168973,0.425205,0.169058,0.427902,0.112976,0.429368,0.147771,0.426935,0.164874,0.420594,0.180304,0.421065,0.207172,0.423382,0.223835,0.425852,0.237075,0.423267,0.25643,0.42883,0.264217,0.444624,0.13292,0.436463,0.128092,0.445664,0.129664,0.418223,0.133948,0.444515,0.13866,0.390287,0.364228,0.397681,0.368201,0.447193,0.408508,0.445338,0.405954,0.399454,0.356029,0.406666,0.359877,0.468262,0.407284,0.466119,0.404773,0.404806,0.350926,0.411915,0.354702,0.480824,0.406118,0.478513,0.403637,0.408677,0.168973,0.38337,0.180893,0.367033,0.190561,0.44823,0.184717,0.473913,0.223217,0.504098,0.251573,0.421818,0.262263,0.408956,0.313602,0.396731,0.358342,0.404289,0.354481,0.441611,0.273981,0.445682,0.33711,0.446431,0.396366,0.467274,0.401167,
