Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.538273,0.379947,0.533069,0.38477,0.5232,0.39077,0.508075,0.338375,0.491042,0.280536,0.421049,0.381688,0.425913,0.386365,0.434888,0.392068,0.445669,0.339546,0.456554,0.280166,0.608662,0.230631,0.594138,0.225316,0.5514,0.213037,0.506486,0.18513,0.482643,0.178727,0.341303,0.23743,0.354786,0.23036,0.393359,0.210187,0.440837,0.18528,0.464869,0.178863,0.472869,0.114971,0.47344,0.153767,0.473947,0.173127,0.474366,0.191557,0.474384,0.220248,0.474248,0.237194,0.474122,0.250298,0.473957,0.271263,0.473866,0.277389,0.465368,0.135472,0.460933,0.131905,0.472949,0.130891,0.454569,0.142329,0.489321,0.139225,0.428615,0.401943,0.437106,0.401176,0.530385,0.400136,0.522255,0.400228,0.420887,0.390865,0.429193,0.390218,0.538398,0.388814,0.530443,0.389002,0.416429,0.384373,0.42463,0.383793,0.542995,0.382199,0.53514,0.382441,0.440837,0.18528,0.393359,0.210187,0.354786,0.23036,0.506486,0.18513,0.5514,0.213037,0.594138,0.225316,0.456554,0.280166,0.445669,0.339546,0.434888,0.392068,0.425913,0.386365,0.491042,0.280536,0.508075,0.338375,0.5232,0.39077,0.533069,0.38477,
8.333,0.538146,0.379905,0.532983,0.384777,0.523173,0.390808,0.508114,0.338432,0.491099,0.280571,0.420921,0.381698,0.42585,0.386385,0.434935,0.392052,0.445473,0.339481,0.456614,0.2801,0.608622,0.230983,0.594267,0.22536,0.551467,0.213022,0.50641,0.185304,0.482589,0.178716,0.341304,0.23765,0.354692,0.23045,0.393316,0.210293,0.440826,0.18537,0.464815,0.178841,0.472912,0.115,0.473406,0.153742,0.473875,0.173095,0.474274,0.191523,0.474312,0.220231,0.4742,0.237183,0.474102,0.250289,0.473927,0.271252,0.473893,0.277375,0.465362,0.135302,0.460935,0.131773,0.472955,0.130766,0.454555,0.142289,0.489316,0.139206,0.428697,0.401956,0.437167,0.401144,0.530366,0.400159,0.522225,0.400263,0.420842,0.390909,0.429131,0.390219,0.538319,0.388811,0.530353,0.389009,0.416312,0.384402,0.424498,0.383781,0.542876,0.382145,0.535012,0.382397,0.440826,0.18537,0.393316,0.210293,0.354692,0.23045,0.50641,0.185304,0.551467,0.213022,0.594267,0.22536,0.456614,0.2801,0.445473,0.339481,0.434935,0.392052,0.42585,0.386385,0.491099,0.280571,0.508114,0.338432,0.523173,0.390808,0.532983,0.384777,
16.666,0.538209,0.37992,0.532996,0.384806,0.523098,0.390808,0.508124,0.338387,0.491049,0.280601,0.420876,0.381678,0.425827,0.386371,0.434948,0.392,0.4455,0.33951,0.456564,0.280051,0.608638,0.231379,0.594425,0.225411,0.551555,0.213042,0.50641,0.185447,0.482607,0.178726,0.341319,0.237798,0.354643,0.230557,0.393335,0.210373,0.440858,0.185427,0.46483,0.178835,0.472886,0.115016,0.47341,0.153743,0.473883,0.173095,0.47426,0.191525,0.474291,0.220237,0.474176,0.237189,0.474073,0.250292,0.473868,0.271252,0.47384,0.277369,0.465361,0.13526,0.460927,0.131751,0.47295,0.130729,0.454547,0.142309,0.489315,0.139184,0.428746,0.401927,0.43721,0.401083,0.530243,0.400198,0.522114,0.400243,0.420837,0.390914,0.42912,0.390192,0.538308,0.388873,0.530352,0.389016,0.416275,0.384397,0.424456,0.383743,0.542927,0.382186,0.535071,0.382384,0.440858,0.185427,0.393335,0.210373,0.354643,0.230557,0.50641,0.185447,0.551555,0.213042,0.594425,0.225411,0.456564,0.280051,0.4455,0.33951,0.434948,0.392,0.425827,0.386371,0.491049,0.280601,0.508124,0.338387,0.523098,0.390808,0.532996,0.384806,
25,0.538173,0.379914,0.532961,0.38482,0.523052,0.390803,0.508084,0.338357,0.491079,0.280564,0.420817,0.381641,0.425796,0.386366,0.434975,0.391998,0.445503,0.339502,0.456591,0.280093,0.608667,0.231736,0.594536,0.225529,0.551595,0.213056,0.50638,0.185503,0.482592,0.178708,0.34134,0.238016,0.3546,0.230666,0.39334,0.210444,0.440849,0.185442,0.464814,0.178829,0.472846,0.115027,0.47338,0.153731,0.473859,0.17308,0.474247,0.191513,0.474305,0.220227,0.474204,0.237179,0.474105,0.250283,0.473926,0.271247,0.473879,0.277369,0.465355,0.135174,0.460911,0.13169,0.472941,0.13066,0.454509,0.142306,0.489296,0.139156,0.428778,0.401931,0.43723,0.40107,0.530194,0.400198,0.522067,0.400244,0.420811,0.390917,0.429085,0.390179,0.538271,0.388889,0.530317,0.389032,0.416217,0.384363,0.424389,0.383696,0.542892,0.382178,0.535038,0.382377,0.440849,0.185442,0.39334,0.210444,0.3546,0.230666,0.50638,0.185503,0.551595,0.213056,0.594536,0.225529,0.456591,0.280093,0.445503,0.339502,0.434975,0.391998,0.425796,0.386366,0.491079,0.280564,0.508084,0.338357,0.523052,0.390803,0.532961,0.38482,
33.333,0.538141,0.379837,0.532944,0.384796,0.523054,0.390827,0.508043,0.338432,0.491071,0.280626,0.420777,0.381608,0.425755,0.386362,0.434938,0.391999,0.445601,0.339544,0.456578,0.280166,0.608717,0.232101,0.594641,0.225693,0.551644,0.213052,0.50633,0.185569,0.482554,0.178711,0.341353,0.238278,0.354533,0.230776,0.393313,0.210538,0.44083,0.185497,0.464779,0.178858,0.472823,0.115091,0.473336,0.153736,0.473819,0.173076,0.474238,0.191507,0.474329,0.220246,0.474235,0.237212,0.474132,0.250327,0.473949,0.271299,0.47388,0.277431,0.465345,0.13503,0.460894,0.131594,0.472932,0.130556,0.454468,0.142319,0.489273,0.139145,0.428741,0.40193,0.437192,0.401068,0.530188,0.400216,0.522056,0.400245,0.42077,0.390912,0.429043,0.390173,0.538251,0.388867,0.530293,0.388994,0.416175,0.384327,0.424346,0.383658,0.542862,0.382102,0.535004,0.382285,0.44083,0.185497,0.393313,0.210538,0.354533,0.230776,0.50633,0.185569,0.551644,0.213052,0.594641,0.225693,0.456578,0.280166,0.445601,0.339544,0.434938,0.391999,0.425755,0.386362,0.491071,0.280626,0.508043,0.338432,0.523054,0.390827,0.532944,0.384796,
41.666,0.538088,0.379811,0.532908,0.384797,0.523031,0.390828,0.508047,0.338455,0.491094,0.280652,0.420799,0.381531,0.425774,0.386322,0.43496,0.391981,0.445595,0.339572,0.456592,0.280273,0.608767,0.232493,0.594723,0.225875,0.551676,0.213074,0.50629,0.185581,0.482524,0.178678,0.341357,0.238505,0.354526,0.230926,0.393321,0.21062,0.440809,0.185481,0.464751,0.178843,0.47277,0.115116,0.473294,0.153697,0.473795,0.173028,0.474235,0.191457,0.474344,0.220227,0.474256,0.237216,0.474153,0.250347,0.473997,0.271335,0.473909,0.277488,0.46532,0.134835,0.46086,0.131456,0.472904,0.130397,0.454418,0.142308,0.48924,0.139072,0.428748,0.401901,0.437196,0.401049,0.530182,0.400207,0.52205,0.400256,0.420783,0.390865,0.429053,0.390136,0.538222,0.388858,0.530264,0.389004,0.416193,0.38424,0.42436,0.383581,0.542816,0.382063,0.534958,0.382264,0.440809,0.185481,0.393321,0.21062,0.354526,0.230926,0.50629,0.185581,0.551676,0.213074,0.594723,0.225875,0.456592,0.280273,0.445595,0.339572,0.43496,0.391981,0.425774,0.386322,0.491094,0.280652,0.508047,0.338455,0.523031,0.390828,0.532908,0.384797,
50,0.538023,0.379738,0.532872,0.384772,0.523038,0.390844,0.508022,0.338479,0.491113,0.280699,0.420721,0.381541,0.425724,0.38634,0.434958,0.391961,0.445485,0.339561,0.456613,0.280219,0.60879,0.232885,0.594806,0.226087,0.551728,0.21307,0.50625,0.185624,0.482479,0.178729,0.341356,0.238811,0.354465,0.231088,0.39329,0.210735,0.440754,0.185523,0.464703,0.178904,0.472739,0.11519,0.473247,0.153756,0.473743,0.173087,0.474194,0.191522,0.474321,0.220286,0.474241,0.237264,0.474148,0.250384,0.473968,0.27136,0.473912,0.277494,0.465295,0.134837,0.46083,0.131473,0.47288,0.130415,0.45437,0.142362,0.489209,0.13913,0.428776,0.401904,0.437216,0.401021,0.530184,0.400216,0.522042,0.400256,0.420749,0.3909,0.429011,0.390142,0.538187,0.388832,0.53022,0.38897,0.416122,0.384263,0.424283,0.383576,0.542755,0.381988,0.534889,0.382181,0.440754,0.185523,0.39329,0.210735,0.354465,0.231088,0.50625,0.185624,0.551728,0.21307,0.594806,0.226087,0.456613,0.280219,0.445485,0.339561,0.434958,0.391961,0.425724,0.38634,0.491113,0.280699,0.508022,0.338479,0.523038,0.390844,0.532872,0.384772,
58.333,0.538011,0.37971,0.532859,0.384767,0.523024,0.390831,0.508021,0.338464,0.491038,0.280723,0.420652,0.381499,0.425682,0.38633,0.434966,0.391968,0.445537,0.339649,0.456531,0.280327,0.608888,0.233322,0.594925,0.226348,0.551826,0.213078,0.506238,0.185692,0.482479,0.178744,0.341375,0.239084,0.354481,0.23126,0.39331,0.210843,0.440769,0.185539,0.464705,0.178916,0.472688,0.11527,0.473231,0.153757,0.473747,0.173075,0.474196,0.191507,0.474319,0.220305,0.474232,0.237301,0.474123,0.250433,0.473955,0.271416,0.473856,0.277557,0.465266,0.134663,0.460794,0.13137,0.47285,0.130277,0.45434,0.142411,0.489187,0.139079,0.428794,0.401914,0.437222,0.40101,0.530136,0.400223,0.521989,0.400228,0.420713,0.390898,0.428966,0.39012,0.53816,0.388845,0.530188,0.388949,0.416055,0.384226,0.424208,0.383519,0.542738,0.381973,0.534868,0.382134,0.440769,0.185539,0.39331,0.210843,0.354481,0.23126,0.506238,0.185692,0.551826,0.213078,0.594925,0.226348,0.456531,0.280327,0.445537,0.339649,0.434966,0.391968,0.425682,0.38633,0.491038,0.280723,0.508021,0.338464,0.523024,0.390831,0.532859,0.384767,
66.666,0.538003,0.379649,0.532862,0.384741,0.523032,0.390819,0.508015,0.338487,0.490982,0.2808,0.420662,0.381462,0.425689,0.386317,0.434974,0.391947,0.445394,0.339628,0.456468,0.280355,0.608966,0.233752,0.595004,0.2266,0.55188,0.213117,0.50622,0.185739,0.482467,0.178757,0.341373,0.239344,0.354495,0.231494,0.393333,0.210961,0.440742,0.185523,0.464692,0.178934,0.472608,0.1153,0.473201,0.15377,0.473744,0.173087,0.474202,0.191523,0.474314,0.220327,0.474214,0.237328,0.474094,0.250464,0.473902,0.271456,0.473799,0.277605,0.465226,0.134629,0.460744,0.13136,0.472804,0.130246,0.45429,0.142454,0.489149,0.139059,0.428803,0.401893,0.43723,0.400991,0.530151,0.400203,0.522005,0.400214,0.42072,0.390885,0.428972,0.390107,0.538166,0.388815,0.530195,0.388924,0.416063,0.384185,0.424215,0.38348,0.542735,0.381905,0.534865,0.382071,0.440742,0.185523,0.393333,0.210961,0.354495,0.231494,0.50622,0.185739,0.55188,0.213117,0.595004,0.2266,0.456468,0.280355,0.445394,0.339628,0.434974,0.391947,0.425689,0.386317,0.490982,0.2808,0.508015,0.338487,0.523032,0.390819,0.532862,0.384741,
75,0.537942,0.379624,0.53283,0.384746,0.523042,0.39083,0.50804,0.338442,0.491017,0.28082,0.420657,0.381454,0.425676,0.386319,0.434947,0.391916,0.445388,0.339633,0.456502,0.280345,0.609017,0.234208,0.595076,0.226847,0.551931,0.213132,0.506173,0.185801,0.482426,0.1788,0.341378,0.23966,0.354481,0.231743,0.393328,0.211098,0.440686,0.185544,0.464648,0.178993,0.472588,0.115364,0.473161,0.15382,0.473702,0.173137,0.474179,0.191577,0.474309,0.220384,0.474216,0.237379,0.474104,0.250507,0.473911,0.271489,0.473824,0.277619,0.465174,0.134623,0.460697,0.13137,0.47276,0.130254,0.454251,0.142504,0.489115,0.139102,0.428799,0.401876,0.43723,0.400961,0.530162,0.40021,0.522006,0.400226,0.420717,0.390896,0.428973,0.390105,0.538137,0.388816,0.530157,0.388931,0.41606,0.384183,0.424216,0.383465,0.542678,0.381873,0.5348,0.382044,0.440686,0.185544,0.393328,0.211098,0.354481,0.231743,0.506173,0.185801,0.551931,0.213132,0.595076,0.226847,0.456502,0.280345,0.445388,0.339633,0.434947,0.391916,0.425676,0.386319,0.491017,0.28082,0.50804,0.338442,0.523042,0.39083,0.53283,0.384746,
