Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.445284,0.34442,0.444149,0.337716,0.442967,0.325048,0.455672,0.284372,0.468027,0.238017,0.516822,0.316117,0.508241,0.312953,0.493961,0.306135,0.49083,0.272012,0.487276,0.23174,0.392718,0.215092,0.402184,0.207436,0.428497,0.189606,0.455461,0.163305,0.468858,0.156231,0.539921,0.182162,0.532596,0.178183,0.511692,0.16691,0.488351,0.154804,0.478004,0.154229,0.471551,0.109057,0.472577,0.136717,0.470983,0.149406,0.467267,0.159584,0.468512,0.180893,0.470629,0.195049,0.472741,0.206744,0.471971,0.221324,0.475842,0.230334,0.489649,0.130925,0.488008,0.125624,0.48317,0.126828,0.481525,0.126716,0.467636,0.130155,0.495411,0.309539,0.493002,0.313924,0.436795,0.331144,0.44346,0.332649,0.509447,0.313252,0.507128,0.3177,0.439422,0.3401,0.446234,0.341597,0.517988,0.315365,0.515724,0.31985,0.441045,0.345547,0.447949,0.347039,0.488351,0.154804,0.511692,0.16691,0.532596,0.178183,0.455461,0.163305,0.428497,0.189606,0.402184,0.207436,0.487276,0.23174,0.49083,0.272012,0.493961,0.306135,0.508241,0.312953,0.468027,0.238017,0.455672,0.284372,0.442967,0.325048,0.444149,0.337716,
8.333,0.445388,0.344385,0.444209,0.337708,0.442971,0.325048,0.455602,0.284349,0.467954,0.238003,0.516851,0.31604,0.508251,0.312921,0.493944,0.306145,0.490953,0.271946,0.487315,0.231779,0.392633,0.215177,0.401981,0.207292,0.428378,0.189503,0.455397,0.163329,0.468918,0.156241,0.539809,0.182231,0.532525,0.178154,0.511632,0.166921,0.488345,0.154856,0.478088,0.154249,0.471443,0.109035,0.472599,0.1367,0.471058,0.149404,0.46735,0.159579,0.468564,0.180886,0.470665,0.195044,0.47276,0.206744,0.471998,0.221323,0.475839,0.230343,0.489629,0.130785,0.48797,0.125508,0.483129,0.126715,0.48151,0.126675,0.467613,0.130124,0.49536,0.309556,0.492989,0.313942,0.436806,0.331159,0.443469,0.33265,0.509431,0.313222,0.507151,0.31767,0.439486,0.340102,0.446295,0.341585,0.517999,0.315291,0.515775,0.319777,0.441152,0.345524,0.448054,0.347002,0.488345,0.154856,0.511632,0.166921,0.532525,0.178154,0.455397,0.163329,0.428378,0.189503,0.401981,0.207292,0.487315,0.231779,0.490953,0.271946,0.493944,0.306145,0.508251,0.312921,0.467954,0.238003,0.455602,0.284349,0.442971,0.325048,0.444209,0.337708,
16.666,0.445324,0.344369,0.444187,0.33771,0.443026,0.325047,0.455632,0.284373,0.467958,0.237987,0.516884,0.316024,0.508276,0.312922,0.493965,0.306148,0.490886,0.271906,0.487356,0.231748,0.392484,0.215257,0.401765,0.207168,0.428251,0.18944,0.455289,0.163337,0.468884,0.156231,0.5397,0.18226,0.532413,0.178127,0.511568,0.166937,0.488313,0.154888,0.478071,0.154239,0.471393,0.10901,0.472567,0.136679,0.471035,0.14939,0.46734,0.159565,0.468557,0.18087,0.47066,0.195028,0.472761,0.206726,0.472021,0.221302,0.475861,0.23032,0.489587,0.130728,0.487927,0.125465,0.483084,0.126659,0.481474,0.126664,0.467571,0.13008,0.495354,0.309574,0.492998,0.313952,0.436881,0.331157,0.443557,0.332647,0.50944,0.313232,0.507175,0.317672,0.439469,0.340103,0.446293,0.341586,0.518023,0.315284,0.515815,0.319761,0.441088,0.345511,0.448005,0.346989,0.488313,0.154888,0.511568,0.166937,0.532413,0.178127,0.455289,0.163337,0.428251,0.18944,0.401765,0.207168,0.487356,0.231748,0.490886,0.271906,0.493965,0.306148,0.508276,0.312922,0.467958,0.237987,0.455632,0.284373,0.443026,0.325047,0.444187,0.33771,
25,0.445344,0.344344,0.444204,0.337698,0.443053,0.325028,0.455675,0.284372,0.467953,0.237978,0.516909,0.31597,0.508288,0.312905,0.493959,0.306164,0.490896,0.271915,0.487297,0.231736,0.392307,0.215268,0.401559,0.207057,0.428162,0.189373,0.455273,0.163345,0.468881,0.156207,0.539555,0.182313,0.532311,0.178111,0.51151,0.166946,0.488289,0.154876,0.47807,0.154227,0.471329,0.10897,0.472547,0.136644,0.471032,0.149366,0.467336,0.159547,0.46854,0.180855,0.470636,0.195015,0.472735,0.206715,0.471977,0.221294,0.475825,0.230311,0.48954,0.130636,0.487881,0.125388,0.483029,0.126572,0.481449,0.126634,0.467524,0.130021,0.495341,0.309588,0.493003,0.313971,0.436905,0.331132,0.443581,0.332624,0.509443,0.313214,0.507198,0.317657,0.439485,0.340088,0.446308,0.341573,0.518044,0.31523,0.515855,0.31971,0.441108,0.345487,0.448025,0.346967,0.488289,0.154876,0.51151,0.166946,0.532311,0.178111,0.455273,0.163345,0.428162,0.189373,0.401559,0.207057,0.487297,0.231736,0.490896,0.271915,0.493959,0.306164,0.508288,0.312905,0.467953,0.237978,0.455675,0.284372,0.443053,0.325028,0.444204,0.337698,
33.333,0.445391,0.344317,0.444231,0.337705,0.443056,0.325058,0.455668,0.284373,0.467926,0.237987,0.516945,0.315953,0.508321,0.312906,0.493989,0.306172,0.490837,0.271959,0.48724,0.231718,0.392102,0.21526,0.401344,0.206961,0.428064,0.18929,0.455283,0.163372,0.468926,0.156226,0.539401,0.182385,0.532221,0.178094,0.511447,0.166953,0.488266,0.154889,0.478105,0.154256,0.471223,0.10895,0.472549,0.13663,0.471069,0.149371,0.467354,0.159553,0.468514,0.180859,0.470595,0.19502,0.472689,0.206718,0.471925,0.221291,0.47578,0.230306,0.489495,0.130499,0.487827,0.125283,0.482966,0.126456,0.481427,0.126614,0.467477,0.129972,0.495371,0.309596,0.493036,0.313979,0.436925,0.331182,0.443606,0.332661,0.509475,0.313215,0.507232,0.317659,0.439518,0.340108,0.446347,0.34158,0.518084,0.315214,0.515898,0.319694,0.441159,0.345473,0.448081,0.346941,0.488266,0.154889,0.511447,0.166953,0.532221,0.178094,0.455283,0.163372,0.428064,0.18929,0.401344,0.206961,0.48724,0.231718,0.490837,0.271959,0.493989,0.306172,0.508321,0.312906,0.467926,0.237987,0.455668,0.284373,0.443056,0.325058,0.444231,0.337705,
41.666,0.445437,0.344302,0.444259,0.337706,0.443072,0.325056,0.45564,0.284351,0.467871,0.237957,0.516982,0.315962,0.508352,0.312936,0.494014,0.306215,0.490832,0.271969,0.487129,0.231687,0.391873,0.215229,0.401138,0.206866,0.427959,0.189203,0.455306,0.163377,0.468971,0.156222,0.539234,0.182422,0.532098,0.178105,0.511372,0.166959,0.488248,0.154855,0.478137,0.154256,0.47112,0.108894,0.472549,0.136584,0.471099,0.149347,0.467369,0.159528,0.468487,0.18083,0.470551,0.194992,0.472634,0.20669,0.47184,0.221258,0.475696,0.230275,0.489453,0.130321,0.487774,0.125141,0.482906,0.126293,0.481402,0.126572,0.467433,0.129876,0.495407,0.309632,0.493072,0.314021,0.43693,0.331175,0.443606,0.33266,0.509512,0.313241,0.507269,0.31769,0.439543,0.340105,0.446365,0.341582,0.518128,0.315219,0.515942,0.319706,0.441205,0.345457,0.448122,0.34693,0.488248,0.154855,0.511372,0.166959,0.532098,0.178105,0.455306,0.163377,0.427959,0.189203,0.401138,0.206866,0.487129,0.231687,0.490832,0.271969,0.494014,0.306215,0.508352,0.312936,0.467871,0.237957,0.45564,0.284351,0.443072,0.325056,0.444259,0.337706,
50,0.445508,0.344275,0.444298,0.337708,0.443069,0.325074,0.455658,0.284371,0.467828,0.237958,0.517003,0.315923,0.508365,0.312919,0.49402,0.306206,0.490868,0.271908,0.487166,0.231703,0.39168,0.215227,0.400922,0.206781,0.427837,0.189092,0.455287,0.163367,0.468947,0.156214,0.53905,0.182497,0.531984,0.178109,0.511301,0.166973,0.488206,0.15483,0.478111,0.154256,0.471033,0.108888,0.472505,0.136575,0.471073,0.149344,0.467344,0.159531,0.468462,0.180834,0.470531,0.194996,0.472616,0.206694,0.47185,0.221267,0.475698,0.230284,0.489384,0.130271,0.487704,0.125102,0.482831,0.126252,0.48135,0.12656,0.467367,0.12986,0.495387,0.309633,0.49307,0.314017,0.436943,0.331213,0.443622,0.332681,0.509508,0.313229,0.507283,0.317674,0.439588,0.340121,0.446414,0.341581,0.51814,0.315186,0.515973,0.319668,0.44128,0.345445,0.4482,0.346901,0.488206,0.15483,0.511301,0.166973,0.531984,0.178109,0.455287,0.163367,0.427837,0.189092,0.400922,0.206781,0.487166,0.231703,0.490868,0.271908,0.49402,0.306206,0.508365,0.312919,0.467828,0.237958,0.455658,0.284371,0.443069,0.325074,0.444298,0.337708,
58.333,0.445526,0.344266,0.444314,0.337715,0.443086,0.325078,0.455669,0.284375,0.46786,0.237949,0.517056,0.315892,0.508405,0.312925,0.494041,0.30625,0.490796,0.271929,0.487109,0.231659,0.391408,0.21522,0.400676,0.20673,0.427689,0.188998,0.455283,0.163406,0.468971,0.156244,0.538836,0.182538,0.531834,0.178126,0.511186,0.166974,0.488167,0.154819,0.478133,0.154282,0.470906,0.108858,0.472485,0.136555,0.471088,0.149349,0.467356,0.159531,0.468441,0.180826,0.4705,0.194985,0.472586,0.206681,0.471808,0.22125,0.475676,0.23026,0.489327,0.130098,0.487632,0.124974,0.482757,0.126097,0.481297,0.126551,0.46731,0.129776,0.495404,0.309682,0.493105,0.314067,0.436984,0.331231,0.443672,0.332681,0.50954,0.313238,0.507335,0.317683,0.439612,0.34014,0.446448,0.341582,0.518188,0.315157,0.516041,0.319639,0.441302,0.345449,0.448232,0.346887,0.488167,0.154819,0.511186,0.166974,0.531834,0.178126,0.455283,0.163406,0.427689,0.188998,0.400676,0.20673,0.487109,0.231659,0.490796,0.271929,0.494041,0.30625,0.508405,0.312925,0.46786,0.237949,0.455669,0.284375,0.443086,0.325078,0.444314,0.337715,
66.666,0.445555,0.344258,0.44433,0.33773,0.443096,0.325099,0.455661,0.284373,0.467831,0.237922,0.517073,0.315895,0.50842,0.312942,0.494056,0.306264,0.490869,0.271879,0.487091,0.231611,0.391141,0.215183,0.400461,0.206672,0.427559,0.188913,0.455262,0.16341,0.468943,0.156226,0.538636,0.182571,0.531656,0.178164,0.511085,0.166991,0.488127,0.154767,0.478093,0.154257,0.470852,0.108822,0.472443,0.136522,0.471047,0.149324,0.467313,0.15951,0.468402,0.180802,0.470466,0.194959,0.472557,0.206652,0.471785,0.221212,0.475652,0.230223,0.489275,0.130027,0.48758,0.124918,0.482703,0.126024,0.481253,0.126535,0.46726,0.129712,0.495417,0.309694,0.493118,0.31408,0.436991,0.331253,0.443678,0.332705,0.509554,0.313253,0.507349,0.317699,0.439627,0.340155,0.446462,0.341599,0.51821,0.315161,0.516063,0.319643,0.441331,0.345444,0.44826,0.346884,0.488127,0.154767,0.511085,0.166991,0.531656,0.178164,0.455262,0.16341,0.427559,0.188913,0.400461,0.206672,0.487091,0.231611,0.490869,0.271879,0.494056,0.306264,0.50842,0.312942,0.467831,0.237922,0.455661,0.284373,0.443096,0.325099,0.44433,0.33773,
75,0.445605,0.344235,0.444349,0.337724,0.443079,0.32509,0.455684,0.284403,0.467782,0.237908,0.517091,0.315908,0.508438,0.312956,0.494085,0.306255,0.490854,0.271859,0.487076,0.231613,0.390886,0.215153,0.400249,0.206604,0.427432,0.18881,0.455258,0.163423,0.468913,0.15621,0.53843,0.182638,0.531485,0.178204,0.510989,0.167014,0.488069,0.154715,0.478053,0.154247,0.470753,0.108807,0.472389,0.136502,0.471008,0.14931,0.46727,0.1595,0.468352,0.180793,0.470418,0.194949,0.472511,0.206642,0.471756,0.22121,0.475621,0.230218,0.489209,0.129962,0.487505,0.124865,0.482632,0.12597,0.48118,0.12651,0.467198,0.129687,0.49543,0.309697,0.493129,0.314073,0.43698,0.331252,0.443666,0.332693,0.509566,0.313275,0.507359,0.317712,0.439649,0.340155,0.446483,0.341588,0.518229,0.315181,0.51608,0.319655,0.441384,0.34543,0.448311,0.346858,0.488069,0.154715,0.510989,0.167014,0.531485,0.178204,0.455258,0.163423,0.427432,0.18881,0.400249,0.206604,0.487076,0.231613,0.490854,0.271859,0.494085,0.306255,0.508438,0.312956,0.467782,0.237908,0.455684,0.284403,0.443079,0.32509,0.444349,0.337724,
