Frames,RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
11,0.577162,0.313162,0.58358,0.315926,0.595016,0.318282,0.597912,0.271677,0.600799,0.22023,0.534898,0.330746,0.545129,0.331601,0.562622,0.330206,0.569411,0.278704,0.587747,0.226544,0.631862,0.209482,0.63057,0.200495,0.627975,0.175306,0.620714,0.142656,0.607432,0.139028,0.544159,0.227563,0.551091,0.216031,0.572092,0.185033,0.590696,0.146026,0.600819,0.140516,0.603542,0.0925795,0.60459,0.121236,0.607494,0.134888,0.612349,0.147344,0.609059,0.16993,0.605422,0.184278,0.602058,0.195847,0.602956,0.212462,0.597199,0.219755,0.583943,0.115583,0.586678,0.110917,0.589791,0.110563,0.597023,0.113194,0.605475,0.112115,0.560806,0.340958,0.564341,0.337725,0.59779,0.325961,0.591116,0.327708,0.543311,0.337235,0.54698,0.334093,0.586645,0.318871,0.580071,0.320538,0.532949,0.334637,0.536696,0.331551,0.580265,0.314522,0.573749,0.316143,0.590696,0.146026,0.572092,0.185033,0.551091,0.216031,0.620714,0.142656,0.627975,0.175306,0.63057,0.200495,0.587747,0.226544,0.569411,0.278704,0.562622,0.330206,0.545129,0.331601,0.600799,0.22023,0.597912,0.271677,0.595016,0.318282,0.58358,0.315926,
12,0.577114,0.313171,0.583549,0.315914,0.595013,0.31823,0.597892,0.271643,0.600809,0.220167,0.534974,0.330782,0.545246,0.331611,0.562806,0.330168,0.569493,0.278677,0.587763,0.226509,0.631788,0.209482,0.63053,0.200468,0.627972,0.175284,0.620793,0.142633,0.607536,0.138997,0.544279,0.227583,0.551201,0.216048,0.572178,0.185038,0.590779,0.146026,0.600894,0.140477,0.603554,0.0925662,0.60466,0.121217,0.607579,0.134864,0.612415,0.147328,0.609091,0.169908,0.605444,0.18425,0.602075,0.195813,0.60297,0.212424,0.597212,0.21971,0.58399,0.115612,0.586723,0.110938,0.589826,0.110581,0.597091,0.113187,0.605509,0.112101,0.561018,0.340924,0.56449,0.337679,0.597782,0.32592,0.591118,0.327663,0.543457,0.337251,0.547066,0.334096,0.58661,0.318865,0.580044,0.320529,0.533052,0.33468,0.536742,0.331581,0.580212,0.314535,0.573705,0.316153,0.590779,0.146026,0.572178,0.185038,0.551201,0.216048,0.620793,0.142633,0.627972,0.175284,0.63053,0.200468,0.587763,0.226509,0.569493,0.278677,0.562806,0.330168,0.545246,0.331611,0.600809,0.220167,0.597892,0.271643,0.595013,0.31823,0.583549,0.315914,
13,0.577093,0.313164,0.583523,0.315904,0.594976,0.318216,0.597858,0.271597,0.600852,0.220147,0.535027,0.330823,0.545344,0.331624,0.562976,0.33014,0.569646,0.278674,0.587811,0.226496,0.63171,0.209454,0.630481,0.200432,0.627953,0.17526,0.620813,0.142606,0.607554,0.138978,0.544398,0.227608,0.551317,0.216074,0.57227,0.185052,0.590819,0.14601,0.60092,0.14046,0.603603,0.0925423,0.60469,0.121195,0.607603,0.134844,0.612443,0.147306,0.609124,0.169888,0.605479,0.18423,0.602113,0.195795,0.603013,0.212405,0.597257,0.219692,0.584011,0.115581,0.586758,0.110904,0.589845,0.110555,0.597148,0.113152,0.605521,0.112088,0.561221,0.340899,0.564624,0.337631,0.597755,0.325902,0.591089,0.327651,0.543587,0.337273,0.54713,0.334094,0.586589,0.318852,0.580021,0.320522,0.533137,0.334731,0.536763,0.331608,0.580195,0.314525,0.573685,0.316148,0.590819,0.14601,0.57227,0.185052,0.551317,0.216074,0.620813,0.142606,0.627953,0.17526,0.630481,0.200432,0.587811,0.226496,0.569646,0.278674,0.562976,0.33014,0.545344,0.331624,0.600852,0.220147,0.597858,0.271597,0.594976,0.318216,0.583523,0.315904,
14,0.577061,0.313168,0.5835,0.315891,0.594968,0.318171,0.597778,0.271555,0.600852,0.220114,0.535087,0.330864,0.545446,0.331642,0.563149,0.330116,0.569706,0.278668,0.587826,0.226503,0.631626,0.209454,0.630439,0.200418,0.627958,0.175262,0.62086,0.142606,0.607613,0.138968,0.544504,0.227622,0.551444,0.216102,0.572355,0.185055,0.590851,0.145988,0.600917,0.14042,0.603647,0.0925141,0.604726,0.121168,0.607627,0.134819,0.612438,0.147288,0.609108,0.169875,0.605465,0.18422,0.602103,0.195785,0.603013,0.212392,0.597262,0.219679,0.584034,0.115542,0.586794,0.110871,0.589864,0.110516,0.59721,0.113133,0.605532,0.112049,0.561408,0.340877,0.564749,0.337613,0.597746,0.325867,0.591084,0.327611,0.54371,0.337292,0.547195,0.334116,0.586563,0.318845,0.58,0.32051,0.533221,0.334773,0.53679,0.331653,0.58016,0.314533,0.573655,0.316152,0.590851,0.145988,0.572355,0.185055,0.551444,0.216102,0.62086,0.142606,0.627958,0.175262,0.630439,0.200418,0.587826,0.226503,0.569706,0.278668,0.563149,0.330116,0.545446,0.331642,0.600852,0.220114,0.597778,0.271555,0.594968,0.318171,0.5835,0.315891,
15,0.577031,0.313182,0.583469,0.315893,0.594934,0.318146,0.597715,0.271503,0.600878,0.220073,0.535125,0.330912,0.54552,0.331669,0.563286,0.330107,0.569845,0.278669,0.58783,0.226486,0.631539,0.209423,0.630386,0.200391,0.627949,0.175255,0.620881,0.142595,0.607659,0.138948,0.544599,0.227661,0.551553,0.216154,0.572427,0.185085,0.590842,0.14598,0.600917,0.140391,0.603703,0.0924857,0.60476,0.121142,0.607646,0.134797,0.612438,0.147272,0.6091,0.169859,0.605459,0.184202,0.602101,0.195764,0.603017,0.212369,0.597273,0.219652,0.584062,0.115506,0.586834,0.110832,0.589893,0.110485,0.597266,0.113093,0.605555,0.112033,0.56156,0.34087,0.564846,0.337606,0.597715,0.325852,0.591052,0.327592,0.543806,0.337322,0.547238,0.334145,0.586534,0.318851,0.57997,0.320512,0.533281,0.334823,0.536799,0.331701,0.580131,0.314551,0.573625,0.316166,0.590842,0.14598,0.572427,0.185085,0.551553,0.216154,0.620881,0.142595,0.627949,0.175255,0.630386,0.200391,0.58783,0.226486,0.569845,0.278669,0.563286,0.330107,0.54552,0.331669,0.600878,0.220073,0.597715,0.271503,0.594934,0.318146,0.583469,0.315893,
16,0.577025,0.313169,0.583465,0.315879,0.594939,0.318122,0.597595,0.271455,0.600922,0.220074,0.53519,0.33094,0.545622,0.33168,0.563453,0.330089,0.569948,0.278665,0.587874,0.226512,0.631384,0.2094,0.630325,0.200361,0.627949,0.175243,0.620894,0.142565,0.607658,0.138938,0.5447,0.227691,0.551647,0.216182,0.572487,0.185093,0.590883,0.145973,0.600887,0.140365,0.603765,0.092451,0.604771,0.121114,0.607634,0.134775,0.612408,0.147254,0.60907,0.169847,0.605436,0.184194,0.60209,0.19576,0.603036,0.212365,0.597309,0.21966,0.584077,0.115431,0.586863,0.110769,0.589914,0.110416,0.597302,0.113064,0.60557,0.111989,0.561732,0.340852,0.564962,0.337599,0.597706,0.325841,0.591044,0.327565,0.543923,0.33733,0.547303,0.334164,0.586524,0.318847,0.579961,0.320493,0.533365,0.334848,0.536833,0.331736,0.58012,0.314546,0.573615,0.316146,0.590883,0.145973,0.572487,0.185093,0.551647,0.216182,0.620894,0.142565,0.627949,0.175243,0.630325,0.200361,0.587874,0.226512,0.569948,0.278665,0.563453,0.330089,0.545622,0.33168,0.600922,0.220074,0.597595,0.271455,0.594939,0.318122,0.583465,0.315879,
17,0.57701,0.313176,0.583444,0.315878,0.594902,0.318105,0.597524,0.271416,0.600947,0.220047,0.53521,0.33099,0.545683,0.331705,0.563582,0.330071,0.570023,0.278679,0.587863,0.226488,0.631243,0.209372,0.630248,0.200335,0.627954,0.17525,0.620935,0.142566,0.607703,0.138908,0.544784,0.227737,0.551736,0.216234,0.572546,0.185127,0.590901,0.145984,0.600877,0.140335,0.60381,0.0924205,0.6048,0.121087,0.607647,0.134753,0.612395,0.147243,0.609038,0.169829,0.605406,0.184169,0.602065,0.195731,0.603023,0.212335,0.59731,0.219633,0.584107,0.115393,0.586897,0.110731,0.589947,0.110381,0.597337,0.113032,0.605602,0.111962,0.561886,0.340837,0.56505,0.337574,0.597681,0.325826,0.591016,0.327553,0.544012,0.337361,0.547329,0.334183,0.586509,0.318847,0.579942,0.320495,0.533414,0.334905,0.53682,0.331782,0.58011,0.314553,0.573602,0.316155,0.590901,0.145984,0.572546,0.185127,0.551736,0.216234,0.620935,0.142566,0.627954,0.17525,0.630248,0.200335,0.587863,0.226488,0.570023,0.278679,0.563582,0.330071,0.545683,0.331705,0.600947,0.220047,0.597524,0.271416,0.594902,0.318105,0.583444,0.315878,
18,0.577,0.313173,0.58343,0.315863,0.59489,0.318059,0.597413,0.271337,0.600913,0.220011,0.535226,0.331024,0.545726,0.331729,0.563672,0.330079,0.570144,0.278716,0.587817,0.226489,0.631102,0.209354,0.630159,0.200321,0.627959,0.17527,0.620905,0.142569,0.607715,0.138924,0.544856,0.227787,0.55181,0.216288,0.572581,0.185158,0.590861,0.145978,0.600849,0.140326,0.603898,0.0923983,0.604819,0.121074,0.607637,0.134748,0.612372,0.147239,0.609029,0.169838,0.605398,0.184182,0.602056,0.195743,0.602995,0.212344,0.597273,0.219624,0.584143,0.115321,0.586942,0.110671,0.589995,0.11032,0.597373,0.113009,0.605647,0.111937,0.56199,0.340846,0.565109,0.337569,0.597647,0.325813,0.590978,0.327504,0.544074,0.337389,0.547348,0.334198,0.586486,0.318855,0.579916,0.320468,0.533448,0.334946,0.536813,0.331808,0.580095,0.31457,0.573584,0.316138,0.590861,0.145978,0.572581,0.185158,0.55181,0.216288,0.620905,0.142569,0.627959,0.17527,0.630159,0.200321,0.587817,0.226489,0.570144,0.278716,0.563672,0.330079,0.545726,0.331729,0.600913,0.220011,0.597413,0.271337,0.59489,0.318059,0.58343,0.315863,
19,0.576993,0.313183,0.583415,0.315863,0.594859,0.318044,0.597317,0.271313,0.600884,0.219999,0.535261,0.331069,0.545788,0.331757,0.563781,0.330077,0.570244,0.278735,0.587807,0.226494,0.630945,0.209326,0.630072,0.200305,0.627942,0.175278,0.620921,0.142556,0.607709,0.138918,0.544934,0.227835,0.55188,0.216334,0.572632,0.185195,0.590848,0.145984,0.600833,0.140309,0.60398,0.0923659,0.604839,0.12105,0.607633,0.134732,0.612356,0.147228,0.609008,0.16983,0.605376,0.184176,0.602032,0.195738,0.602976,0.212339,0.597254,0.21962,0.584177,0.11524,0.586984,0.110604,0.59004,0.110246,0.597408,0.112986,0.60569,0.111892,0.562108,0.340846,0.565184,0.337575,0.597627,0.3258,0.590954,0.327493,0.544151,0.337417,0.547384,0.334231,0.586477,0.318856,0.579903,0.320471,0.5335,0.334989,0.536825,0.331857,0.580092,0.31458,0.573577,0.316149,0.590848,0.145984,0.572632,0.185195,0.55188,0.216334,0.620921,0.142556,0.627942,0.175278,0.630072,0.200305,0.587807,0.226494,0.570244,0.278735,0.563781,0.330077,0.545788,0.331757,0.600884,0.219999,0.597317,0.271313,0.594859,0.318044,0.583415,0.315863,
20,0.576982,0.313187,0.583401,0.315867,0.594837,0.318047,0.597235,0.271297,0.600883,0.220005,0.535283,0.331096,0.545832,0.331777,0.563862,0.330087,0.570279,0.278754,0.587806,0.226514,0.630794,0.209303,0.629946,0.20028,0.627927,0.175304,0.620904,0.142557,0.60768,0.138924,0.545013,0.227898,0.551928,0.216383,0.572647,0.185224,0.590822,0.145988,0.600777,0.140317,0.604087,0.0923422,0.604843,0.121039,0.607594,0.134733,0.612305,0.147235,0.608971,0.169838,0.605347,0.184184,0.602009,0.195746,0.602965,0.212347,0.59725,0.219631,0.584211,0.115141,0.587028,0.110522,0.590095,0.110164,0.597427,0.11296,0.605743,0.111865,0.562193,0.340856,0.565236,0.337586,0.597615,0.325798,0.590941,0.327498,0.544204,0.337438,0.547406,0.334252,0.586468,0.318855,0.579893,0.320478,0.533534,0.335017,0.536829,0.331884,0.580084,0.31458,0.573568,0.316157,0.590822,0.145988,0.572647,0.185224,0.551928,0.216383,0.620904,0.142557,0.627927,0.175304,0.629946,0.20028,0.587806,0.226514,0.570279,0.278754,0.563862,0.330087,0.545832,0.331777,0.600883,0.220005,0.597235,0.271297,0.594837,0.318047,0.583401,0.315867,
21,0.576982,0.313178,0.583389,0.315857,0.594804,0.318032,0.597142,0.271258,0.600801,0.219978,0.535301,0.331133,0.54587,0.331806,0.563935,0.330101,0.570373,0.278802,0.587704,0.226474,0.630613,0.20927,0.629814,0.200274,0.627892,0.17533,0.620889,0.142553,0.607675,0.138909,0.545049,0.227953,0.551985,0.21645,0.572634,0.185248,0.590749,0.14598,0.60074,0.14031,0.604171,0.0923121,0.604856,0.121019,0.607573,0.134725,0.612268,0.147236,0.608927,0.169834,0.605295,0.184172,0.601949,0.195727,0.602885,0.212328,0.597162,0.219602,0.584259,0.115059,0.58707,0.110452,0.590164,0.110094,0.597425,0.11293,0.605818,0.111833,0.562276,0.340871,0.565285,0.337595,0.597587,0.325789,0.590906,0.327483,0.544256,0.33747,0.547426,0.334278,0.586459,0.318849,0.579878,0.320465,0.533566,0.335058,0.53683,0.331918,0.580087,0.314575,0.573565,0.316146,0.590749,0.14598,0.572634,0.185248,0.551985,0.21645,0.620889,0.142553,0.627892,0.17533,0.629814,0.200274,0.587704,0.226474,0.570373,0.278802,0.563935,0.330101,0.54587,0.331806,0.600801,0.219978,0.597142,0.271258,0.594804,0.318032,0.583389,0.315857,
