Frames,RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
224,0.576461,0.313663,0.582434,0.316355,0.593103,0.318393,0.590903,0.270601,0.59395,0.219965,0.535278,0.331109,0.545775,0.331955,0.56383,0.331065,0.56841,0.279839,0.581258,0.226236,0.61952,0.213032,0.618854,0.203911,0.620015,0.177987,0.61619,0.143294,0.602802,0.139182,0.544147,0.230132,0.550796,0.218629,0.569802,0.186602,0.587114,0.146811,0.596237,0.140444,0.603969,0.0919773,0.601673,0.12082,0.60324,0.134813,0.607654,0.147478,0.604048,0.170098,0.600043,0.184386,0.596328,0.195864,0.596717,0.212483,0.590672,0.219569,0.582486,0.112194,0.585272,0.10818,0.589037,0.107767,0.594255,0.11243,0.604612,0.111124,0.561918,0.341764,0.56505,0.338242,0.596024,0.326372,0.589088,0.327832,0.544022,0.337653,0.547308,0.334225,0.585623,0.319503,0.578808,0.320893,0.533502,0.335112,0.536876,0.33174,0.57967,0.315186,0.572925,0.316536,0.587114,0.146811,0.569802,0.186602,0.550796,0.218629,0.61619,0.143294,0.620015,0.177987,0.618854,0.203911,0.581258,0.226236,0.56841,0.279839,0.56383,0.331065,0.545775,0.331955,0.59395,0.219965,0.590903,0.270601,0.593103,0.318393,0.582434,0.316355,
225,0.576454,0.31366,0.582424,0.316349,0.593086,0.318379,0.590841,0.270568,0.593961,0.219957,0.53526,0.33109,0.545752,0.331943,0.5638,0.331064,0.568408,0.279833,0.581324,0.226252,0.619226,0.21295,0.618631,0.203829,0.619976,0.177979,0.616184,0.143304,0.602863,0.139189,0.544308,0.230177,0.550953,0.218667,0.56996,0.186632,0.587241,0.146824,0.596304,0.140454,0.603977,0.0919911,0.601719,0.120836,0.603301,0.134826,0.607718,0.147491,0.604103,0.170108,0.600095,0.184394,0.596377,0.195871,0.596767,0.212487,0.590714,0.219573,0.582485,0.112255,0.58529,0.108226,0.589022,0.107822,0.594333,0.112441,0.604593,0.111156,0.561881,0.341761,0.565023,0.338241,0.596015,0.326357,0.589078,0.32782,0.543995,0.337639,0.547289,0.334213,0.585617,0.319495,0.5788,0.320888,0.533481,0.335092,0.536863,0.331721,0.579665,0.315182,0.572919,0.316534,0.587241,0.146824,0.56996,0.186632,0.550953,0.218667,0.616184,0.143304,0.619976,0.177979,0.618631,0.203829,0.581324,0.226252,0.568408,0.279833,0.5638,0.331064,0.545752,0.331943,0.593961,0.219957,0.590841,0.270568,0.593086,0.318379,0.582424,0.316349,
226,0.576441,0.313653,0.582407,0.31634,0.593058,0.318372,0.590783,0.270544,0.593979,0.219957,0.535228,0.33107,0.545712,0.33193,0.563745,0.331062,0.568405,0.279836,0.581335,0.226248,0.618912,0.212881,0.618414,0.203742,0.619932,0.177955,0.616168,0.143302,0.602923,0.139185,0.544476,0.230216,0.551124,0.218701,0.570116,0.186648,0.587355,0.14682,0.596371,0.140448,0.60395,0.0919992,0.601759,0.120846,0.603364,0.134832,0.607774,0.147499,0.604127,0.17011,0.600108,0.184392,0.596385,0.195867,0.596777,0.212483,0.590727,0.21957,0.582473,0.112326,0.585291,0.108283,0.588993,0.107878,0.594392,0.112458,0.604565,0.111174,0.561826,0.341759,0.564979,0.338233,0.596002,0.326341,0.589063,0.327816,0.543952,0.337627,0.547257,0.334196,0.585607,0.31948,0.578789,0.320885,0.533444,0.335073,0.536837,0.331698,0.579657,0.315168,0.57291,0.316532,0.587355,0.14682,0.570116,0.186648,0.551124,0.218701,0.616168,0.143302,0.619932,0.177955,0.618414,0.203742,0.581335,0.226248,0.568405,0.279836,0.563745,0.331062,0.545712,0.33193,0.593979,0.219957,0.590783,0.270544,0.593058,0.318372,0.582407,0.31634,
227,0.576443,0.313636,0.582406,0.31633,0.593057,0.318372,0.590611,0.270495,0.594135,0.220017,0.535206,0.331039,0.545682,0.331909,0.563703,0.331061,0.568356,0.279832,0.581401,0.226267,0.618608,0.212795,0.618209,0.203669,0.619828,0.177908,0.616134,0.143289,0.602945,0.139207,0.544643,0.230284,0.551286,0.218757,0.570259,0.186685,0.587463,0.146842,0.59642,0.140474,0.603947,0.0920221,0.60178,0.120868,0.6034,0.134852,0.607827,0.147512,0.604194,0.170127,0.600182,0.184415,0.596468,0.195894,0.596866,0.212516,0.590831,0.219608,0.582461,0.112376,0.585294,0.108325,0.588971,0.107923,0.594438,0.112481,0.604539,0.111204,0.561775,0.341755,0.564941,0.33823,0.595986,0.326348,0.589046,0.32781,0.543914,0.337604,0.547232,0.334175,0.5856,0.319476,0.578781,0.320868,0.533416,0.335041,0.536821,0.331667,0.579656,0.315158,0.572907,0.316509,0.587463,0.146842,0.570259,0.186685,0.551286,0.218757,0.616134,0.143289,0.619828,0.177908,0.618209,0.203669,0.581401,0.226267,0.568356,0.279832,0.563703,0.331061,0.545682,0.331909,0.594135,0.220017,0.590611,0.270495,0.593057,0.318372,0.582406,0.31633,
228,0.576434,0.313636,0.582392,0.316327,0.593032,0.318362,0.590555,0.27047,0.594133,0.220012,0.53517,0.331032,0.54564,0.331901,0.563651,0.331053,0.568322,0.279826,0.581487,0.226295,0.618305,0.212698,0.617985,0.203586,0.619758,0.177881,0.616072,0.143287,0.602949,0.139229,0.544811,0.230346,0.55146,0.218818,0.570409,0.186723,0.587575,0.146861,0.596452,0.140504,0.60395,0.0920445,0.601788,0.12089,0.603417,0.134871,0.607866,0.147523,0.60426,0.170143,0.600255,0.184434,0.596539,0.195915,0.596932,0.212532,0.590881,0.219621,0.582445,0.112406,0.585294,0.108353,0.588948,0.107951,0.594476,0.112502,0.604509,0.111228,0.561724,0.341747,0.564898,0.338222,0.595973,0.326335,0.589031,0.327803,0.543871,0.337596,0.547197,0.334166,0.585591,0.319469,0.578771,0.320868,0.533378,0.335033,0.53679,0.331659,0.57965,0.315154,0.5729,0.316512,0.587575,0.146861,0.570409,0.186723,0.55146,0.218818,0.616072,0.143287,0.619758,0.177881,0.617985,0.203586,0.581487,0.226295,0.568322,0.279826,0.563651,0.331053,0.54564,0.331901,0.594133,0.220012,0.590555,0.27047,0.593032,0.318362,0.582392,0.316327,
229,0.576428,0.313622,0.582383,0.316316,0.593019,0.318357,0.590474,0.270451,0.594126,0.220032,0.535139,0.331002,0.545604,0.331877,0.563608,0.331037,0.568299,0.279825,0.581496,0.2263,0.617987,0.212601,0.617776,0.203514,0.619661,0.177841,0.616016,0.143276,0.602969,0.139242,0.545014,0.230424,0.551618,0.21887,0.570558,0.18676,0.587717,0.146895,0.596484,0.140512,0.603947,0.0920571,0.601804,0.120901,0.603444,0.134879,0.607898,0.147529,0.604294,0.170151,0.600285,0.184444,0.596564,0.195926,0.596946,0.212545,0.590886,0.219633,0.582433,0.112432,0.585296,0.10838,0.588928,0.107971,0.594516,0.112526,0.604484,0.111232,0.561671,0.34173,0.564854,0.338216,0.595956,0.326332,0.589012,0.327796,0.543828,0.337569,0.547161,0.334149,0.585581,0.319461,0.578759,0.320855,0.533341,0.335,0.536761,0.331636,0.579643,0.315143,0.572892,0.316496,0.587717,0.146895,0.570558,0.18676,0.551618,0.21887,0.616016,0.143276,0.619661,0.177841,0.617776,0.203514,0.581496,0.2263,0.568299,0.279825,0.563608,0.331037,0.545604,0.331877,0.594126,0.220032,0.590474,0.270451,0.593019,0.318357,0.582383,0.316316,
230,0.57642,0.313618,0.582371,0.316308,0.592998,0.318343,0.590418,0.270419,0.594114,0.220032,0.535105,0.330984,0.545562,0.331863,0.563552,0.331031,0.568352,0.279833,0.581497,0.226292,0.617702,0.212501,0.617539,0.203423,0.619542,0.177788,0.615968,0.143254,0.602997,0.139238,0.545201,0.2305,0.551789,0.218932,0.570722,0.18681,0.587798,0.146916,0.596542,0.140503,0.603946,0.0920571,0.601837,0.1209,0.603491,0.134876,0.607946,0.147526,0.604322,0.170146,0.600301,0.184439,0.596572,0.195922,0.596947,0.212542,0.590882,0.21963,0.582435,0.112457,0.585307,0.108403,0.58892,0.107987,0.594564,0.11254,0.604475,0.111226,0.561613,0.341723,0.564807,0.338208,0.595941,0.326318,0.588996,0.327783,0.543782,0.337554,0.547127,0.334135,0.585572,0.319452,0.578748,0.320848,0.533303,0.33498,0.536734,0.331617,0.579638,0.315138,0.572885,0.316493,0.587798,0.146916,0.570722,0.18681,0.551789,0.218932,0.615968,0.143254,0.619542,0.177788,0.617539,0.203423,0.581497,0.226292,0.568352,0.279833,0.563552,0.331031,0.545562,0.331863,0.594114,0.220032,0.590418,0.270419,0.592998,0.318343,0.582371,0.316308,
231,0.576414,0.313613,0.582364,0.316303,0.592991,0.318334,0.590334,0.270408,0.594125,0.220036,0.535067,0.330963,0.545518,0.331847,0.563498,0.331021,0.568342,0.279832,0.581538,0.2263,0.617416,0.212408,0.617307,0.203332,0.6194,0.177731,0.61591,0.143247,0.603007,0.139242,0.545423,0.230598,0.551947,0.218988,0.570871,0.186854,0.587937,0.146953,0.59657,0.140515,0.603939,0.0920667,0.601846,0.12091,0.60351,0.134884,0.607975,0.14753,0.604356,0.17015,0.600335,0.184443,0.596605,0.195926,0.59698,0.212545,0.590911,0.219634,0.582423,0.112483,0.585306,0.108425,0.588901,0.108009,0.594592,0.112551,0.604453,0.111238,0.561557,0.341711,0.56476,0.338196,0.59593,0.326312,0.588985,0.327773,0.543735,0.337537,0.547088,0.334117,0.585563,0.319449,0.578739,0.320841,0.533261,0.33496,0.5367,0.331596,0.57963,0.315136,0.572877,0.316486,0.587937,0.146953,0.570871,0.186854,0.551947,0.218988,0.61591,0.143247,0.6194,0.177731,0.617307,0.203332,0.581538,0.2263,0.568342,0.279832,0.563498,0.331021,0.545518,0.331847,0.594125,0.220036,0.590334,0.270408,0.592991,0.318334,0.582364,0.316303,
232,0.576408,0.3136,0.582355,0.316295,0.592978,0.318337,0.590297,0.270392,0.594079,0.220044,0.535045,0.330936,0.54549,0.331827,0.56346,0.331016,0.56825,0.279822,0.581551,0.226317,0.617108,0.212331,0.617069,0.20322,0.619272,0.177678,0.615864,0.143231,0.603021,0.139265,0.545641,0.230691,0.552109,0.219047,0.571043,0.186911,0.588038,0.146984,0.596612,0.140537,0.603957,0.0920924,0.601872,0.120933,0.603543,0.134906,0.608013,0.14755,0.604389,0.170169,0.60036,0.184462,0.59662,0.195945,0.596985,0.212562,0.590901,0.219648,0.582428,0.112511,0.585323,0.108456,0.588899,0.108032,0.594641,0.112588,0.604446,0.111252,0.561512,0.341705,0.564725,0.338192,0.595912,0.326317,0.588964,0.327773,0.543701,0.337516,0.547064,0.334098,0.585552,0.319443,0.578727,0.32083,0.533235,0.334932,0.536683,0.33157,0.579624,0.315125,0.57287,0.31647,0.588038,0.146984,0.571043,0.186911,0.552109,0.219047,0.615864,0.143231,0.619272,0.177678,0.617069,0.20322,0.581551,0.226317,0.56825,0.279822,0.56346,0.331016,0.54549,0.331827,0.594079,0.220044,0.590297,0.270392,0.592978,0.318337,0.582355,0.316295,
233,0.576397,0.313591,0.582343,0.316283,0.592964,0.318319,0.590239,0.270365,0.594062,0.220041,0.535019,0.330921,0.545456,0.331816,0.563413,0.331011,0.568276,0.27983,0.581559,0.226315,0.616791,0.212255,0.616821,0.203108,0.619175,0.177638,0.615753,0.143229,0.603051,0.139266,0.545845,0.230778,0.552288,0.219111,0.571218,0.186967,0.588156,0.147016,0.596651,0.140537,0.603968,0.0920965,0.6019,0.120938,0.603578,0.134909,0.608049,0.147553,0.604414,0.170171,0.600379,0.184463,0.596634,0.195945,0.596991,0.212562,0.5909,0.219647,0.582436,0.11253,0.585339,0.108473,0.588901,0.108047,0.594683,0.112597,0.604445,0.111256,0.561461,0.341698,0.564686,0.338189,0.595896,0.326303,0.588948,0.327754,0.543663,0.337504,0.547036,0.33409,0.585539,0.319435,0.578713,0.320817,0.533203,0.334915,0.536662,0.331557,0.579613,0.315118,0.572858,0.31646,0.588156,0.147016,0.571218,0.186967,0.552288,0.219111,0.615753,0.143229,0.619175,0.177638,0.616821,0.203108,0.581559,0.226315,0.568276,0.27983,0.563413,0.331011,0.545456,0.331816,0.594062,0.220041,0.590239,0.270365,0.592964,0.318319,0.582343,0.316283,
234,0.576391,0.313591,0.582337,0.316281,0.592958,0.318314,0.590191,0.270345,0.594057,0.22005,0.534998,0.330902,0.54543,0.331799,0.563379,0.331,0.568274,0.279827,0.58156,0.226313,0.616486,0.212154,0.616564,0.203,0.619029,0.177575,0.615707,0.143213,0.603074,0.139273,0.546044,0.230856,0.552493,0.219185,0.57138,0.187009,0.588276,0.14704,0.596697,0.140542,0.603982,0.0921058,0.60193,0.120947,0.603616,0.134916,0.60809,0.147559,0.604446,0.170177,0.600402,0.184469,0.59665,0.19595,0.596998,0.212568,0.590901,0.219651,0.582443,0.112551,0.585357,0.108493,0.588901,0.108063,0.594732,0.112614,0.604442,0.11126,0.561419,0.341686,0.564653,0.338187,0.595889,0.326299,0.588941,0.327749,0.543631,0.337483,0.547012,0.334079,0.585532,0.319433,0.578707,0.320814,0.533178,0.334892,0.536645,0.331544,0.579606,0.315119,0.572851,0.316459,0.588276,0.14704,0.57138,0.187009,0.552493,0.219185,0.615707,0.143213,0.619029,0.177575,0.616564,0.203,0.58156,0.226313,0.568274,0.279827,0.563379,0.331,0.54543,0.331799,0.594057,0.22005,0.590191,0.270345,0.592958,0.318314,0.582337,0.316281,
235,0.576376,0.313589,0.582325,0.316278,0.592952,0.318311,0.590158,0.270335,0.594041,0.220042,0.534977,0.330881,0.5454,0.331786,0.563336,0.331001,0.568275,0.27983,0.581579,0.22631,0.616177,0.21205,0.616307,0.202891,0.618864,0.177511,0.615669,0.14321,0.603104,0.139268,0.546272,0.230942,0.55269,0.219249,0.571542,0.187044,0.588436,0.147069,0.596767,0.140548,0.603986,0.0921152,0.601969,0.120957,0.603672,0.134924,0.608148,0.147569,0.604477,0.170179,0.600419,0.184466,0.596658,0.195944,0.597005,0.21256,0.590905,0.219644,0.582456,0.112596,0.585376,0.10853,0.588904,0.1081,0.594781,0.112628,0.604446,0.111277,0.561372,0.341686,0.564618,0.338183,0.595881,0.326296,0.588935,0.327746,0.543596,0.33747,0.54699,0.334063,0.58552,0.319431,0.578695,0.320812,0.533152,0.334871,0.53663,0.33152,0.57959,0.315117,0.572837,0.316457,0.588436,0.147069,0.571542,0.187044,0.55269,0.219249,0.615669,0.14321,0.618864,0.177511,0.616307,0.202891,0.581579,0.22631,0.568275,0.27983,0.563336,0.331001,0.5454,0.331786,0.594041,0.220042,0.590158,0.270335,0.592952,0.318311,0.582325,0.316278,
236,0.576361,0.313588,0.582314,0.316278,0.592949,0.318311,0.590099,0.270331,0.594041,0.220058,0.534969,0.330863,0.545388,0.331772,0.563316,0.330993,0.568242,0.279824,0.581588,0.226318,0.615843,0.211957,0.616047,0.202785,0.61871,0.177453,0.615642,0.143198,0.60315,0.139302,0.546467,0.231016,0.5529,0.219323,0.571753,0.187114,0.588488,0.147084,0.596821,0.140575,0.604035,0.0921446,0.602018,0.120985,0.603723,0.13495,0.608204,0.147592,0.604541,0.170206,0.600479,0.184495,0.596709,0.195972,0.597031,0.212588,0.590916,0.219662,0.582489,0.112616,0.585421,0.108557,0.588934,0.108117,0.59485,0.112671,0.60447,0.111288,0.561346,0.341677,0.564599,0.338181,0.595873,0.326297,0.588929,0.327745,0.543578,0.337453,0.546979,0.334053,0.585506,0.319432,0.578683,0.320811,0.533139,0.334849,0.536625,0.331506,0.579573,0.315118,0.572822,0.316455,0.588488,0.147084,0.571753,0.187114,0.5529,0.219323,0.615642,0.143198,0.61871,0.177453,0.616047,0.202785,0.581588,0.226318,0.568242,0.279824,0.563316,0.330993,0.545388,0.331772,0.594041,0.220058,0.590099,0.270331,0.592949,0.318311,0.582314,0.316278,
237,0.576336,0.313587,0.582295,0.316276,0.592938,0.318309,0.590089,0.270323,0.594072,0.220063,0.534955,0.330848,0.545369,0.33176,0.563289,0.330988,0.568221,0.279819,0.581629,0.226328,0.615519,0.211835,0.615774,0.202679,0.618545,0.177397,0.615613,0.143189,0.603189,0.139306,0.546683,0.231087,0.553112,0.219388,0.571966,0.187174,0.588578,0.147099,0.59686,0.140578,0.604054,0.0921512,0.602051,0.120991,0.603762,0.134955,0.608241,0.147598,0.604571,0.170211,0.600507,0.184499,0.596738,0.195976,0.597066,0.212592,0.590952,0.219668,0.582501,0.112635,0.585443,0.108575,0.588939,0.108131,0.594902,0.112685,0.604472,0.111291,0.561315,0.341671,0.564577,0.338176,0.595866,0.326289,0.588925,0.327745,0.543556,0.337441,0.546965,0.334042,0.585487,0.319425,0.578668,0.320812,0.533122,0.334834,0.536615,0.331491,0.579547,0.315111,0.572799,0.316457,0.588578,0.147099,0.571966,0.187174,0.553112,0.219388,0.615613,0.143189,0.618545,0.177397,0.615774,0.202679,0.581629,0.226328,0.568221,0.279819,0.563289,0.330988,0.545369,0.33176,0.594072,0.220063,0.590089,0.270323,0.592938,0.318309,0.582295,0.316276,
238,0.576312,0.313584,0.582277,0.316277,0.592931,0.318317,0.590048,0.270322,0.594083,0.22008,0.53495,0.330831,0.545358,0.331749,0.563269,0.330984,0.568189,0.279815,0.581664,0.22634,0.615189,0.211714,0.615491,0.202584,0.618391,0.177345,0.615575,0.143177,0.60324,0.139331,0.546918,0.231164,0.553337,0.219457,0.572148,0.187211,0.588704,0.147113,0.596944,0.140606,0.604094,0.0921812,0.602111,0.12102,0.603833,0.134982,0.608321,0.147622,0.604646,0.170234,0.600574,0.184522,0.596795,0.195999,0.597106,0.212614,0.59098,0.219685,0.582535,0.112679,0.585488,0.108619,0.588965,0.108168,0.594981,0.112726,0.604495,0.111313,0.561289,0.341666,0.564559,0.338178,0.595856,0.326293,0.588918,0.327753,0.54354,0.337427,0.546957,0.334035,0.585467,0.319423,0.578651,0.320813,0.533112,0.334815,0.536613,0.331479,0.579522,0.315107,0.572776,0.316456,0.588704,0.147113,0.572148,0.187211,0.553337,0.219457,0.615575,0.143177,0.618391,0.177345,0.615491,0.202584,0.581664,0.22634,0.568189,0.279815,0.563269,0.330984,0.545358,0.331749,0.594083,0.22008,0.590048,0.270322,0.592931,0.318317,0.582277,0.316277,
239,0.576272,0.313592,0.582253,0.316282,0.592933,0.318314,0.589996,0.270307,0.594108,0.220088,0.534943,0.330827,0.545346,0.331745,0.563248,0.33098,0.568166,0.279812,0.5817,0.226349,0.61488,0.211575,0.615186,0.202498,0.618234,0.177301,0.615561,0.143179,0.603287,0.139355,0.547149,0.231238,0.553561,0.219526,0.572352,0.18726,0.588832,0.147135,0.59699,0.140628,0.60415,0.0922033,0.602158,0.12104,0.603879,0.135002,0.60837,0.147639,0.604706,0.170254,0.600633,0.184543,0.596851,0.196019,0.597149,0.212632,0.591015,0.219697,0.582565,0.112691,0.585535,0.108637,0.588991,0.10818,0.59506,0.112754,0.604512,0.111325,0.561268,0.341662,0.564545,0.338176,0.595859,0.326285,0.588929,0.327755,0.543526,0.337422,0.546949,0.334032,0.585442,0.319423,0.578634,0.320823,0.533102,0.334809,0.53661,0.331475,0.57948,0.31511,0.572742,0.316469,0.588832,0.147135,0.572352,0.18726,0.553561,0.219526,0.615561,0.143179,0.618234,0.177301,0.615186,0.202498,0.5817,0.226349,0.568166,0.279812,0.563248,0.33098,0.545346,0.331745,0.594108,0.220088,0.589996,0.270307,0.592933,0.318314,0.582253,0.316282,
240,0.576233,0.313597,0.582229,0.316287,0.592937,0.31832,0.589973,0.270301,0.594119,0.220103,0.534944,0.330808,0.545344,0.33173,0.563243,0.330973,0.568133,0.2798,0.581698,0.226348,0.61457,0.211448,0.614874,0.202411,0.618085,0.177252,0.615523,0.143172,0.603376,0.139372,0.547391,0.23132,0.553795,0.219601,0.572543,0.187303,0.58895,0.147151,0.597086,0.14064,0.604187,0.0922274,0.602237,0.121065,0.603973,0.135024,0.608456,0.147665,0.604761,0.170275,0.600673,0.18456,0.59688,0.196033,0.597162,0.212647,0.591022,0.219706,0.582611,0.112752,0.585589,0.108691,0.589024,0.10823,0.595154,0.112789,0.604545,0.111349,0.561256,0.341654,0.564539,0.338173,0.595855,0.326289,0.588933,0.327762,0.54352,0.337406,0.546949,0.334021,0.585413,0.319427,0.578612,0.320829,0.5331,0.334788,0.536612,0.331459,0.579436,0.315114,0.572705,0.316475,0.58895,0.147151,0.572543,0.187303,0.553795,0.219601,0.615523,0.143172,0.618085,0.177252,0.614874,0.202411,0.581698,0.226348,0.568133,0.2798,0.563243,0.330973,0.545344,0.33173,0.594119,0.220103,0.589973,0.270301,0.592937,0.31832,0.582229,0.316287,
241,0.57618,0.313609,0.582195,0.316295,0.592933,0.318323,0.589965,0.270298,0.594148,0.220106,0.534952,0.330791,0.545349,0.331718,0.563243,0.330968,0.568087,0.279788,0.581745,0.226361,0.614245,0.211297,0.61456,0.202325,0.617938,0.177197,0.615508,0.143149,0.603468,0.139395,0.547642,0.231392,0.554035,0.219664,0.572747,0.187339,0.589064,0.147153,0.597178,0.140658,0.604233,0.0922536,0.602316,0.121091,0.604064,0.135048,0.608545,0.147689,0.604838,0.170299,0.600741,0.184582,0.596941,0.196052,0.597211,0.212664,0.591064,0.219717,0.582662,0.112804,0.585649,0.10874,0.589065,0.108274,0.595248,0.112827,0.604584,0.111371,0.561249,0.341648,0.564538,0.338172,0.595848,0.326286,0.588936,0.327768,0.54352,0.337391,0.546954,0.334012,0.585375,0.31943,0.578582,0.320841,0.533105,0.334768,0.536623,0.331445,0.579379,0.315121,0.572656,0.316491,0.589064,0.147153,0.572747,0.187339,0.554035,0.219664,0.615508,0.143149,0.617938,0.177197,0.61456,0.202325,0.581745,0.226361,0.568087,0.279788,0.563243,0.330968,0.545349,0.331718,0.594148,0.220106,0.589965,0.270298,0.592933,0.318323,0.582195,0.316295,
242,0.576128,0.31362,0.582165,0.316304,0.592944,0.31833,0.589883,0.270269,0.594238,0.220156,0.534957,0.330788,0.545347,0.331714,0.563232,0.330961,0.568077,0.279774,0.581796,0.226375,0.613907,0.211176,0.614261,0.202229,0.617797,0.177146,0.615478,0.143131,0.603525,0.139405,0.547924,0.231476,0.554275,0.21972,0.572951,0.187367,0.589192,0.147153,0.597247,0.140661,0.604261,0.0922642,0.60237,0.1211,0.604129,0.135055,0.608608,0.147696,0.604891,0.170306,0.600792,0.184592,0.596993,0.196066,0.59727,0.212684,0.591131,0.219746,0.582695,0.112831,0.585688,0.108768,0.589091,0.108292,0.595311,0.112854,0.604609,0.11137,0.561237,0.341641,0.564534,0.338172,0.595844,0.326293,0.588943,0.327775,0.543516,0.337385,0.546958,0.334012,0.585336,0.31944,0.578553,0.320851,0.533105,0.334763,0.536631,0.331447,0.579321,0.315132,0.572607,0.316502,0.589192,0.147153,0.572951,0.187367,0.554275,0.21972,0.615478,0.143131,0.617797,0.177146,0.614261,0.202229,0.581796,0.226375,0.568077,0.279774,0.563232,0.330961,0.545347,0.331714,0.594238,0.220156,0.589883,0.270269,0.592944,0.31833,0.582165,0.316304,
243,0.576052,0.313635,0.582118,0.316316,0.592949,0.318335,0.589856,0.270267,0.594293,0.220167,0.534971,0.330776,0.545358,0.331704,0.563238,0.330954,0.568054,0.27976,0.581803,0.226364,0.613521,0.211041,0.613967,0.202133,0.617666,0.177098,0.615443,0.143117,0.6036,0.139418,0.548188,0.231552,0.554498,0.219771,0.57315,0.187398,0.589326,0.147158,0.59734,0.140671,0.604314,0.0922813,0.602448,0.121117,0.604217,0.135069,0.608695,0.147712,0.604959,0.17032,0.600849,0.184604,0.597042,0.196076,0.597302,0.212695,0.591162,0.219749,0.582751,0.112866,0.585751,0.108803,0.58914,0.108319,0.595399,0.112883,0.604657,0.11138,0.56124,0.341634,0.564542,0.338167,0.59584,0.326293,0.588954,0.327785,0.543524,0.337375,0.546971,0.334004,0.585282,0.319447,0.578513,0.320867,0.533117,0.33475,0.536648,0.331436,0.579237,0.315143,0.572536,0.316522,0.589326,0.147158,0.57315,0.187398,0.554498,0.219771,0.615443,0.143117,0.617666,0.177098,0.613967,0.202133,0.581803,0.226364,0.568054,0.27976,0.563238,0.330954,0.545358,0.331704,0.594293,0.220167,0.589856,0.270267,0.592949,0.318335,0.582118,0.316316,
244,0.575963,0.313657,0.582066,0.316334,0.59296,0.318346,0.589844,0.270268,0.594337,0.220183,0.534985,0.330775,0.54537,0.331698,0.563244,0.33094,0.567956,0.279722,0.581901,0.226395,0.613126,0.210901,0.613678,0.202031,0.617542,0.177051,0.615437,0.143103,0.603661,0.139424,0.548436,0.231624,0.554734,0.219834,0.573359,0.187438,0.589474,0.147176,0.597409,0.140676,0.60435,0.092292,0.602506,0.121126,0.604284,0.135077,0.60876,0.14772,0.605016,0.170326,0.600904,0.184611,0.597098,0.196085,0.597373,0.212704,0.591233,0.219768,0.582792,0.112887,0.585796,0.108827,0.589175,0.108333,0.595466,0.11291,0.604691,0.111376,0.561248,0.341621,0.564554,0.338158,0.595836,0.326299,0.588968,0.3278,0.543536,0.337368,0.546986,0.334001,0.585219,0.31946,0.578467,0.32089,0.533131,0.334748,0.536665,0.331437,0.579139,0.31516,0.572454,0.316548,0.589474,0.147176,0.573359,0.187438,0.554734,0.219834,0.615437,0.143103,0.617542,0.177051,0.613678,0.202031,0.581901,0.226395,0.567956,0.279722,0.563244,0.33094,0.54537,0.331698,0.594337,0.220183,0.589844,0.270268,0.59296,0.318346,0.582066,0.316334,
245,0.575867,0.313682,0.582007,0.316353,0.592963,0.318353,0.589814,0.270265,0.594378,0.220191,0.535004,0.330761,0.545385,0.331687,0.563253,0.330932,0.567906,0.279692,0.581944,0.226401,0.612709,0.210775,0.613398,0.201918,0.617427,0.177,0.615424,0.143093,0.603735,0.139436,0.548688,0.231697,0.554972,0.219898,0.573558,0.187473,0.589613,0.147186,0.597491,0.140685,0.604377,0.0923093,0.602569,0.121144,0.604362,0.135091,0.608837,0.147734,0.605079,0.170339,0.600961,0.184622,0.59715,0.196095,0.597419,0.212715,0.591277,0.219776,0.582831,0.112934,0.58584,0.10887,0.589204,0.108371,0.595536,0.112938,0.604721,0.111392,0.561254,0.341612,0.564566,0.338152,0.595832,0.326297,0.588984,0.327814,0.543548,0.337356,0.547004,0.333992,0.585153,0.319471,0.578418,0.320916,0.533146,0.334733,0.536686,0.331425,0.579036,0.315178,0.572367,0.316581,0.589613,0.147186,0.573558,0.187473,0.554972,0.219898,0.615424,0.143093,0.617427,0.177,0.613398,0.201918,0.581944,0.226401,0.567906,0.279692,0.563253,0.330932,0.545385,0.331687,0.594378,0.220191,0.589814,0.270265,0.592963,0.318353,0.582007,0.316353,
