Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.431305,0.448798,0.418207,0.450975,0.395465,0.451665,0.397675,0.387027,0.391969,0.320821,0.392477,0.422345,0.384874,0.427583,0.371377,0.433931,0.376042,0.372697,0.372642,0.311489,0.456771,0.32322,0.44596,0.30772,0.415806,0.272259,0.394814,0.229913,0.383565,0.218449,0.319915,0.252569,0.322401,0.246766,0.334882,0.237845,0.359426,0.217312,0.373753,0.215549,0.376281,0.160011,0.377499,0.194111,0.374811,0.210783,0.368358,0.225827,0.369562,0.252905,0.372454,0.269982,0.375408,0.283677,0.37309,0.303674,0.379167,0.312002,0.39852,0.182421,0.390305,0.176996,0.397208,0.178658,0.370682,0.180769,0.39015,0.18575,0.367106,0.441907,0.375323,0.445135,0.397699,0.464966,0.394559,0.459656,0.380755,0.430267,0.388779,0.433325,0.420159,0.45826,0.416746,0.453149,0.388501,0.423255,0.396414,0.426216,0.433305,0.454027,0.429737,0.449033,0.359426,0.217312,0.334882,0.237845,0.322401,0.246766,0.394814,0.229913,0.415806,0.272259,0.44596,0.30772,0.372642,0.311489,0.376042,0.372697,0.371377,0.433931,0.384874,0.427583,0.391969,0.320821,0.397675,0.387027,0.395465,0.451665,0.418207,0.450975,
8.333,0.431297,0.448801,0.4182,0.45098,0.395469,0.451694,0.397754,0.386979,0.391856,0.320861,0.392456,0.422321,0.38485,0.427561,0.371321,0.433903,0.376096,0.37269,0.372529,0.311526,0.456698,0.323313,0.446009,0.307643,0.415822,0.272305,0.394763,0.229974,0.38366,0.218501,0.320122,0.25279,0.322305,0.246615,0.334917,0.237938,0.359385,0.217381,0.373851,0.215597,0.376228,0.160034,0.377572,0.194121,0.374918,0.210795,0.368419,0.225814,0.369493,0.252918,0.372337,0.270016,0.37527,0.283724,0.372961,0.303724,0.379049,0.312044,0.398557,0.18233,0.390323,0.176932,0.397225,0.178589,0.370716,0.180775,0.390182,0.185743,0.367142,0.441958,0.375368,0.4451,0.397664,0.464979,0.394528,0.459579,0.38077,0.430303,0.388803,0.433276,0.42013,0.458283,0.416723,0.453082,0.3885,0.423282,0.396422,0.42616,0.433283,0.454059,0.429721,0.448976,0.359385,0.217381,0.334917,0.237938,0.322305,0.246615,0.394763,0.229974,0.415822,0.272305,0.446009,0.307643,0.372529,0.311526,0.376096,0.37269,0.371321,0.433903,0.38485,0.427561,0.391856,0.320861,0.397754,0.386979,0.395469,0.451694,0.4182,0.45098,
16.666,0.431284,0.448803,0.418191,0.450988,0.395475,0.45173,0.397815,0.386939,0.391769,0.320882,0.392436,0.422328,0.384827,0.427562,0.371276,0.433886,0.3762,0.372675,0.372468,0.311532,0.456677,0.32337,0.44606,0.307592,0.41583,0.272377,0.39474,0.230012,0.38371,0.218533,0.320324,0.252995,0.322217,0.246457,0.334949,0.237989,0.359412,0.21741,0.37396,0.215611,0.376202,0.160039,0.377628,0.194123,0.374992,0.210799,0.36845,0.225798,0.369461,0.25291,0.372284,0.270017,0.375205,0.283733,0.372885,0.303731,0.378974,0.312055,0.39859,0.182281,0.390345,0.176902,0.397246,0.178545,0.370749,0.18079,0.390212,0.185719,0.367146,0.441987,0.375374,0.445082,0.397637,0.465002,0.3945,0.459523,0.380766,0.430336,0.388802,0.433263,0.420105,0.458307,0.416697,0.45303,0.388491,0.423316,0.396416,0.426149,0.43326,0.454086,0.429697,0.448927,0.359412,0.21741,0.334949,0.237989,0.322217,0.246457,0.39474,0.230012,0.41583,0.272377,0.44606,0.307592,0.372468,0.311532,0.3762,0.372675,0.371276,0.433886,0.384827,0.427562,0.391769,0.320882,0.397815,0.386939,0.395475,0.45173,0.418191,0.450988,
25,0.431274,0.448816,0.418181,0.450992,0.39547,0.451719,0.397876,0.386901,0.391742,0.320896,0.392415,0.422315,0.384807,0.427564,0.371254,0.433873,0.37626,0.372617,0.372291,0.311625,0.456652,0.323408,0.446098,0.307544,0.415851,0.272426,0.394742,0.23002,0.383766,0.21856,0.320477,0.25314,0.322137,0.246323,0.334993,0.238071,0.359434,0.217464,0.374045,0.21564,0.376177,0.160048,0.37768,0.194124,0.375062,0.2108,0.368485,0.225783,0.369426,0.252914,0.372222,0.270041,0.375125,0.283771,0.372813,0.303785,0.378882,0.312109,0.398617,0.182222,0.390361,0.17686,0.397263,0.178498,0.370775,0.180791,0.390241,0.185708,0.367154,0.442012,0.375388,0.445069,0.39762,0.464993,0.394484,0.459507,0.380759,0.430364,0.388801,0.433255,0.420091,0.458313,0.416683,0.453029,0.388479,0.423324,0.396409,0.426121,0.433247,0.454102,0.429685,0.448936,0.359434,0.217464,0.334993,0.238071,0.322137,0.246323,0.394742,0.23002,0.415851,0.272426,0.446098,0.307544,0.372291,0.311625,0.37626,0.372617,0.371254,0.433873,0.384807,0.427564,0.391742,0.320896,0.397876,0.386901,0.39547,0.451719,0.418181,0.450992,
33.333,0.431259,0.448817,0.418168,0.450998,0.395462,0.451726,0.397979,0.386879,0.391614,0.320946,0.392399,0.42231,0.384793,0.427576,0.371249,0.433867,0.37632,0.372567,0.372187,0.311666,0.456634,0.323461,0.446161,0.307515,0.415901,0.272474,0.394734,0.230052,0.383819,0.218591,0.320599,0.25327,0.322077,0.246203,0.335022,0.238127,0.359472,0.217487,0.374128,0.215661,0.376134,0.160055,0.377725,0.194125,0.375129,0.210804,0.368518,0.22577,0.369385,0.252913,0.372151,0.270053,0.375036,0.283794,0.372702,0.303812,0.378768,0.312149,0.398635,0.182159,0.390366,0.176817,0.397269,0.178446,0.370792,0.180797,0.390259,0.185689,0.367141,0.442013,0.375377,0.445068,0.397604,0.464998,0.394466,0.459499,0.380741,0.430379,0.388784,0.433269,0.420074,0.458323,0.416664,0.453024,0.388464,0.423317,0.396396,0.426113,0.433232,0.454107,0.429668,0.448928,0.359472,0.217487,0.335022,0.238127,0.322077,0.246203,0.394734,0.230052,0.415901,0.272474,0.446161,0.307515,0.372187,0.311666,0.37632,0.372567,0.371249,0.433867,0.384793,0.427576,0.391614,0.320946,0.397979,0.386879,0.395462,0.451726,0.418168,0.450998,
41.666,0.431251,0.448822,0.418161,0.451002,0.395457,0.451727,0.397994,0.386857,0.391598,0.320951,0.392385,0.422317,0.384781,0.427585,0.371242,0.433865,0.376333,0.372558,0.37217,0.311667,0.456647,0.32348,0.446201,0.307496,0.415945,0.272514,0.394734,0.230053,0.383831,0.218595,0.32068,0.253349,0.322037,0.246113,0.33509,0.238198,0.359437,0.217509,0.374165,0.215662,0.376127,0.160051,0.377741,0.194122,0.375149,0.210801,0.368524,0.225762,0.36938,0.252908,0.372143,0.270052,0.375025,0.283795,0.372687,0.303813,0.378752,0.312151,0.398647,0.182143,0.390374,0.176806,0.397276,0.17843,0.370802,0.180798,0.390266,0.185677,0.36713,0.442016,0.375368,0.44507,0.3976,0.465001,0.394458,0.459508,0.380727,0.43039,0.388772,0.433279,0.420068,0.458325,0.416655,0.453034,0.388449,0.423325,0.396383,0.426119,0.433225,0.45411,0.429658,0.448937,0.359437,0.217509,0.33509,0.238198,0.322037,0.246113,0.394734,0.230053,0.415945,0.272514,0.446201,0.307496,0.37217,0.311667,0.376333,0.372558,0.371242,0.433865,0.384781,0.427585,0.391598,0.320951,0.397994,0.386857,0.395457,0.451727,0.418161,0.451002,
50,0.43124,0.448827,0.41815,0.451005,0.395448,0.451727,0.398006,0.386855,0.391603,0.320944,0.392371,0.422325,0.384767,0.42759,0.371232,0.433859,0.376349,0.372537,0.372147,0.311669,0.45665,0.323515,0.446261,0.307477,0.415998,0.272557,0.394734,0.230072,0.38385,0.218612,0.320742,0.253426,0.322021,0.24603,0.335123,0.238264,0.359446,0.21752,0.374188,0.215676,0.376129,0.160058,0.377762,0.194129,0.375174,0.210808,0.368535,0.225764,0.369361,0.252915,0.372116,0.270063,0.374996,0.283807,0.372672,0.303825,0.378741,0.312153,0.398662,0.182139,0.390388,0.176806,0.397289,0.178427,0.370818,0.180808,0.390282,0.185677,0.36711,0.442008,0.375347,0.445068,0.39759,0.465001,0.394447,0.45951,0.380709,0.430393,0.388753,0.433288,0.420058,0.458329,0.416644,0.453038,0.388434,0.42333,0.396367,0.42613,0.433214,0.454115,0.429646,0.448943,0.359446,0.21752,0.335123,0.238264,0.322021,0.24603,0.394734,0.230072,0.415998,0.272557,0.446261,0.307477,0.372147,0.311669,0.376349,0.372537,0.371232,0.433859,0.384767,0.42759,0.391603,0.320944,0.398006,0.386855,0.395448,0.451727,0.41815,0.451005,
58.333,0.43124,0.448831,0.418152,0.451007,0.395452,0.451721,0.398054,0.386833,0.391609,0.320946,0.392371,0.42233,0.384767,0.427595,0.371232,0.433855,0.37638,0.372527,0.372146,0.311674,0.456679,0.32353,0.446318,0.307465,0.416054,0.272602,0.394745,0.23008,0.383887,0.21862,0.320799,0.253491,0.322017,0.245974,0.335159,0.238304,0.35945,0.217533,0.374233,0.215681,0.376116,0.160059,0.37779,0.194127,0.375213,0.210808,0.368567,0.225759,0.369373,0.252914,0.372121,0.270065,0.374998,0.283811,0.372675,0.30383,0.378743,0.312157,0.39868,0.182106,0.390399,0.176781,0.3973,0.178399,0.370834,0.180806,0.390296,0.185668,0.367104,0.442003,0.375341,0.445067,0.397595,0.464998,0.394449,0.459517,0.380706,0.430396,0.38875,0.433294,0.420061,0.458329,0.416644,0.453049,0.388433,0.423332,0.396366,0.426136,0.433216,0.454116,0.429645,0.448954,0.35945,0.217533,0.335159,0.238304,0.322017,0.245974,0.394745,0.23008,0.416054,0.272602,0.446318,0.307465,0.372146,0.311674,0.37638,0.372527,0.371232,0.433855,0.384767,0.427595,0.391609,0.320946,0.398054,0.386833,0.395452,0.451721,0.418152,0.451007,
66.666,0.431235,0.448839,0.418147,0.451013,0.395447,0.451726,0.398099,0.386817,0.391586,0.32096,0.392368,0.422338,0.384763,0.4276,0.371231,0.433851,0.376403,0.372514,0.372132,0.311677,0.456705,0.323556,0.44639,0.307457,0.416102,0.272648,0.394788,0.230096,0.383935,0.218637,0.320871,0.253545,0.321997,0.245927,0.335213,0.238365,0.35946,0.217547,0.374283,0.215694,0.376101,0.160065,0.377825,0.194129,0.375264,0.210812,0.368605,0.225758,0.369375,0.252917,0.372109,0.270073,0.374979,0.283822,0.372654,0.30384,0.378724,0.312166,0.398706,0.182069,0.390418,0.176755,0.397316,0.178371,0.370858,0.180807,0.390312,0.185664,0.367094,0.441997,0.37533,0.445067,0.397587,0.465004,0.394441,0.459518,0.380698,0.430399,0.388742,0.433303,0.420054,0.458336,0.416637,0.453051,0.388428,0.423337,0.39636,0.426147,0.43321,0.454125,0.429639,0.448959,0.35946,0.217547,0.335213,0.238365,0.321997,0.245927,0.394788,0.230096,0.416102,0.272648,0.44639,0.307457,0.372132,0.311677,0.376403,0.372514,0.371231,0.433851,0.384763,0.4276,0.391586,0.32096,0.398099,0.386817,0.395447,0.451726,0.418147,0.451013,
75,0.431233,0.448844,0.418145,0.451016,0.395446,0.451722,0.398118,0.386805,0.39159,0.320958,0.392364,0.422344,0.384759,0.427604,0.371228,0.433851,0.37642,0.372506,0.372124,0.311684,0.456757,0.323569,0.446452,0.30746,0.416173,0.27269,0.394798,0.230102,0.383959,0.218644,0.320925,0.253593,0.32199,0.245899,0.335285,0.238422,0.359479,0.217554,0.374332,0.215695,0.376106,0.160065,0.377854,0.194128,0.375297,0.210811,0.368624,0.225751,0.36938,0.252913,0.372111,0.270071,0.374979,0.283822,0.372654,0.303842,0.378723,0.312169,0.398736,0.18205,0.390444,0.17674,0.397339,0.178356,0.370886,0.180803,0.390329,0.185661,0.367086,0.441995,0.375322,0.445069,0.397587,0.465002,0.394439,0.459523,0.380692,0.430401,0.388735,0.433309,0.420053,0.458338,0.416635,0.45306,0.388423,0.423341,0.396355,0.426154,0.433209,0.454128,0.429637,0.448969,0.359479,0.217554,0.335285,0.238422,0.32199,0.245899,0.394798,0.230102,0.416173,0.27269,0.446452,0.30746,0.372124,0.311684,0.37642,0.372506,0.371228,0.433851,0.384759,0.427604,0.39159,0.320958,0.398118,0.386805,0.395446,0.451722,0.418145,0.451016,
