Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.381224,0.336489,0.377536,0.330801,0.371463,0.319382,0.372836,0.275949,0.371684,0.227495,0.417189,0.319389,0.408545,0.316398,0.394101,0.309332,0.394803,0.268087,0.389333,0.221843,0.299143,0.220439,0.30556,0.209648,0.329154,0.18642,0.356904,0.160449,0.37176,0.153706,0.444158,0.182893,0.436759,0.177436,0.413663,0.168149,0.392875,0.153279,0.380561,0.151856,0.373086,0.111595,0.374885,0.136171,0.373878,0.147346,0.370638,0.156149,0.371933,0.17535,0.37395,0.18824,0.375945,0.198928,0.375195,0.212058,0.378818,0.220445,0.386934,0.132648,0.386966,0.127523,0.380685,0.12868,0.384855,0.127395,0.367081,0.130656,0.396595,0.31455,0.393059,0.318067,0.367942,0.32755,0.374966,0.326327,0.410543,0.31777,0.407111,0.32135,0.373941,0.334906,0.381078,0.333611,0.41908,0.319458,0.415713,0.323074,0.377617,0.339239,0.384827,0.337899,0.392875,0.153279,0.413663,0.168149,0.436759,0.177436,0.356904,0.160449,0.329154,0.18642,0.30556,0.209648,0.389333,0.221843,0.394803,0.268087,0.394101,0.309332,0.408545,0.316398,0.371684,0.227495,0.372836,0.275949,0.371463,0.319382,0.377536,0.330801,
8.333,0.381203,0.336477,0.377512,0.330789,0.37141,0.319377,0.372898,0.275967,0.371621,0.227472,0.417198,0.319367,0.408554,0.316378,0.394122,0.309303,0.394806,0.2681,0.389269,0.221821,0.299354,0.22056,0.30547,0.209578,0.329156,0.186456,0.356889,0.160479,0.371803,0.153767,0.444077,0.183075,0.436781,0.177314,0.413649,0.168218,0.392835,0.153314,0.380605,0.151914,0.373062,0.111603,0.374917,0.136193,0.373925,0.147381,0.370663,0.156155,0.371893,0.175336,0.373886,0.188223,0.375869,0.198909,0.375125,0.21204,0.378753,0.220424,0.386946,0.132587,0.38697,0.127479,0.380688,0.128632,0.38487,0.127406,0.367094,0.130657,0.396577,0.31459,0.393042,0.31805,0.36797,0.32756,0.374995,0.326277,0.410533,0.317797,0.407104,0.321319,0.373953,0.334918,0.381092,0.333562,0.419077,0.319476,0.415712,0.323034,0.377617,0.339253,0.384829,0.337852,0.392835,0.153314,0.413649,0.168218,0.436781,0.177314,0.356889,0.160479,0.329156,0.186456,0.30547,0.209578,0.389269,0.221821,0.394806,0.2681,0.394122,0.309303,0.408554,0.316378,0.371621,0.227472,0.372898,0.275967,0.37141,0.319377,0.377512,0.330789,
16.666,0.38119,0.336466,0.37749,0.33078,0.371354,0.319376,0.372959,0.275984,0.371603,0.227458,0.417192,0.319362,0.40855,0.316368,0.39413,0.309278,0.394824,0.268128,0.389264,0.221809,0.299533,0.220659,0.305402,0.209534,0.329166,0.186508,0.356858,0.160494,0.371801,0.153797,0.443968,0.183239,0.436786,0.177184,0.413625,0.168255,0.392817,0.153336,0.380637,0.151948,0.373069,0.111604,0.374933,0.136206,0.37395,0.147399,0.370702,0.156158,0.371909,0.175329,0.373888,0.188214,0.375863,0.198899,0.37512,0.212026,0.378744,0.220411,0.386956,0.132557,0.38698,0.127461,0.380697,0.128604,0.384884,0.127423,0.367105,0.130646,0.396558,0.314602,0.393022,0.31803,0.367985,0.327573,0.37501,0.326236,0.410518,0.317813,0.407088,0.321302,0.373964,0.33493,0.381103,0.333519,0.419064,0.319493,0.415699,0.323018,0.377623,0.339267,0.384835,0.337809,0.392817,0.153336,0.413625,0.168255,0.436786,0.177184,0.356858,0.160494,0.329166,0.186508,0.305402,0.209534,0.389264,0.221809,0.394824,0.268128,0.39413,0.309278,0.40855,0.316368,0.371603,0.227458,0.372959,0.275984,0.371354,0.319376,0.37749,0.33078,
25,0.381182,0.336467,0.377482,0.330775,0.371345,0.319362,0.372993,0.275992,0.371558,0.227446,0.417193,0.319345,0.40855,0.316362,0.394134,0.309263,0.394913,0.26814,0.389137,0.22179,0.299712,0.220745,0.30535,0.209493,0.32919,0.186553,0.356839,0.160496,0.37181,0.153827,0.443884,0.183355,0.436795,0.177074,0.413605,0.168317,0.392801,0.153374,0.380663,0.151988,0.373053,0.111606,0.374949,0.136217,0.373978,0.147416,0.37072,0.156157,0.371876,0.175317,0.373828,0.188202,0.375789,0.198887,0.375017,0.212015,0.378652,0.220397,0.386963,0.132518,0.386982,0.127432,0.380699,0.128572,0.38489,0.127428,0.367111,0.130643,0.396539,0.314613,0.393005,0.318019,0.36798,0.327558,0.375005,0.326216,0.410507,0.317825,0.40708,0.321292,0.373958,0.334926,0.381097,0.33351,0.419062,0.319493,0.415701,0.322995,0.377616,0.339269,0.384829,0.337807,0.392801,0.153374,0.413605,0.168317,0.436795,0.177074,0.356839,0.160496,0.32919,0.186553,0.30535,0.209493,0.389137,0.22179,0.394913,0.26814,0.394134,0.309263,0.40855,0.316362,0.371558,0.227446,0.372993,0.275992,0.371345,0.319362,0.377482,0.330775,
33.333,0.381176,0.336459,0.377472,0.330769,0.371325,0.319354,0.37302,0.276021,0.37149,0.227425,0.417187,0.319332,0.408541,0.316361,0.394125,0.309253,0.394981,0.26815,0.389081,0.221776,0.29986,0.220831,0.305312,0.209476,0.32921,0.186601,0.356822,0.160513,0.371817,0.153859,0.443792,0.183452,0.436799,0.176977,0.413582,0.168357,0.3928,0.153396,0.380688,0.152021,0.373037,0.111605,0.37496,0.136226,0.373999,0.147433,0.370742,0.156158,0.371866,0.175306,0.3738,0.188188,0.375748,0.198872,0.374968,0.211992,0.378594,0.220378,0.386965,0.132474,0.38698,0.127401,0.380697,0.128534,0.384892,0.127435,0.367113,0.130633,0.396523,0.314602,0.392991,0.318008,0.367973,0.327552,0.374997,0.326199,0.410494,0.317824,0.407069,0.321291,0.373954,0.334923,0.381092,0.333496,0.419057,0.31948,0.415698,0.322983,0.377614,0.339265,0.384825,0.337792,0.3928,0.153396,0.413582,0.168357,0.436799,0.176977,0.356822,0.160513,0.32921,0.186601,0.305312,0.209476,0.389081,0.221776,0.394981,0.26815,0.394125,0.309253,0.408541,0.316361,0.37149,0.227425,0.37302,0.276021,0.371325,0.319354,0.377472,0.330769,
41.666,0.381171,0.336457,0.377465,0.330765,0.371317,0.319348,0.373047,0.276022,0.371478,0.22742,0.417179,0.319329,0.408533,0.316359,0.394116,0.309246,0.394985,0.268149,0.389069,0.221769,0.300004,0.220901,0.305286,0.209464,0.32924,0.186647,0.3568,0.160509,0.371802,0.153861,0.443723,0.183509,0.436798,0.176904,0.413565,0.168416,0.392753,0.153397,0.380687,0.152027,0.373031,0.1116,0.374954,0.136224,0.373996,0.147433,0.370745,0.156154,0.371863,0.1753,0.373792,0.188183,0.375737,0.198867,0.374957,0.211986,0.378582,0.220372,0.386956,0.132462,0.386973,0.127392,0.380688,0.128522,0.384887,0.127436,0.367105,0.130624,0.396509,0.314594,0.392979,0.317999,0.367958,0.327544,0.374982,0.326195,0.410483,0.317821,0.407059,0.321288,0.373945,0.334918,0.381082,0.333494,0.419049,0.319476,0.415691,0.322979,0.377609,0.339261,0.384819,0.337792,0.392753,0.153397,0.413565,0.168416,0.436798,0.176904,0.3568,0.160509,0.32924,0.186647,0.305286,0.209464,0.389069,0.221769,0.394985,0.268149,0.394116,0.309246,0.408533,0.316359,0.371478,0.22742,0.373047,0.276022,0.371317,0.319348,0.377465,0.330765,
50,0.381166,0.336453,0.377459,0.33076,0.371308,0.319341,0.373039,0.276021,0.371478,0.227416,0.41717,0.319325,0.408524,0.316354,0.394108,0.309234,0.395002,0.268145,0.389053,0.22176,0.300142,0.220976,0.305262,0.209459,0.329265,0.186694,0.35678,0.160517,0.37179,0.153874,0.443649,0.183561,0.4368,0.176841,0.413535,0.168461,0.392737,0.153403,0.380678,0.152039,0.373024,0.111604,0.374947,0.136231,0.373988,0.147441,0.370734,0.156154,0.371839,0.175296,0.373765,0.188178,0.375711,0.198862,0.374936,0.211985,0.37857,0.220367,0.386949,0.13246,0.386965,0.127393,0.38068,0.12852,0.38488,0.127445,0.367097,0.130624,0.3965,0.314576,0.39297,0.317986,0.367949,0.327536,0.374972,0.326187,0.410473,0.317812,0.407049,0.321284,0.373938,0.334912,0.381075,0.333489,0.41904,0.31947,0.415682,0.322977,0.377603,0.339257,0.384813,0.337788,0.392737,0.153403,0.413535,0.168461,0.4368,0.176841,0.35678,0.160517,0.329265,0.186694,0.305262,0.209459,0.389053,0.22176,0.395002,0.268145,0.394108,0.309234,0.408524,0.316354,0.371478,0.227416,0.373039,0.276021,0.371308,0.319341,0.377459,0.33076,
58.333,0.381164,0.336455,0.377455,0.33076,0.371305,0.319336,0.373062,0.27603,0.371467,0.227416,0.417164,0.319326,0.408518,0.316355,0.394104,0.309229,0.395008,0.26815,0.389039,0.221758,0.300264,0.22104,0.30525,0.209461,0.329299,0.186745,0.356764,0.160522,0.371785,0.153885,0.443589,0.183605,0.436798,0.176799,0.413514,0.168492,0.392712,0.153408,0.380679,0.15205,0.372999,0.1116,0.374938,0.136232,0.373987,0.147447,0.370733,0.156156,0.37183,0.175295,0.373752,0.188177,0.375697,0.198861,0.374922,0.211984,0.378557,0.220366,0.386933,0.132435,0.386948,0.127374,0.380662,0.128498,0.384868,0.127443,0.367082,0.130618,0.396495,0.314569,0.392964,0.31798,0.367935,0.327529,0.374958,0.326186,0.410467,0.317811,0.407043,0.321284,0.37393,0.33491,0.381066,0.333492,0.419035,0.319469,0.415677,0.322978,0.377599,0.339257,0.384808,0.337793,0.392712,0.153408,0.413514,0.168492,0.436798,0.176799,0.356764,0.160522,0.329299,0.186745,0.30525,0.209461,0.389039,0.221758,0.395008,0.26815,0.394104,0.309229,0.408518,0.316355,0.371467,0.227416,0.373062,0.27603,0.371305,0.319336,0.377455,0.33076,
66.666,0.381153,0.336452,0.377443,0.330756,0.371291,0.319331,0.373082,0.276042,0.371447,0.227413,0.417156,0.319327,0.40851,0.316353,0.394096,0.309223,0.395017,0.268151,0.389024,0.221752,0.300361,0.221101,0.305247,0.209473,0.329323,0.186793,0.35676,0.160539,0.371785,0.153904,0.443537,0.183646,0.436786,0.176758,0.413493,0.16854,0.392691,0.153415,0.38068,0.152067,0.37297,0.111599,0.374931,0.136237,0.373987,0.147457,0.37073,0.156161,0.371813,0.175294,0.373731,0.188175,0.375674,0.198858,0.374904,0.211981,0.378539,0.220362,0.386913,0.132409,0.386928,0.127354,0.380639,0.128476,0.384856,0.127445,0.367064,0.130613,0.396487,0.314557,0.392956,0.317973,0.367926,0.327525,0.374949,0.326178,0.410459,0.317806,0.407035,0.321283,0.37392,0.334907,0.381056,0.333486,0.419027,0.319468,0.415668,0.32298,0.377588,0.339255,0.384798,0.337788,0.392691,0.153415,0.413493,0.16854,0.436786,0.176758,0.35676,0.160539,0.329323,0.186793,0.305247,0.209473,0.389024,0.221752,0.395017,0.268151,0.394096,0.309223,0.40851,0.316353,0.371447,0.227413,0.373082,0.276042,0.371291,0.319331,0.377443,0.330756,
75,0.381146,0.336452,0.377436,0.330754,0.371286,0.319326,0.37309,0.276043,0.371438,0.22741,0.417149,0.319327,0.408504,0.316352,0.39409,0.309219,0.395024,0.268153,0.38901,0.221751,0.300453,0.221158,0.305242,0.209488,0.329357,0.186847,0.356737,0.16054,0.371768,0.15391,0.443488,0.183681,0.43677,0.176733,0.413477,0.168589,0.39267,0.153419,0.380677,0.152075,0.372945,0.111597,0.374918,0.136238,0.373981,0.14746,0.370732,0.15616,0.371811,0.175291,0.373724,0.188172,0.375665,0.198855,0.374892,0.211978,0.378528,0.22036,0.386889,0.132394,0.386904,0.127342,0.380612,0.128464,0.384842,0.127444,0.367041,0.13061,0.396481,0.31455,0.39295,0.317968,0.367914,0.327517,0.374937,0.326175,0.410453,0.317802,0.407028,0.321282,0.37391,0.334902,0.381046,0.333486,0.419021,0.319466,0.415661,0.32298,0.37758,0.339253,0.384789,0.33779,0.39267,0.153419,0.413477,0.168589,0.43677,0.176733,0.356737,0.16054,0.329357,0.186847,0.305242,0.209488,0.38901,0.221751,0.395024,0.268153,0.39409,0.309219,0.408504,0.316352,0.371438,0.22741,0.37309,0.276043,0.371286,0.319326,0.377436,0.330754,
