Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.562814,0.302387,0.571309,0.299245,0.585555,0.291912,0.5883,0.249761,0.59599,0.202974,0.601247,0.319413,0.604325,0.313583,0.609495,0.301897,0.610537,0.258359,0.615428,0.208678,0.544154,0.162045,0.551489,0.156124,0.574083,0.146064,0.595787,0.131778,0.608315,0.130644,0.688861,0.203005,0.682507,0.192067,0.659784,0.168372,0.633089,0.140119,0.61824,0.132672,0.617659,0.0888723,0.615128,0.114426,0.615508,0.126039,0.617752,0.135147,0.615594,0.154968,0.61319,0.168268,0.610926,0.179292,0.610945,0.192818,0.607379,0.201472,0.604781,0.11063,0.611207,0.106513,0.604136,0.105336,0.624429,0.10863,0.604534,0.105321,0.612836,0.310148,0.605583,0.308978,0.582505,0.297249,0.586482,0.300812,0.607906,0.317706,0.600519,0.316473,0.568925,0.30066,0.572825,0.304292,0.604907,0.322159,0.597433,0.320887,0.560594,0.302471,0.564446,0.306144,0.633089,0.140119,0.659784,0.168372,0.682507,0.192067,0.595787,0.131778,0.574083,0.146064,0.551489,0.156124,0.615428,0.208678,0.610537,0.258359,0.609495,0.301897,0.604325,0.313583,0.59599,0.202974,0.5883,0.249761,0.585555,0.291912,0.571309,0.299245,
8.333,0.562817,0.302366,0.57131,0.299223,0.585538,0.291877,0.588265,0.249787,0.596047,0.202951,0.601268,0.319403,0.604347,0.313575,0.609544,0.301898,0.610499,0.258359,0.615485,0.208655,0.544208,0.162211,0.551455,0.156034,0.574071,0.146095,0.595812,0.131811,0.60826,0.130703,0.6886,0.203135,0.682618,0.191952,0.659742,0.168439,0.633097,0.14015,0.618183,0.132729,0.617686,0.0888814,0.615088,0.114447,0.61545,0.12607,0.617721,0.135151,0.615625,0.154953,0.613245,0.16825,0.610992,0.179272,0.611007,0.1928,0.607437,0.201451,0.604764,0.110564,0.611199,0.106465,0.604129,0.105285,0.62441,0.108641,0.604516,0.105321,0.6128,0.310167,0.605548,0.308936,0.582533,0.297284,0.586514,0.300789,0.60789,0.317723,0.600502,0.316429,0.568945,0.300686,0.572848,0.30426,0.604905,0.322176,0.597431,0.320842,0.560608,0.302491,0.564462,0.306105,0.633097,0.14015,0.659742,0.168439,0.682618,0.191952,0.595812,0.131811,0.574071,0.146095,0.551455,0.156034,0.615485,0.208655,0.610499,0.258359,0.609544,0.301898,0.604347,0.313575,0.596047,0.202951,0.588265,0.249787,0.585538,0.291877,0.57131,0.299223,
16.666,0.562824,0.302354,0.571312,0.299206,0.58552,0.291845,0.58824,0.249816,0.596101,0.20295,0.601282,0.319401,0.604364,0.313571,0.60958,0.301891,0.61043,0.258369,0.615527,0.208654,0.544232,0.162342,0.551422,0.155971,0.574065,0.146144,0.595817,0.131821,0.608223,0.130725,0.688329,0.203229,0.682712,0.191818,0.6597,0.168464,0.633068,0.140164,0.618118,0.132756,0.617706,0.0888874,0.615054,0.114456,0.615408,0.126085,0.617715,0.13516,0.615653,0.154956,0.613282,0.16825,0.611034,0.179272,0.611057,0.192799,0.607486,0.20145,0.604746,0.110531,0.611189,0.106445,0.60412,0.105255,0.624391,0.108658,0.604501,0.105308,0.61279,0.310167,0.605539,0.308902,0.582553,0.297312,0.58654,0.300764,0.607885,0.317731,0.600499,0.316402,0.568963,0.300712,0.572871,0.304232,0.604905,0.322189,0.597432,0.32082,0.560624,0.302515,0.564482,0.306076,0.633068,0.140164,0.6597,0.168464,0.682712,0.191818,0.595817,0.131821,0.574065,0.146144,0.551422,0.155971,0.615527,0.208654,0.61043,0.258369,0.60958,0.301891,0.604364,0.313571,0.596101,0.20295,0.58824,0.249816,0.58552,0.291845,0.571312,0.299206,
25,0.562829,0.302354,0.571317,0.2992,0.585522,0.291828,0.588209,0.249824,0.596106,0.202926,0.601301,0.319393,0.604378,0.313571,0.609598,0.301885,0.610419,0.25841,0.615604,0.208621,0.544259,0.162462,0.551397,0.155918,0.574054,0.146188,0.59581,0.131818,0.608186,0.13075,0.688124,0.203289,0.6828,0.191709,0.659648,0.168518,0.633042,0.140197,0.618065,0.132791,0.617717,0.088889,0.615024,0.114463,0.615369,0.1261,0.617698,0.135159,0.615665,0.15494,0.613303,0.168229,0.611062,0.179249,0.611069,0.192762,0.607517,0.201419,0.604732,0.110488,0.611181,0.106414,0.604111,0.10522,0.624374,0.108661,0.604484,0.105302,0.612776,0.310164,0.605525,0.308876,0.582563,0.2973,0.58655,0.300748,0.607885,0.31774,0.600498,0.316386,0.568972,0.300709,0.57288,0.304225,0.604914,0.322192,0.597441,0.320799,0.560631,0.302517,0.56449,0.306074,0.633042,0.140197,0.659648,0.168518,0.6828,0.191709,0.59581,0.131818,0.574054,0.146188,0.551397,0.155918,0.615604,0.208621,0.610419,0.25841,0.609598,0.301885,0.604378,0.313571,0.596106,0.202926,0.588209,0.249824,0.585522,0.291828,0.571317,0.2992,
33.333,0.562838,0.302348,0.571324,0.299193,0.585522,0.291812,0.588147,0.249837,0.596171,0.202906,0.601312,0.319381,0.604386,0.31357,0.609599,0.301871,0.6104,0.258439,0.615657,0.208606,0.544279,0.162575,0.551359,0.155884,0.574025,0.146229,0.595809,0.131831,0.60815,0.130776,0.687943,0.20333,0.682865,0.191607,0.659608,0.168549,0.633011,0.140213,0.618014,0.132819,0.617741,0.0888893,0.614996,0.114469,0.61533,0.126112,0.617685,0.135161,0.615689,0.154932,0.613341,0.168219,0.611109,0.179236,0.611126,0.192743,0.607576,0.201401,0.604724,0.110441,0.611179,0.10638,0.60411,0.10518,0.624363,0.108666,0.604474,0.10529,0.61278,0.310146,0.605528,0.308859,0.582572,0.297295,0.586562,0.300732,0.607894,0.317736,0.600507,0.316384,0.568982,0.30071,0.572892,0.304215,0.604925,0.322181,0.597451,0.320789,0.560641,0.302518,0.564502,0.306064,0.633011,0.140213,0.659608,0.168549,0.682865,0.191607,0.595809,0.131831,0.574025,0.146229,0.551359,0.155884,0.615657,0.208606,0.6104,0.258439,0.609599,0.301871,0.604386,0.31357,0.596171,0.202906,0.588147,0.249837,0.585522,0.291812,0.571324,0.299193,
41.666,0.562844,0.302346,0.571328,0.299188,0.585524,0.291803,0.588144,0.249847,0.596179,0.2029,0.601321,0.319377,0.604392,0.313567,0.609602,0.301861,0.610393,0.258436,0.615665,0.208598,0.544283,0.162668,0.551335,0.155861,0.574003,0.146272,0.595803,0.131822,0.608137,0.130772,0.687818,0.203344,0.682908,0.191528,0.65954,0.168596,0.633016,0.140206,0.617987,0.132819,0.617744,0.0888843,0.614983,0.114464,0.615316,0.126109,0.617683,0.135157,0.615692,0.154926,0.613344,0.168212,0.611113,0.179229,0.611133,0.192736,0.607583,0.201393,0.604714,0.110425,0.611171,0.106368,0.604103,0.105165,0.624353,0.108665,0.604467,0.105278,0.612783,0.310133,0.605531,0.308846,0.582572,0.297281,0.586563,0.300722,0.607901,0.317732,0.600513,0.31638,0.568984,0.300702,0.572896,0.304211,0.604934,0.322177,0.597459,0.320786,0.560645,0.302514,0.564508,0.306063,0.633016,0.140206,0.65954,0.168596,0.682908,0.191528,0.595803,0.131822,0.574003,0.146272,0.551335,0.155861,0.615665,0.208598,0.610393,0.258436,0.609602,0.301861,0.604392,0.313567,0.596179,0.2029,0.588144,0.249847,0.585524,0.291803,0.571328,0.299188,
50,0.56285,0.302343,0.571334,0.299183,0.585528,0.291794,0.588135,0.249839,0.596176,0.202896,0.601328,0.319373,0.604399,0.31356,0.609606,0.301847,0.610388,0.258437,0.615676,0.208586,0.544291,0.162765,0.551299,0.155841,0.573974,0.146314,0.595796,0.131825,0.608119,0.130779,0.687707,0.203353,0.682931,0.191456,0.659493,0.168629,0.633003,0.140206,0.617967,0.132826,0.617739,0.0888867,0.614966,0.114466,0.615296,0.126111,0.617671,0.135152,0.615696,0.154917,0.613352,0.168203,0.611123,0.17922,0.611135,0.19273,0.607587,0.201386,0.6047,0.110418,0.611159,0.106365,0.604092,0.105159,0.624339,0.10867,0.604454,0.105275,0.612795,0.310116,0.605544,0.308834,0.582576,0.297271,0.586568,0.300712,0.607911,0.317722,0.600524,0.316375,0.56899,0.300696,0.572903,0.304206,0.604943,0.322171,0.597468,0.320784,0.560651,0.302511,0.564515,0.30606,0.633003,0.140206,0.659493,0.168629,0.682931,0.191456,0.595796,0.131825,0.573974,0.146314,0.551299,0.155841,0.615676,0.208586,0.610388,0.258437,0.609606,0.301847,0.604399,0.31356,0.596176,0.202896,0.588135,0.249839,0.585528,0.291794,0.571334,0.299183,
58.333,0.56285,0.302344,0.571332,0.299181,0.585525,0.291787,0.588109,0.249847,0.596169,0.20289,0.601326,0.31937,0.604398,0.313558,0.609605,0.301839,0.610368,0.258437,0.615671,0.208579,0.544284,0.162845,0.551267,0.155832,0.573945,0.146361,0.595784,0.131823,0.608091,0.130782,0.687611,0.203363,0.682938,0.191405,0.659451,0.168649,0.632989,0.140203,0.617935,0.13283,0.617739,0.0888793,0.614944,0.114461,0.615268,0.126111,0.61765,0.13515,0.615685,0.154912,0.613344,0.168197,0.611117,0.179214,0.611128,0.192723,0.60758,0.20138,0.604685,0.110387,0.611147,0.10634,0.60408,0.105132,0.624323,0.108663,0.604441,0.105263,0.612798,0.310106,0.605546,0.308826,0.58257,0.297256,0.586563,0.300703,0.607912,0.317718,0.600524,0.316373,0.568987,0.300688,0.572901,0.304204,0.604942,0.322167,0.597467,0.320782,0.560649,0.302507,0.564514,0.306063,0.632989,0.140203,0.659451,0.168649,0.682938,0.191405,0.595784,0.131823,0.573945,0.146361,0.551267,0.155832,0.615671,0.208579,0.610368,0.258437,0.609605,0.301839,0.604398,0.313558,0.596169,0.20289,0.588109,0.249847,0.585525,0.291787,0.571332,0.299181,
66.666,0.562851,0.302337,0.571333,0.299172,0.585524,0.291776,0.588084,0.249856,0.596178,0.202884,0.601326,0.319367,0.604398,0.313553,0.609604,0.301828,0.610355,0.258436,0.615676,0.20857,0.544277,0.162916,0.551226,0.15583,0.573918,0.146404,0.595754,0.131833,0.608058,0.130795,0.687508,0.203368,0.682952,0.191355,0.659391,0.168685,0.632971,0.140202,0.617899,0.13284,0.617739,0.0888747,0.614917,0.11446,0.615233,0.126114,0.617623,0.135148,0.615678,0.154905,0.613345,0.168189,0.611122,0.179206,0.611136,0.192717,0.607588,0.201372,0.604663,0.110351,0.611129,0.106312,0.604064,0.105102,0.624301,0.108659,0.604425,0.105253,0.612803,0.310093,0.605551,0.308817,0.582573,0.297249,0.586566,0.300693,0.607915,0.317711,0.600528,0.31637,0.568989,0.300682,0.572904,0.304195,0.604943,0.322162,0.597469,0.320781,0.560652,0.302502,0.564517,0.306055,0.632971,0.140202,0.659391,0.168685,0.682952,0.191355,0.595754,0.131833,0.573918,0.146404,0.551226,0.15583,0.615676,0.20857,0.610355,0.258436,0.609604,0.301828,0.604398,0.313553,0.596178,0.202884,0.588084,0.249856,0.585524,0.291776,0.571333,0.299172,
75,0.562851,0.302334,0.571333,0.299167,0.585524,0.291768,0.588073,0.249856,0.596173,0.202877,0.601327,0.319364,0.604399,0.313548,0.609604,0.301821,0.610345,0.258437,0.615676,0.208564,0.544255,0.162979,0.551191,0.155832,0.57388,0.146451,0.595741,0.131826,0.608035,0.130792,0.687424,0.203372,0.682951,0.191319,0.659322,0.16872,0.632949,0.140198,0.617864,0.13284,0.617726,0.0888663,0.614893,0.114453,0.615209,0.126111,0.617612,0.135145,0.615674,0.1549,0.613341,0.168184,0.611119,0.1792,0.611132,0.19271,0.607585,0.201366,0.604634,0.110326,0.611103,0.106291,0.60404,0.10508,0.624275,0.108651,0.604407,0.105242,0.612807,0.310084,0.605556,0.308811,0.582571,0.297235,0.586564,0.300684,0.607918,0.317705,0.60053,0.316367,0.568988,0.300673,0.572903,0.30419,0.604945,0.322158,0.597471,0.320779,0.560651,0.302496,0.564517,0.306053,0.632949,0.140198,0.659322,0.16872,0.682951,0.191319,0.595741,0.131826,0.57388,0.146451,0.551191,0.155832,0.615676,0.208564,0.610345,0.258437,0.609604,0.301821,0.604399,0.313548,0.596173,0.202877,0.588073,0.249856,0.585524,0.291768,0.571333,0.299167,
