Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.366061,0.354691,0.355566,0.350714,0.338012,0.34168,0.34051,0.291582,0.336466,0.235472,0.376129,0.324817,0.365083,0.325052,0.346024,0.323163,0.349085,0.276522,0.342588,0.224933,0.29771,0.245019,0.298456,0.229571,0.306754,0.194615,0.323595,0.156653,0.332003,0.146041,0.362978,0.170203,0.358263,0.165166,0.345076,0.157856,0.33901,0.142789,0.335113,0.142604,0.329263,0.0930026,0.331707,0.123836,0.329331,0.13796,0.322855,0.149512,0.324812,0.173031,0.328277,0.188332,0.331719,0.20077,0.329843,0.216782,0.336375,0.225694,0.354665,0.117796,0.350123,0.111566,0.348083,0.113596,0.337489,0.111826,0.331033,0.117674,0.346065,0.328236,0.347062,0.333006,0.335917,0.352166,0.340731,0.348134,0.364646,0.326036,0.365842,0.330724,0.353334,0.356604,0.357937,0.352481,0.375617,0.324434,0.376928,0.329072,0.363906,0.359054,0.368381,0.354877,0.33901,0.142789,0.345076,0.157856,0.358263,0.165166,0.323595,0.156653,0.306754,0.194615,0.298456,0.229571,0.342588,0.224933,0.349085,0.276522,0.346024,0.323163,0.365083,0.325052,0.336466,0.235472,0.34051,0.291582,0.338012,0.34168,0.355566,0.350714,
8.333,0.366038,0.354686,0.35554,0.350711,0.337966,0.341695,0.340609,0.291579,0.336346,0.235466,0.376125,0.324792,0.365078,0.325028,0.346016,0.323126,0.349114,0.276534,0.342473,0.224927,0.297912,0.245113,0.298382,0.229503,0.306766,0.19466,0.323552,0.156694,0.332095,0.146109,0.363011,0.170419,0.358236,0.165024,0.345081,0.157939,0.338952,0.142837,0.335207,0.142668,0.32921,0.0930145,0.331777,0.123859,0.329433,0.137994,0.322911,0.149515,0.324738,0.173023,0.328155,0.188328,0.331576,0.200768,0.329712,0.216782,0.336253,0.225689,0.354696,0.117719,0.350138,0.111511,0.348096,0.113535,0.337521,0.111838,0.331063,0.117674,0.346067,0.328285,0.347069,0.332992,0.335924,0.352168,0.340742,0.348068,0.364645,0.326067,0.365848,0.330693,0.35333,0.356613,0.357938,0.352421,0.375613,0.324454,0.376932,0.329029,0.363893,0.359071,0.368375,0.354824,0.338952,0.142837,0.345081,0.157939,0.358236,0.165024,0.323552,0.156694,0.306766,0.19466,0.298382,0.229503,0.342473,0.224927,0.349114,0.276534,0.346016,0.323126,0.365078,0.325028,0.336346,0.235466,0.340609,0.291579,0.337966,0.341695,0.35554,0.350711,
16.666,0.366019,0.354681,0.355516,0.35071,0.337917,0.341715,0.340698,0.291575,0.336283,0.235456,0.37611,0.324789,0.365063,0.32502,0.346,0.323098,0.349183,0.276556,0.342437,0.224916,0.298107,0.245187,0.298335,0.229464,0.306782,0.194724,0.323508,0.156719,0.332121,0.146146,0.363019,0.170619,0.358198,0.164876,0.345075,0.157985,0.338949,0.142866,0.335294,0.142703,0.329203,0.093016,0.331823,0.123872,0.329497,0.138012,0.322964,0.149511,0.324736,0.173011,0.32813,0.188317,0.331536,0.200759,0.329668,0.216768,0.336205,0.225678,0.354725,0.117681,0.350159,0.111488,0.348116,0.113499,0.337552,0.111857,0.33109,0.117658,0.346052,0.328305,0.347054,0.332977,0.335924,0.352178,0.340741,0.348017,0.36463,0.32609,0.365834,0.33068,0.353326,0.356624,0.357934,0.352372,0.375599,0.324477,0.376919,0.329017,0.363886,0.359085,0.368368,0.354778,0.338949,0.142866,0.345075,0.157985,0.358198,0.164876,0.323508,0.156719,0.306782,0.194724,0.298335,0.229464,0.342437,0.224916,0.349183,0.276556,0.346,0.323098,0.365063,0.32502,0.336283,0.235456,0.340698,0.291575,0.337917,0.341715,0.355516,0.35071,
25,0.366006,0.354686,0.355504,0.350708,0.337906,0.341704,0.340762,0.29157,0.336226,0.235455,0.376101,0.324772,0.365053,0.325014,0.345992,0.323081,0.349291,0.276539,0.342231,0.224932,0.298299,0.245243,0.298298,0.229425,0.30682,0.194776,0.323491,0.156724,0.33216,0.146181,0.363025,0.170761,0.358168,0.16475,0.34508,0.15806,0.338946,0.142915,0.335365,0.142747,0.329175,0.0930196,0.331866,0.123883,0.32956,0.138029,0.323,0.149507,0.324687,0.173004,0.328041,0.188317,0.331425,0.200763,0.329534,0.216781,0.336072,0.225688,0.354747,0.117631,0.35017,0.111452,0.348128,0.113459,0.337572,0.111863,0.331112,0.117653,0.34604,0.328324,0.347047,0.332969,0.335911,0.352164,0.340728,0.347998,0.364617,0.326108,0.365827,0.330672,0.353313,0.356623,0.357922,0.352365,0.37559,0.324478,0.376917,0.328992,0.363872,0.359091,0.368355,0.354778,0.338946,0.142915,0.34508,0.15806,0.358168,0.16475,0.323491,0.156724,0.30682,0.194776,0.298298,0.229425,0.342231,0.224932,0.349291,0.276539,0.345992,0.323081,0.365053,0.325014,0.336226,0.235455,0.340762,0.29157,0.337906,0.341704,0.355504,0.350708,
33.333,0.365992,0.35468,0.355487,0.350706,0.337884,0.341703,0.340842,0.291589,0.336094,0.235453,0.376087,0.324762,0.365039,0.325018,0.345982,0.323074,0.349381,0.276527,0.342127,0.224932,0.29846,0.245309,0.298292,0.229411,0.30687,0.194831,0.323469,0.156749,0.332196,0.146219,0.363009,0.170884,0.358143,0.16464,0.345074,0.158111,0.338965,0.142941,0.335431,0.142782,0.329136,0.0930192,0.3319,0.123892,0.329616,0.138046,0.323038,0.149504,0.324656,0.172993,0.327977,0.188308,0.33134,0.200757,0.329431,0.21677,0.335959,0.225683,0.354759,0.117577,0.350171,0.111413,0.348129,0.113412,0.337582,0.111871,0.331124,0.117639,0.346019,0.328318,0.34703,0.332963,0.335896,0.352161,0.340711,0.347983,0.364597,0.326112,0.365809,0.330676,0.3533,0.356622,0.357907,0.352353,0.375579,0.324467,0.376908,0.328981,0.363862,0.359089,0.368343,0.354765,0.338965,0.142941,0.345074,0.158111,0.358143,0.16464,0.323469,0.156749,0.30687,0.194831,0.298292,0.229411,0.342127,0.224932,0.349381,0.276527,0.345982,0.323074,0.365039,0.325018,0.336094,0.235453,0.340842,0.291589,0.337884,0.341703,0.355487,0.350706,
41.666,0.365984,0.35468,0.355477,0.350705,0.337873,0.3417,0.340874,0.291581,0.336074,0.23545,0.376074,0.324761,0.365025,0.325019,0.345971,0.323069,0.349391,0.276524,0.342108,0.224927,0.298635,0.245355,0.298286,0.229402,0.306928,0.194881,0.323447,0.156747,0.332187,0.146224,0.362992,0.170958,0.358123,0.164557,0.345093,0.158182,0.338904,0.142949,0.33545,0.14279,0.329126,0.0930142,0.331903,0.123891,0.329624,0.138046,0.323045,0.149499,0.32465,0.172987,0.327965,0.188303,0.331323,0.200753,0.329413,0.216766,0.33594,0.225679,0.354758,0.117563,0.350168,0.111403,0.348125,0.113398,0.337583,0.111873,0.33112,0.117629,0.346003,0.328314,0.347015,0.332959,0.33588,0.352159,0.340694,0.347985,0.364581,0.326114,0.365795,0.330677,0.353288,0.356621,0.357893,0.352356,0.375565,0.324467,0.376895,0.32898,0.363853,0.359087,0.368332,0.354767,0.338904,0.142949,0.345093,0.158182,0.358123,0.164557,0.323447,0.156747,0.306928,0.194881,0.298286,0.229402,0.342108,0.224927,0.349391,0.276524,0.345971,0.323069,0.365025,0.325019,0.336074,0.23545,0.340874,0.291581,0.337873,0.3417,0.355477,0.350705,
50,0.365973,0.354678,0.355466,0.350703,0.337861,0.341695,0.340874,0.291581,0.336076,0.235446,0.376059,0.324761,0.365011,0.325017,0.345959,0.323059,0.349415,0.276514,0.342082,0.224921,0.298797,0.24541,0.298296,0.229399,0.306985,0.194935,0.323428,0.156761,0.332186,0.146241,0.362963,0.171028,0.358118,0.164485,0.345084,0.15824,0.338894,0.142959,0.335454,0.142805,0.32912,0.0930198,0.331908,0.1239,0.329629,0.138057,0.323039,0.149501,0.324617,0.172987,0.327925,0.188303,0.331284,0.200753,0.329386,0.216769,0.335923,0.225677,0.354759,0.117561,0.350169,0.111405,0.348125,0.113396,0.337585,0.111884,0.331121,0.117631,0.345985,0.3283,0.346996,0.332949,0.335867,0.352154,0.340679,0.34798,0.364564,0.326108,0.365777,0.330676,0.353276,0.356618,0.35788,0.352353,0.375549,0.324464,0.376879,0.328982,0.363842,0.359086,0.36832,0.354766,0.338894,0.142959,0.345084,0.15824,0.358118,0.164485,0.323428,0.156761,0.306985,0.194935,0.298296,0.229399,0.342082,0.224921,0.349415,0.276514,0.345959,0.323059,0.365011,0.325017,0.336076,0.235446,0.340874,0.291581,0.337861,0.341695,0.355466,0.350703,
58.333,0.365971,0.354682,0.355463,0.350704,0.33786,0.341691,0.340919,0.291583,0.33607,0.235448,0.376054,0.324764,0.365006,0.32502,0.345956,0.323055,0.349436,0.276517,0.342069,0.224923,0.298957,0.245453,0.298316,0.229403,0.307053,0.194991,0.323418,0.156769,0.332201,0.146254,0.362941,0.171087,0.358114,0.164437,0.345083,0.158279,0.338873,0.142969,0.335479,0.142818,0.329089,0.0930168,0.331915,0.123902,0.329649,0.138063,0.323055,0.149503,0.324615,0.172987,0.327916,0.188305,0.331272,0.200755,0.329374,0.216772,0.335913,0.225679,0.354755,0.117532,0.350159,0.111383,0.348114,0.113371,0.337582,0.111883,0.331114,0.117623,0.345977,0.328293,0.346988,0.332945,0.335857,0.352151,0.340668,0.347984,0.364558,0.326109,0.36577,0.33068,0.353271,0.356618,0.357873,0.35236,0.375545,0.324465,0.376874,0.328985,0.363839,0.359087,0.368315,0.354774,0.338873,0.142969,0.345083,0.158279,0.358114,0.164437,0.323418,0.156769,0.307053,0.194991,0.298316,0.229403,0.342069,0.224923,0.349436,0.276517,0.345956,0.323055,0.365006,0.32502,0.33607,0.235448,0.340919,0.291583,0.33786,0.341691,0.355463,0.350704,
66.666,0.365958,0.354684,0.35545,0.350705,0.337845,0.341691,0.340962,0.291588,0.336038,0.235451,0.376046,0.324768,0.364997,0.325021,0.345949,0.323051,0.349455,0.276515,0.342049,0.22492,0.299084,0.245501,0.298357,0.229416,0.307107,0.195046,0.323437,0.156791,0.332226,0.146277,0.362934,0.171141,0.358095,0.164393,0.345091,0.158338,0.33886,0.14298,0.335506,0.142838,0.329053,0.0930184,0.331927,0.123909,0.329676,0.138076,0.323073,0.149508,0.3246,0.172989,0.32789,0.188306,0.33124,0.200757,0.329346,0.216773,0.335886,0.225679,0.354752,0.117501,0.350151,0.11136,0.348102,0.113346,0.337584,0.111886,0.331105,0.11762,0.345966,0.328284,0.346976,0.33294,0.335844,0.35215,0.340655,0.34798,0.364547,0.326107,0.365759,0.330682,0.353258,0.356619,0.35786,0.352358,0.375536,0.324466,0.376864,0.328991,0.363826,0.35909,0.368302,0.354773,0.33886,0.14298,0.345091,0.158338,0.358095,0.164393,0.323437,0.156791,0.307107,0.195046,0.298357,0.229416,0.342049,0.22492,0.349455,0.276515,0.345949,0.323051,0.364997,0.325021,0.336038,0.235451,0.340962,0.291588,0.337845,0.341691,0.35545,0.350705,
75,0.365951,0.354686,0.355443,0.350705,0.33784,0.341687,0.34098,0.291585,0.336033,0.235449,0.376038,0.324771,0.36499,0.325022,0.345942,0.323049,0.34947,0.276514,0.342032,0.224922,0.299224,0.245544,0.298388,0.229436,0.307184,0.195105,0.323419,0.156796,0.332224,0.146287,0.362921,0.171187,0.358079,0.164367,0.345113,0.158397,0.33885,0.142988,0.33553,0.142848,0.329031,0.093017,0.331929,0.123911,0.329688,0.13808,0.323085,0.149507,0.3246,0.172986,0.327884,0.188305,0.331232,0.200756,0.329335,0.216773,0.335875,0.22568,0.354745,0.117486,0.350144,0.111348,0.348089,0.113333,0.337586,0.111886,0.331092,0.117618,0.345957,0.328278,0.346966,0.332937,0.335833,0.352147,0.340643,0.347982,0.364539,0.326106,0.365749,0.330684,0.353248,0.356619,0.35785,0.352362,0.375528,0.324466,0.376856,0.328994,0.363818,0.359091,0.368293,0.354779,0.33885,0.142988,0.345113,0.158397,0.358079,0.164367,0.323419,0.156796,0.307184,0.195105,0.298388,0.229436,0.342032,0.224922,0.34947,0.276514,0.345942,0.323049,0.36499,0.325022,0.336033,0.235449,0.34098,0.291585,0.33784,0.341687,0.355443,0.350705,
