Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.678512,0.312596,0.69242,0.312731,0.716501,0.310151,0.718014,0.25303,0.728791,0.189543,0.695646,0.349184,0.708117,0.344087,0.729098,0.332646,0.72885,0.271813,0.740239,0.202543,0.710082,0.122547,0.716095,0.1155,0.731487,0.104519,0.740263,0.0860099,0.745329,0.0856567,0.786108,0.213477,0.786313,0.194709,0.780083,0.152568,0.76185,0.103566,0.751777,0.0900052,0.757624,0.0223889,0.752358,0.0617664,0.754166,0.0797625,0.761028,0.0943649,0.75675,0.124035,0.751344,0.143324,0.746202,0.158997,0.74723,0.179098,0.738632,0.190352,0.724771,0.0538515,0.734111,0.0483929,0.729836,0.0460442,0.756436,0.0535165,0.743537,0.0467491,0.731504,0.345486,0.724836,0.340611,0.715472,0.316391,0.714955,0.322291,0.711014,0.351291,0.70456,0.346295,0.692337,0.313932,0.691564,0.319748,0.698565,0.354518,0.69224,0.349449,0.678643,0.312109,0.67772,0.317872,0.76185,0.103566,0.780083,0.152568,0.786313,0.194709,0.740263,0.0860099,0.731487,0.104519,0.716095,0.1155,0.740239,0.202543,0.72885,0.271813,0.729098,0.332646,0.708117,0.344087,0.728791,0.189543,0.718014,0.25303,0.716501,0.310151,0.69242,0.312731,
8.333,0.678532,0.312572,0.69244,0.312705,0.716523,0.310103,0.71791,0.253046,0.72893,0.189534,0.695664,0.349181,0.708137,0.344087,0.729145,0.332669,0.728794,0.271795,0.740385,0.202534,0.710021,0.12278,0.716107,0.11537,0.731469,0.104561,0.740315,0.0860646,0.745206,0.0857332,0.785814,0.213598,0.786458,0.194562,0.780034,0.152663,0.761908,0.10362,0.751647,0.0900794,0.757691,0.0224067,0.752265,0.0617908,0.75403,0.0797982,0.760954,0.0943639,0.756837,0.124023,0.751491,0.143317,0.746376,0.158993,0.747389,0.179097,0.73878,0.190345,0.724733,0.0537485,0.734095,0.0483185,0.729821,0.045965,0.756391,0.0535295,0.743499,0.0467455,0.731472,0.345496,0.724803,0.340538,0.715488,0.316449,0.714972,0.322271,0.711002,0.351307,0.704544,0.346228,0.692354,0.313975,0.69158,0.319713,0.698566,0.354541,0.692237,0.349388,0.678661,0.312141,0.677736,0.317827,0.761908,0.10362,0.780034,0.152663,0.786458,0.194562,0.740315,0.0860646,0.731469,0.104561,0.716107,0.11537,0.740385,0.202534,0.728794,0.271795,0.729145,0.332669,0.708137,0.344087,0.72893,0.189534,0.71791,0.253046,0.716523,0.310103,0.69244,0.312705,
16.666,0.678551,0.312561,0.69246,0.312686,0.716546,0.310056,0.717822,0.25307,0.729024,0.18955,0.695688,0.349186,0.708164,0.344089,0.729187,0.332677,0.728678,0.271778,0.740451,0.202548,0.709939,0.122959,0.716104,0.115278,0.731452,0.10463,0.74035,0.0860836,0.745152,0.0857611,0.785541,0.213661,0.7866,0.19438,0.779998,0.152693,0.761882,0.103636,0.751514,0.0901058,0.757715,0.0224177,0.752197,0.0617982,0.75394,0.0798117,0.760907,0.0943737,0.756864,0.124032,0.751545,0.143327,0.746445,0.159005,0.747469,0.179112,0.73886,0.19036,0.724695,0.0536949,0.734068,0.0482868,0.729798,0.0459179,0.756346,0.0535524,0.743465,0.0467236,0.731476,0.345493,0.724809,0.340489,0.715503,0.316494,0.714994,0.322248,0.711011,0.351318,0.704555,0.346191,0.692369,0.314016,0.6916,0.319686,0.69858,0.354561,0.692251,0.349361,0.678676,0.312179,0.677756,0.317797,0.761882,0.103636,0.779998,0.152693,0.7866,0.19438,0.74035,0.0860836,0.731452,0.10463,0.716104,0.115278,0.740451,0.202548,0.728678,0.271778,0.729187,0.332677,0.708164,0.344089,0.729024,0.18955,0.717822,0.25307,0.716546,0.310056,0.69246,0.312686,
25,0.678564,0.312564,0.692473,0.312681,0.716555,0.310036,0.717749,0.253065,0.729072,0.189522,0.69571,0.349184,0.708184,0.344098,0.729209,0.332676,0.728576,0.271821,0.740692,0.202539,0.709861,0.123124,0.716103,0.1152,0.731418,0.104691,0.740357,0.086078,0.745088,0.0857908,0.785336,0.213692,0.786726,0.194235,0.77994,0.152766,0.761859,0.103683,0.751407,0.0901483,0.757748,0.0224218,0.752134,0.0618049,0.753854,0.079826,0.760863,0.0943675,0.756915,0.124013,0.751633,0.143306,0.746558,0.158984,0.747585,0.179071,0.738994,0.190334,0.724667,0.0536278,0.734054,0.0482371,0.729782,0.0458643,0.756314,0.0535547,0.743433,0.0467129,0.731475,0.345484,0.724804,0.340448,0.715521,0.316483,0.715012,0.322231,0.711023,0.351331,0.704562,0.346171,0.692385,0.314016,0.691616,0.319681,0.698594,0.35457,0.69226,0.349337,0.678691,0.312187,0.677771,0.317799,0.761859,0.103683,0.77994,0.152766,0.786726,0.194235,0.740357,0.086078,0.731418,0.104691,0.716103,0.1152,0.740692,0.202539,0.728576,0.271821,0.729209,0.332676,0.708184,0.344098,0.729072,0.189522,0.717749,0.253065,0.716555,0.310036,0.692473,0.312681,
33.333,0.678581,0.31256,0.69249,0.312676,0.716572,0.310016,0.717638,0.253056,0.729228,0.18952,0.695731,0.349175,0.708202,0.344101,0.729219,0.332659,0.728483,0.271846,0.740826,0.20254,0.709793,0.123277,0.716073,0.115147,0.731361,0.104745,0.740371,0.0860987,0.745026,0.0858237,0.785181,0.213702,0.786824,0.194095,0.779906,0.152806,0.761813,0.103702,0.751305,0.0901798,0.757801,0.0224252,0.752081,0.0618086,0.753772,0.0798374,0.760821,0.0943661,0.756962,0.124008,0.751719,0.143302,0.746668,0.158983,0.747719,0.179065,0.739135,0.190332,0.724652,0.0535544,0.734053,0.0481848,0.729782,0.0458032,0.756294,0.0535613,0.743415,0.0466925,0.731497,0.345463,0.724822,0.340428,0.715539,0.316481,0.715034,0.322217,0.711048,0.351333,0.704583,0.346175,0.692402,0.314022,0.691637,0.319675,0.698613,0.354561,0.692275,0.34933,0.678706,0.312191,0.677789,0.317792,0.761813,0.103702,0.779906,0.152806,0.786824,0.194095,0.740371,0.0860987,0.731361,0.104745,0.716073,0.115147,0.740826,0.20254,0.728483,0.271846,0.729219,0.332659,0.708202,0.344101,0.729228,0.18952,0.717638,0.253056,0.716572,0.310016,0.69249,0.312676,
41.666,0.678591,0.312562,0.692501,0.312673,0.716582,0.310006,0.717611,0.253066,0.729249,0.189515,0.695749,0.349175,0.708219,0.344101,0.729231,0.332647,0.728468,0.271838,0.740849,0.202532,0.709704,0.1234,0.716056,0.115111,0.731305,0.1048,0.740381,0.0860845,0.745022,0.0858164,0.785083,0.213687,0.786892,0.193983,0.779819,0.152862,0.761872,0.103695,0.751265,0.0901758,0.757812,0.0224179,0.752067,0.0617995,0.753753,0.0798301,0.760813,0.0943598,0.75697,0.124,0.751731,0.143294,0.746684,0.158974,0.747739,0.179056,0.739157,0.190324,0.724645,0.0535296,0.734049,0.0481665,0.72978,0.0457797,0.756285,0.0535583,0.743412,0.0466743,0.731514,0.345449,0.724838,0.340414,0.71555,0.316464,0.715049,0.322205,0.711067,0.351332,0.704601,0.346174,0.692412,0.314014,0.69165,0.319672,0.698632,0.354561,0.692292,0.34933,0.678715,0.312189,0.677802,0.317795,0.761872,0.103695,0.779819,0.152862,0.786892,0.193983,0.740381,0.0860845,0.731305,0.1048,0.716056,0.115111,0.740849,0.202532,0.728468,0.271838,0.729231,0.332647,0.708219,0.344101,0.729249,0.189515,0.717611,0.253066,0.716582,0.310006,0.692501,0.312673,
50,0.678604,0.312561,0.692514,0.312669,0.716594,0.309996,0.717605,0.253052,0.729246,0.189507,0.695768,0.349174,0.708237,0.344097,0.729246,0.332631,0.728444,0.271835,0.740882,0.202521,0.709626,0.123531,0.71602,0.115076,0.731243,0.104853,0.740389,0.0860893,0.745006,0.0858243,0.785013,0.213671,0.786925,0.193876,0.779782,0.152905,0.761868,0.103694,0.751243,0.0901819,0.757812,0.0224215,0.752047,0.0618006,0.75373,0.0798304,0.760807,0.0943513,0.756999,0.123989,0.75177,0.143284,0.746725,0.158965,0.747762,0.17905,0.739174,0.190316,0.724633,0.0535186,0.734039,0.048161,0.729771,0.0457699,0.75627,0.0535649,0.7434,0.0466684,0.73154,0.345433,0.724864,0.340404,0.715564,0.316454,0.715064,0.322196,0.711091,0.351326,0.704624,0.346174,0.692425,0.31401,0.691665,0.319669,0.698653,0.354558,0.692313,0.349333,0.678728,0.312188,0.677816,0.317795,0.761868,0.103694,0.779782,0.152905,0.786925,0.193876,0.740389,0.0860893,0.731243,0.104853,0.71602,0.115076,0.740882,0.202521,0.728444,0.271835,0.729246,0.332631,0.708237,0.344097,0.729246,0.189507,0.717605,0.253052,0.716594,0.309996,0.692514,0.312669,
58.333,0.678605,0.312562,0.692514,0.312665,0.716593,0.309985,0.717549,0.25305,0.729245,0.189497,0.695771,0.34917,0.708241,0.344094,0.729248,0.33262,0.72841,0.271825,0.740889,0.20251,0.709536,0.123634,0.715982,0.115056,0.731174,0.104915,0.740385,0.086086,0.744969,0.0858253,0.784948,0.213658,0.786939,0.193798,0.779741,0.152926,0.761873,0.103688,0.751194,0.0901825,0.757837,0.022411,0.752022,0.0617905,0.753689,0.0798247,0.760774,0.0943432,0.75699,0.123979,0.75177,0.143274,0.746729,0.158956,0.747765,0.17904,0.739177,0.190306,0.724625,0.0534693,0.734037,0.0481212,0.729771,0.0457278,0.756258,0.0535528,0.743394,0.0466491,0.731549,0.345422,0.724873,0.340396,0.715567,0.316431,0.715069,0.322182,0.711097,0.351321,0.704631,0.346172,0.692427,0.313999,0.691669,0.319666,0.698657,0.354554,0.692317,0.349331,0.678728,0.312183,0.677819,0.317799,0.761873,0.103688,0.779741,0.152926,0.786939,0.193798,0.740385,0.086086,0.731174,0.104915,0.715982,0.115056,0.740889,0.20251,0.72841,0.271825,0.729248,0.33262,0.708241,0.344094,0.729245,0.189497,0.717549,0.25305,0.716593,0.309985,0.692514,0.312665,
66.666,0.678616,0.312556,0.692526,0.312656,0.716604,0.309972,0.717497,0.253051,0.729276,0.189494,0.695779,0.349168,0.708249,0.344088,0.729252,0.332605,0.728383,0.271817,0.74091,0.2025,0.709463,0.123727,0.715925,0.115045,0.731117,0.10497,0.740344,0.0860949,0.744919,0.0858377,0.784859,0.213636,0.786978,0.193723,0.779673,0.152967,0.761869,0.103685,0.751139,0.0901915,0.757866,0.022405,0.751988,0.0617852,0.753635,0.079824,0.760735,0.0943348,0.756996,0.123968,0.751792,0.143264,0.746759,0.158947,0.747795,0.179034,0.739204,0.190299,0.724611,0.0534128,0.73403,0.048077,0.729768,0.0456812,0.756236,0.0535442,0.743386,0.0466324,0.731563,0.345407,0.724887,0.340387,0.715579,0.316424,0.715082,0.322171,0.711109,0.351314,0.704644,0.346171,0.692439,0.313993,0.691681,0.319657,0.698667,0.354549,0.692328,0.349332,0.67874,0.312179,0.677831,0.317791,0.761869,0.103685,0.779673,0.152967,0.786978,0.193723,0.740344,0.0860949,0.731117,0.10497,0.715925,0.115045,0.74091,0.2025,0.728383,0.271817,0.729252,0.332605,0.708249,0.344088,0.729276,0.189494,0.717497,0.253051,0.716604,0.309972,0.692526,0.312656,
75,0.678622,0.312552,0.692531,0.31265,0.716608,0.309962,0.717475,0.253045,0.729276,0.189483,0.695787,0.349164,0.708257,0.344084,0.729259,0.332597,0.728362,0.271815,0.740925,0.202493,0.70937,0.123805,0.715877,0.115042,0.731035,0.105029,0.740346,0.0860844,0.744901,0.0858312,0.784795,0.213617,0.786997,0.193667,0.779583,0.153005,0.761857,0.103674,0.751088,0.0901855,0.757872,0.0223918,0.751963,0.0617721,0.753603,0.0798151,0.760715,0.0943276,0.756992,0.12396,0.751793,0.143256,0.746763,0.158939,0.7478,0.179024,0.739211,0.19029,0.724594,0.0533725,0.734014,0.0480428,0.729759,0.0456468,0.756211,0.053528,0.74338,0.0466146,0.731575,0.345398,0.724899,0.340382,0.715586,0.316407,0.715089,0.322159,0.711119,0.351309,0.704654,0.346169,0.692445,0.313982,0.691688,0.319652,0.698675,0.354544,0.692336,0.349331,0.678746,0.312171,0.677838,0.317789,0.761857,0.103674,0.779583,0.153005,0.786997,0.193667,0.740346,0.0860844,0.731035,0.105029,0.715877,0.115042,0.740925,0.202493,0.728362,0.271815,0.729259,0.332597,0.708257,0.344084,0.729276,0.189483,0.717475,0.253045,0.716608,0.309962,0.692531,0.31265,
