Timestamps [ms],RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
0,0.586365,0.434167,0.583349,0.442565,0.577935,0.454555,0.575499,0.387354,0.571436,0.317746,0.517456,0.4362,0.52257,0.444305,0.53173,0.455763,0.531126,0.3878,0.533116,0.319263,0.705375,0.280768,0.692658,0.269535,0.645466,0.245504,0.59187,0.207725,0.562062,0.199657,0.402104,0.28128,0.414937,0.271041,0.461047,0.249565,0.512394,0.209753,0.541849,0.200613,0.552416,0.12642,0.552095,0.171112,0.552474,0.193118,0.553604,0.213745,0.553655,0.247242,0.553352,0.267257,0.553019,0.282796,0.553398,0.307163,0.55264,0.314816,0.54919,0.152069,0.542845,0.147235,0.556882,0.146742,0.531243,0.157143,0.572241,0.1557,0.525774,0.467244,0.536379,0.464737,0.584253,0.465644,0.57302,0.463843,0.517195,0.449954,0.527446,0.447652,0.589057,0.447854,0.57822,0.446242,0.512259,0.439834,0.522311,0.437645,0.591858,0.437452,0.581242,0.435945,0.512394,0.209753,0.461047,0.249565,0.414937,0.271041,0.59187,0.207725,0.645466,0.245504,0.692658,0.269535,0.533116,0.319263,0.531126,0.3878,0.53173,0.455763,0.52257,0.444305,0.571436,0.317746,0.575499,0.387354,0.577935,0.454555,0.583349,0.442565,
8.333,0.586385,0.434169,0.583375,0.442568,0.578008,0.454569,0.575462,0.387277,0.571455,0.317828,0.517429,0.43619,0.522541,0.444298,0.531661,0.455773,0.531162,0.387765,0.533125,0.319346,0.705039,0.280931,0.692809,0.269419,0.645469,0.245552,0.591864,0.207812,0.562065,0.199699,0.402478,0.28146,0.414783,0.270888,0.46111,0.249669,0.512426,0.20985,0.541857,0.200649,0.552417,0.12646,0.552098,0.171109,0.552479,0.193107,0.553607,0.213712,0.55367,0.247277,0.553369,0.267332,0.553038,0.282894,0.553415,0.307263,0.552655,0.314904,0.549196,0.151944,0.54285,0.147147,0.556888,0.146649,0.531248,0.157144,0.572243,0.155683,0.525827,0.467271,0.536432,0.46467,0.584197,0.465684,0.572961,0.46379,0.51722,0.44998,0.52747,0.447586,0.589026,0.447895,0.578187,0.446192,0.512263,0.439862,0.522315,0.437582,0.591847,0.437495,0.581228,0.435898,0.512426,0.20985,0.46111,0.249669,0.414783,0.270888,0.591864,0.207812,0.645469,0.245552,0.692809,0.269419,0.533125,0.319346,0.531162,0.387765,0.531661,0.455773,0.522541,0.444298,0.571455,0.317828,0.575462,0.387277,0.578008,0.454569,0.583375,0.442568,
16.666,0.586393,0.434176,0.583396,0.442577,0.578087,0.454589,0.575416,0.387216,0.571425,0.317886,0.517421,0.436207,0.522528,0.444312,0.531618,0.455783,0.531211,0.387697,0.533087,0.319381,0.704766,0.281033,0.692929,0.269335,0.645459,0.245632,0.591897,0.20786,0.562102,0.199722,0.402884,0.281616,0.414663,0.27072,0.461182,0.249718,0.512476,0.209876,0.541889,0.200636,0.552387,0.126473,0.552114,0.171098,0.552493,0.193092,0.553568,0.213689,0.553623,0.247282,0.55333,0.267356,0.553004,0.28293,0.55337,0.307305,0.552617,0.314949,0.549204,0.151875,0.542851,0.147104,0.556888,0.146588,0.531252,0.157157,0.572245,0.155647,0.525856,0.467295,0.536461,0.464644,0.584162,0.465725,0.572924,0.463754,0.517238,0.450014,0.527488,0.44757,0.588999,0.447934,0.578157,0.446157,0.512273,0.4399,0.522325,0.437572,0.591827,0.437535,0.581206,0.435864,0.512476,0.209876,0.461182,0.249718,0.414663,0.27072,0.591897,0.20786,0.645459,0.245632,0.692929,0.269335,0.533087,0.319381,0.531211,0.387697,0.531618,0.455783,0.522528,0.444312,0.571425,0.317886,0.575416,0.387216,0.578087,0.454589,0.583396,0.442577,
25,0.586397,0.434192,0.5834,0.442584,0.578095,0.454579,0.575406,0.387153,0.571472,0.317906,0.517402,0.436207,0.522514,0.444325,0.531597,0.455784,0.531132,0.38762,0.533143,0.319545,0.704493,0.281116,0.69302,0.269261,0.645432,0.245686,0.591927,0.207866,0.562128,0.19974,0.403191,0.281719,0.414549,0.270581,0.46126,0.249804,0.512521,0.209935,0.541914,0.20065,0.552394,0.126489,0.552127,0.171087,0.5525,0.193077,0.553563,0.213661,0.553648,0.247295,0.553378,0.267398,0.553059,0.282994,0.553475,0.307379,0.552688,0.315035,0.549211,0.151793,0.542857,0.147045,0.556895,0.146524,0.531263,0.157152,0.572254,0.155626,0.525888,0.467311,0.536492,0.464618,0.584159,0.465724,0.57292,0.463747,0.517249,0.450045,0.527497,0.447561,0.588998,0.447947,0.578156,0.446163,0.512267,0.439915,0.522316,0.437547,0.591828,0.437555,0.581207,0.435878,0.512521,0.209935,0.46126,0.249804,0.414549,0.270581,0.591927,0.207866,0.645432,0.245686,0.69302,0.269261,0.533143,0.319545,0.531132,0.38762,0.531597,0.455784,0.522514,0.444325,0.571472,0.317906,0.575406,0.387153,0.578095,0.454579,0.5834,0.442584,
33.333,0.586396,0.434199,0.583405,0.442595,0.578117,0.454586,0.575432,0.387082,0.57149,0.318005,0.517398,0.436209,0.522515,0.444344,0.531605,0.455779,0.531081,0.387548,0.533148,0.31963,0.704268,0.281207,0.693099,0.269201,0.645424,0.245726,0.59195,0.207905,0.562155,0.199763,0.403475,0.281817,0.414465,0.270449,0.461328,0.249862,0.512556,0.209951,0.54194,0.200654,0.552388,0.126507,0.552143,0.171077,0.552516,0.193063,0.553552,0.213637,0.553636,0.247306,0.553371,0.267436,0.553059,0.283052,0.553473,0.30745,0.552695,0.315121,0.549219,0.151708,0.542862,0.146988,0.5569,0.146455,0.531274,0.157156,0.572263,0.155598,0.525901,0.467316,0.536503,0.464621,0.584159,0.465737,0.572919,0.463747,0.517252,0.450069,0.527499,0.447583,0.588995,0.447964,0.578151,0.446168,0.512261,0.439916,0.52231,0.437546,0.591823,0.437568,0.581201,0.435879,0.512556,0.209951,0.461328,0.249862,0.414465,0.270449,0.59195,0.207905,0.645424,0.245726,0.693099,0.269201,0.533148,0.31963,0.531081,0.387548,0.531605,0.455779,0.522515,0.444344,0.57149,0.318005,0.575432,0.387082,0.578117,0.454586,0.583405,0.442595,
41.666,0.586396,0.434208,0.583409,0.442602,0.578126,0.454588,0.575404,0.387058,0.571496,0.318015,0.517397,0.436223,0.522517,0.444359,0.531611,0.45578,0.531085,0.387531,0.533152,0.319638,0.704058,0.281251,0.693151,0.269162,0.645398,0.245763,0.591983,0.207902,0.562186,0.199763,0.403674,0.28187,0.414413,0.270348,0.461424,0.249924,0.512599,0.209984,0.541968,0.200642,0.552392,0.126502,0.552164,0.171067,0.552534,0.193053,0.553551,0.213626,0.553637,0.247301,0.553379,0.267436,0.553068,0.283056,0.55348,0.307455,0.552701,0.315128,0.549239,0.151684,0.542879,0.14697,0.556917,0.146432,0.53129,0.157153,0.572279,0.155579,0.525911,0.467323,0.536513,0.464625,0.584177,0.465739,0.572935,0.463757,0.517255,0.450086,0.527502,0.447598,0.589003,0.447968,0.578158,0.44618,0.51226,0.43993,0.522308,0.437558,0.591826,0.437573,0.581203,0.435892,0.512599,0.209984,0.461424,0.249924,0.414413,0.270348,0.591983,0.207902,0.645398,0.245763,0.693151,0.269162,0.533152,0.319638,0.531085,0.387531,0.531611,0.45578,0.522517,0.444359,0.571496,0.318015,0.575404,0.387058,0.578126,0.454588,0.583409,0.442602,
50,0.586396,0.434217,0.583412,0.442609,0.578132,0.454591,0.575421,0.387048,0.571499,0.318005,0.517399,0.436237,0.522519,0.44437,0.531615,0.455777,0.531073,0.387503,0.533157,0.319647,0.703854,0.281313,0.693206,0.269117,0.645385,0.245798,0.592013,0.207921,0.562217,0.199776,0.403858,0.281929,0.414383,0.270244,0.461506,0.24999,0.512631,0.209993,0.541999,0.200651,0.552406,0.126509,0.55219,0.171068,0.552564,0.193054,0.553576,0.213622,0.553661,0.247313,0.553401,0.267454,0.553087,0.283076,0.553501,0.307472,0.552711,0.315134,0.549261,0.151673,0.542899,0.146966,0.556938,0.146423,0.531312,0.157162,0.572301,0.155574,0.525908,0.467325,0.536511,0.464634,0.584183,0.465743,0.572941,0.463763,0.517254,0.450097,0.527501,0.447616,0.589005,0.447975,0.57816,0.446189,0.51226,0.439942,0.522309,0.437577,0.591826,0.437582,0.581202,0.435903,0.512631,0.209993,0.461506,0.24999,0.414383,0.270244,0.592013,0.207921,0.645385,0.245798,0.693206,0.269117,0.533157,0.319647,0.531073,0.387503,0.531615,0.455777,0.522519,0.44437,0.571499,0.318005,0.575421,0.387048,0.578132,0.454591,0.583412,0.442609,
58.333,0.586399,0.434221,0.583417,0.442609,0.578139,0.454582,0.57542,0.387005,0.571518,0.318003,0.517405,0.436241,0.522525,0.444375,0.531621,0.455772,0.531087,0.387477,0.533177,0.319651,0.703682,0.281343,0.693243,0.269083,0.645358,0.245836,0.592044,0.207926,0.56225,0.199773,0.404016,0.281977,0.414376,0.270171,0.461575,0.250025,0.512673,0.210004,0.542032,0.200643,0.552434,0.12651,0.552222,0.171057,0.552594,0.19304,0.553599,0.213606,0.553683,0.247305,0.553424,0.267452,0.553109,0.283078,0.553524,0.307474,0.552731,0.315134,0.549293,0.151624,0.542931,0.146929,0.55697,0.146383,0.531343,0.157153,0.572333,0.155557,0.525911,0.467322,0.536514,0.464635,0.584204,0.465734,0.572961,0.463766,0.517259,0.450102,0.527507,0.447624,0.589017,0.447972,0.578172,0.446197,0.512265,0.439945,0.522314,0.437583,0.591833,0.437582,0.581208,0.435913,0.512673,0.210004,0.461575,0.250025,0.414376,0.270171,0.592044,0.207926,0.645358,0.245836,0.693243,0.269083,0.533177,0.319651,0.531087,0.387477,0.531621,0.455772,0.522525,0.444375,0.571518,0.318003,0.57542,0.387005,0.578139,0.454582,0.583417,0.442609,
66.666,0.58641,0.434229,0.583429,0.442616,0.578154,0.454587,0.575419,0.38697,0.571532,0.318024,0.517413,0.43625,0.522533,0.44438,0.53163,0.455767,0.531091,0.387453,0.533188,0.319657,0.703546,0.281381,0.693271,0.269049,0.645344,0.245876,0.592076,0.20793,0.562284,0.199778,0.404177,0.282005,0.414367,0.270115,0.461665,0.250078,0.512714,0.210014,0.542067,0.200643,0.552468,0.126518,0.552258,0.171048,0.55263,0.19303,0.55363,0.21359,0.55371,0.247306,0.553448,0.267463,0.55313,0.283094,0.553537,0.307491,0.552744,0.31515,0.549338,0.151568,0.542973,0.146887,0.557013,0.14634,0.531379,0.157145,0.572371,0.155544,0.525914,0.46732,0.536517,0.46464,0.584212,0.465741,0.572968,0.463769,0.517264,0.450107,0.527512,0.447636,0.589026,0.447981,0.57818,0.446202,0.512271,0.439952,0.52232,0.437596,0.591841,0.437592,0.581217,0.435919,0.512714,0.210014,0.461665,0.250078,0.414367,0.270115,0.592076,0.20793,0.645344,0.245876,0.693271,0.269049,0.533188,0.319657,0.531091,0.387453,0.53163,0.455767,0.522533,0.44438,0.571532,0.318024,0.575419,0.38697,0.578154,0.454587,0.583429,0.442616,
75,0.586417,0.434233,0.583436,0.442618,0.57816,0.454582,0.57542,0.386949,0.571546,0.318019,0.517419,0.436257,0.522538,0.444386,0.531636,0.455767,0.531092,0.387436,0.533203,0.319666,0.703424,0.281395,0.693299,0.26903,0.645324,0.245907,0.592117,0.207931,0.562325,0.199777,0.404312,0.282034,0.41438,0.270079,0.461762,0.250119,0.51276,0.210014,0.542106,0.200628,0.552512,0.126514,0.552299,0.171036,0.552662,0.193017,0.55364,0.213576,0.553717,0.247298,0.553459,0.267459,0.553144,0.283093,0.553554,0.307491,0.55276,0.315151,0.549394,0.151532,0.543026,0.146857,0.557067,0.146311,0.531423,0.15713,0.572416,0.155532,0.525915,0.467322,0.53652,0.464645,0.584228,0.465737,0.572983,0.463773,0.517267,0.450112,0.527515,0.447644,0.589038,0.447981,0.578191,0.446209,0.512275,0.439957,0.522325,0.437605,0.591851,0.437594,0.581226,0.435928,0.51276,0.210014,0.461762,0.250119,0.41438,0.270079,0.592117,0.207931,0.645324,0.245907,0.693299,0.26903,0.533203,0.319666,0.531092,0.387436,0.531636,0.455767,0.522538,0.444386,0.571546,0.318019,0.57542,0.386949,0.57816,0.454582,0.583436,0.442618,
